dataset,model,run,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
FaceDetection,linear_additive_sinusoidal,1,,,,,,0.498,0.7816,144,2,62,4712,3524,1178,1,63.68
FaceDetection,linear_additive_isolated_sinusoidal,1,,,,,,0.4992,0.7816,144,2,62,4712,3524,1178,1,67.1
FaceDetection,1d_conv_additive_sinusoidal,1,,,,,,0.5125,0.8532,144,2,62,4712,3524,1178,1,65.12
FaceDetection,linear_component_wise_sinusoidal,1,0.386,0.8298,0.5985,0.7539,0.7767,0.6688,0.7829,144,2,62,4712,3524,1178,20,103.43
FaceDetection,1d_conv_component_wise_sinusoidal,1,0.4702,0.7857,0.5398,0.758,0.716,0.6614,0.8545,144,2,62,4712,3524,1178,23,107.9
FaceDetection,linear_circular_conv_sinusoidal,1,0.3412,0.8553,0.6207,0.7649,0.8685,0.6615,0.7829,144,2,62,4712,3524,1178,27,116.0
FaceDetection,1d_conv_circular_conv_sinusoidal,1,0.3746,0.8411,0.578,0.7691,0.8343,0.6686,0.8545,144,2,62,4712,3524,1178,20,101.27
FaceDetection,1d_conv_circular_conv_isolated_sinusoidal,1,0.319,0.8659,0.642,0.7623,0.8815,0.6663,0.8546,144,2,62,4712,3524,1178,18,91.0
FaceDetection,linear_component_wise_isolated_sinusoidal,1,,,,,0.8005,0.5108,0.7827,144,2,62,4712,3524,1178,1,65.88
FaceDetection,linear_additive_sinusoidal,2,,,,,,0.4994,0.7816,144,2,62,4712,3524,1178,1,65.74
FaceDetection,linear_additive_isolated_sinusoidal,2,,,,,,0.5196,0.7816,144,2,62,4712,3524,1178,1,65.51
FaceDetection,1d_conv_additive_sinusoidal,2,,,,,,0.5091,0.8532,144,2,62,4712,3524,1178,1,65.08
FaceDetection,linear_component_wise_sinusoidal,2,0.3362,0.865,0.5999,0.7598,0.7969,0.6731,0.7829,144,2,62,4712,3524,1178,30,118.65
FaceDetection,1d_conv_component_wise_sinusoidal,2,,,,,0.7099,0.5374,0.8543,144,2,62,4712,3524,1178,1,63.67
FaceDetection,linear_circular_conv_sinusoidal,2,0.4408,0.8039,0.5518,0.7538,0.7118,0.666,0.7829,144,2,62,4712,3524,1178,29,109.7
FaceDetection,1d_conv_circular_conv_sinusoidal,2,0.2478,0.9068,0.6534,0.7767,1.0204,0.6464,0.8545,144,2,62,4712,3524,1178,25,111.65
FaceDetection,1d_conv_circular_conv_isolated_sinusoidal,2,0.4856,0.7714,0.5126,0.764,0.6558,0.6706,0.8563,144,2,62,4712,3524,1178,20,101.3
FaceDetection,linear_component_wise_isolated_sinusoidal,2,0.4531,0.7878,0.5646,0.7487,0.7142,0.6493,0.783,144,2,62,4712,3524,1178,19,94.83
FaceDetection,linear_additive_sinusoidal,3,,,,,,0.5031,0.7816,144,2,62,4712,3524,1178,1,65.25
FaceDetection,linear_additive_isolated_sinusoidal,3,,,,,,0.5017,0.7816,144,2,62,4712,3524,1178,1,65.37
FaceDetection,1d_conv_additive_sinusoidal,3,,,,,,0.5153,0.8532,144,2,62,4712,3524,1178,1,64.14
FaceDetection,linear_component_wise_sinusoidal,3,,,,,0.7683,0.4929,0.7827,144,2,62,4712,3524,1178,1,68.79
FaceDetection,1d_conv_component_wise_sinusoidal,3,0.3865,0.8372,0.5634,0.7708,0.76,0.6671,0.8563,144,2,62,4712,3524,1178,17,94.01
FaceDetection,linear_circular_conv_sinusoidal,3,0.4341,0.8032,0.5542,0.7513,0.7319,0.6552,0.7829,144,2,62,4712,3524,1178,23,108.48
FaceDetection,1d_conv_circular_conv_sinusoidal,3,0.3981,0.8228,0.5553,0.7691,0.7866,0.666,0.8545,144,2,62,4712,3524,1178,20,99.05
FaceDetection,1d_conv_circular_conv_isolated_sinusoidal,3,0.3995,0.8311,0.5162,0.7623,0.6852,0.6808,0.8563,144,2,62,4712,3524,1178,20,100.65
FaceDetection,linear_component_wise_isolated_sinusoidal,3,0.4032,0.8232,0.5575,0.7513,0.7183,0.6533,0.783,144,2,62,4712,3524,1178,21,104.41
FaceDetection,linear_additive_sinusoidal,4,,,,,,0.5116,0.7816,144,2,62,4712,3524,1178,1,65.98
FaceDetection,linear_additive_isolated_sinusoidal,4,,,,,,0.5116,0.7816,144,2,62,4712,3524,1178,1,64.57
FaceDetection,1d_conv_additive_sinusoidal,4,,,,,,0.4983,0.8532,144,2,62,4712,3524,1178,1,64.81
FaceDetection,linear_component_wise_sinusoidal,4,0.2846,0.8848,0.6879,0.7623,0.9237,0.6496,0.7829,144,2,62,4712,3524,1178,27,114.03
FaceDetection,1d_conv_component_wise_sinusoidal,4,,,,,0.8377,0.4963,0.8543,144,2,62,4712,3524,1178,1,67.6
FaceDetection,linear_circular_conv_sinusoidal,4,0.3719,0.8425,0.5548,0.7631,0.7932,0.6547,0.7829,144,2,62,4712,3524,1178,37,130.27
FaceDetection,1d_conv_circular_conv_sinusoidal,4,0.317,0.8701,0.5701,0.775,0.853,0.6615,0.8545,144,2,62,4712,3524,1178,19,99.9
