dataset,model,run,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,n_train_epochs,training_time_seconds
FaceDetection,linear_additive_sinusoidal,1,,,,,0.6955,0.5023,0.7812,144,2,62,4712,3524,1178,1,64.13
FaceDetection,1d_conv_additive_sinusoidal,1,,,,,0.6973,0.5054,0.8532,144,2,62,4712,3524,1178,1,65.22
FaceDetection,linear_component_wise_sinusoidal,1,0.4018,0.8215,0.5314,0.7623,0.7191,0.668,0.7828,144,2,62,4712,3524,1178,18,96.54
FaceDetection,1d_conv_component_wise_sinusoidal,1,0.3246,0.8655,0.5522,0.7759,0.776,0.6737,0.8546,144,2,62,4712,3524,1178,18,99.41
FaceDetection,linear_circular_conv_sinusoidal,1,0.3897,0.836,0.5292,0.7674,0.7404,0.666,0.7828,144,2,62,4712,3524,1178,16,95.32
FaceDetection,1d_conv_circular_conv_sinusoidal,1,0.3941,0.8249,0.5202,0.7708,0.692,0.6705,0.8546,144,2,62,4712,3524,1178,16,96.01
FaceDetection,linear_additive_sinusoidal,2,,,,,0.6991,0.5028,0.7812,144,2,62,4712,3524,1178,1,64.77
FaceDetection,1d_conv_additive_sinusoidal,2,,,,,,0.4881,0.8532,144,2,62,4712,3524,1178,1,64.88
FaceDetection,linear_component_wise_sinusoidal,2,,,,,0.6897,0.5372,0.7824,144,2,62,4712,3524,1178,1,68.22
FaceDetection,1d_conv_component_wise_sinusoidal,2,,,,,0.6991,0.4958,0.8543,144,2,62,4712,3524,1178,1,68.07
FaceDetection,linear_circular_conv_sinusoidal,2,0.2903,0.8892,0.6016,0.7649,0.8599,0.6663,0.7828,144,2,62,4712,3524,1178,19,100.8
FaceDetection,1d_conv_circular_conv_sinusoidal,2,0.3338,0.8587,0.5558,0.7682,0.7818,0.6669,0.8546,144,2,62,4712,3524,1178,18,98.8
FaceDetection,linear_additive_sinusoidal,3,,,,,0.6949,0.5048,0.7812,144,2,62,4712,3524,1178,1,65.38
FaceDetection,1d_conv_additive_sinusoidal,3,,,,,,0.4991,0.8532,144,2,62,4712,3524,1178,1,62.96
FaceDetection,linear_component_wise_sinusoidal,3,,,,,0.6957,0.5045,0.7824,144,2,62,4712,3524,1178,1,65.46
FaceDetection,1d_conv_component_wise_sinusoidal,3,,,,,0.6964,0.4946,0.8543,144,2,62,4712,3524,1178,1,65.51
FaceDetection,linear_circular_conv_sinusoidal,3,0.3147,0.8716,0.5652,0.7717,0.8378,0.666,0.7828,144,2,62,4712,3524,1178,23,106.29
FaceDetection,1d_conv_circular_conv_sinusoidal,3,,,,,0.6967,0.4901,0.8543,144,2,62,4712,3524,1178,1,67.35
FaceDetection,linear_additive_sinusoidal,4,,,,,0.698,0.5034,0.7812,144,2,62,4712,3524,1178,1,68.02
FaceDetection,1d_conv_additive_sinusoidal,4,,,,,0.7158,0.4997,0.8532,144,2,62,4712,3524,1178,1,67.71
FaceDetection,linear_component_wise_sinusoidal,4,0.3608,0.8536,0.5646,0.7631,0.7613,0.6728,0.7828,144,2,62,4712,3524,1178,17,99.83
FaceDetection,1d_conv_component_wise_sinusoidal,4,0.4329,0.8005,0.5123,0.7751,0.6985,0.6706,0.8563,144,2,62,4712,3524,1178,19,100.61
FaceDetection,linear_circular_conv_sinusoidal,4,,,,,0.6952,0.5062,0.7824,144,2,62,4712,3524,1178,1,65.81
