dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_original
ArticularyWordRecognition,1d_conv_additive_sinusoidal,0.0444 ± 0.0399,0.0444,0.0237,0.0399,3,5
ArticularyWordRecognition,1d_conv_circular_conv_isolated_sinusoidal,0.9522 ± 0.0065,0.9522,0.0039,0.0065,3,5
ArticularyWordRecognition,1d_conv_circular_conv_sinusoidal,0.3389 ± 0.8923,0.3389,0.5293,0.8923,3,5
ArticularyWordRecognition,1d_conv_component_wise_sinusoidal,0.9567 ± 0.0203,0.9567,0.0121,0.0203,3,5
ArticularyWordRecognition,linear_additive_isolated_sinusoidal,0.9583 ± 0.0093,0.9583,0.0079,0.0093,4,5
ArticularyWordRecognition,linear_additive_sinusoidal,0.9358 ± 0.0198,0.9358,0.0168,0.0198,4,5
ArticularyWordRecognition,linear_circular_conv_sinusoidal,0.7283 ± 0.5295,0.7283,0.4500,0.5295,4,5
ArticularyWordRecognition,linear_component_wise_sinusoidal,0.9356 ± 0.0116,0.9356,0.0069,0.0116,3,5
AtrialFibrillation,1d_conv_additive_sinusoidal,0.2267 ± 0.0348,0.2267,0.0365,0.0348,5,5
AtrialFibrillation,1d_conv_circular_conv_isolated_sinusoidal,0.3067 ± 0.0348,0.3067,0.0365,0.0348,5,5
AtrialFibrillation,1d_conv_circular_conv_sinusoidal,0.2889 ± 0.0648,0.2889,0.0385,0.0648,3,5
AtrialFibrillation,1d_conv_component_wise_sinusoidal,0.3333 ± 0.0001,0.3333,0.0001,0.0001,3,5
AtrialFibrillation,linear_additive_isolated_sinusoidal,0.3333 ± 0.0635,0.3333,0.0667,0.0635,5,5
AtrialFibrillation,linear_additive_sinusoidal,0.2889 ± 0.1297,0.2889,0.0770,0.1297,3,5
AtrialFibrillation,linear_circular_conv_sinusoidal,N/A,0.2667,0.0000,,4,5
AtrialFibrillation,linear_component_wise_sinusoidal,0.3000 ± 0.0452,0.3000,0.0385,0.0452,4,5
BasicMotions,1d_conv_additive_sinusoidal,0.3200 ± 0.0723,0.3200,0.0758,0.0723,5,5
BasicMotions,1d_conv_circular_conv_isolated_sinusoidal,0.9625 ± 0.0170,0.9625,0.0144,0.0170,4,5
BasicMotions,1d_conv_circular_conv_sinusoidal,0.9688 ± 0.0147,0.9688,0.0125,0.0147,4,5
BasicMotions,1d_conv_component_wise_sinusoidal,0.9583 ± 0.0243,0.9583,0.0144,0.0243,3,5
BasicMotions,linear_additive_isolated_sinusoidal,0.1167 ± 0.1288,0.1167,0.0764,0.1288,3,5
BasicMotions,linear_additive_sinusoidal,0.1833 ± 0.2433,0.1833,0.1443,0.2433,3,5
BasicMotions,linear_circular_conv_sinusoidal,0.8625 ± 0.2455,0.8625,0.2087,0.2455,4,5
BasicMotions,linear_component_wise_sinusoidal,0.9417 ± 0.0243,0.9417,0.0144,0.0243,3,5
Cricket,1d_conv_additive_sinusoidal,0.0787 ± 0.0271,0.0787,0.0161,0.0271,3,5
Cricket,1d_conv_circular_conv_isolated_sinusoidal,0.5787 ± 0.7439,0.5787,0.4413,0.7439,3,5
Cricket,1d_conv_circular_conv_sinusoidal,0.3519 ± 0.8044,0.3519,0.4772,0.8044,3,5
Cricket,1d_conv_component_wise_sinusoidal,0.6342 ± 0.7045,0.6342,0.4179,0.7045,3,5
Cricket,linear_additive_isolated_sinusoidal,0.3843 ± 0.7479,0.3843,0.4436,0.7479,3,5
Cricket,linear_additive_sinusoidal,0.6343 ± 0.8652,0.6343,0.5132,0.8652,3,5
Cricket,linear_circular_conv_sinusoidal,0.8519 ± 0.0134,0.8519,0.0080,0.0134,3,5
Cricket,linear_component_wise_sinusoidal,0.3565 ± 0.7795,0.3565,0.4624,0.7795,3,5
DuckDuckGeese,1d_conv_additive_sinusoidal,0.3400 ± 0.1168,0.3400,0.0693,0.1168,3,5
DuckDuckGeese,1d_conv_circular_conv_isolated_sinusoidal,0.3867 ± 0.0702,0.3867,0.0416,0.0702,3,5
DuckDuckGeese,1d_conv_circular_conv_sinusoidal,0.4467 ± 0.0515,0.4467,0.0306,0.0515,3,5
DuckDuckGeese,1d_conv_component_wise_sinusoidal,0.2800 ± 0.1752,0.2800,0.1039,0.1752,3,5
DuckDuckGeese,linear_additive_isolated_sinusoidal,N/A,0.2000,0.0000,,3,5
DuckDuckGeese,linear_additive_sinusoidal,0.1867 ± 0.0195,0.1867,0.0115,0.0195,3,5
DuckDuckGeese,linear_circular_conv_sinusoidal,0.2000 ± 0.0337,0.2000,0.0200,0.0337,3,5
DuckDuckGeese,linear_component_wise_sinusoidal,0.2050 ± 0.0118,0.2050,0.0100,0.0118,4,5
ERing,1d_conv_additive_sinusoidal,0.1568 ± 0.0191,0.1568,0.0114,0.0191,3,5
ERing,1d_conv_circular_conv_isolated_sinusoidal,0.4050 ± 0.6700,0.4050,0.3974,0.6700,3,5
ERing,1d_conv_circular_conv_sinusoidal,0.8827 ± 0.0157,0.8827,0.0093,0.0157,3,5
ERing,1d_conv_component_wise_sinusoidal,0.8630 ± 0.0250,0.8630,0.0149,0.0250,3,5
ERing,linear_additive_isolated_sinusoidal,0.6037 ± 0.4558,0.6037,0.2703,0.4558,3,5
ERing,linear_additive_sinusoidal,0.7556 ± 0.0273,0.7556,0.0162,0.0273,3,5
ERing,linear_circular_conv_sinusoidal,0.8729 ± 0.0314,0.8729,0.0186,0.0314,3,5
ERing,linear_component_wise_sinusoidal,0.6741 ± 0.6009,0.6741,0.3564,0.6009,3,5
Epilepsy,1d_conv_additive_sinusoidal,0.2705 ± 0.0995,0.2705,0.0590,0.0995,3,5
Epilepsy,1d_conv_circular_conv_isolated_sinusoidal,0.6788 ± 0.5785,0.6788,0.3432,0.5785,3,5
Epilepsy,1d_conv_circular_conv_sinusoidal,0.6570 ± 0.5890,0.6570,0.3494,0.5890,3,5
Epilepsy,1d_conv_component_wise_sinusoidal,0.7735 ± 0.3170,0.7735,0.2694,0.3170,4,5
Epilepsy,linear_additive_isolated_sinusoidal,0.2488 ± 0.0552,0.2488,0.0327,0.0552,3,5
Epilepsy,linear_additive_sinusoidal,0.4033 ± 0.1870,0.4033,0.1109,0.1870,3,5
Epilepsy,linear_circular_conv_sinusoidal,0.6812 ± 0.3497,0.6812,0.2074,0.3497,3,5
Epilepsy,linear_component_wise_sinusoidal,0.4952 ± 0.5296,0.4952,0.3142,0.5296,3,5
EthanolConcentration,1d_conv_additive_sinusoidal,0.2433 ± 0.0065,0.2433,0.0039,0.0065,3,5
EthanolConcentration,1d_conv_circular_conv_isolated_sinusoidal,0.2446 ± 0.0185,0.2446,0.0110,0.0185,3,5
EthanolConcentration,1d_conv_circular_conv_sinusoidal,0.2649 ± 0.0387,0.2649,0.0230,0.0387,3,5
EthanolConcentration,1d_conv_component_wise_sinusoidal,0.2586 ± 0.0193,0.2586,0.0115,0.0193,3,5
EthanolConcentration,linear_additive_isolated_sinusoidal,0.2421 ± 0.0354,0.2421,0.0210,0.0354,3,5
EthanolConcentration,linear_additive_sinusoidal,0.2757 ± 0.0086,0.2757,0.0073,0.0086,4,5
EthanolConcentration,linear_circular_conv_sinusoidal,0.2713 ± 0.0133,0.2713,0.0079,0.0133,3,5
EthanolConcentration,linear_component_wise_sinusoidal,0.2637 ± 0.0196,0.2637,0.0116,0.0196,3,5
FaceDetection,1d_conv_additive_sinusoidal,0.5138 ± 0.0073,0.5138,0.0109,0.0073,8,10
FaceDetection,1d_conv_circular_conv_isolated_sinusoidal,0.6062 ± 0.0589,0.6062,0.0880,0.0589,8,10
FaceDetection,1d_conv_circular_conv_sinusoidal,0.6317 ± 0.0479,0.6317,0.0714,0.0479,8,10
FaceDetection,1d_conv_component_wise_sinusoidal,0.5949 ± 0.0557,0.5949,0.0831,0.0557,8,10
FaceDetection,linear_additive_isolated_sinusoidal,0.5002 ± 0.0024,0.5002,0.0037,0.0024,8,10
FaceDetection,linear_additive_sinusoidal,0.5079 ± 0.0070,0.5079,0.0105,0.0070,8,10
FaceDetection,linear_circular_conv_sinusoidal,0.6662 ± 0.0023,0.6662,0.0037,0.0023,9,10
FaceDetection,linear_component_wise_sinusoidal,0.5833 ± 0.0566,0.5833,0.0844,0.0566,8,10
FingerMovements,1d_conv_additive_sinusoidal,0.4820 ± 0.0454,0.4820,0.0476,0.0454,5,5
FingerMovements,1d_conv_circular_conv_isolated_sinusoidal,0.5033 ± 0.0097,0.5033,0.0058,0.0097,3,5
FingerMovements,1d_conv_circular_conv_sinusoidal,0.5100 ± 0.0506,0.5100,0.0300,0.0506,3,5
FingerMovements,1d_conv_component_wise_sinusoidal,0.4550 ± 0.0204,0.4550,0.0173,0.0204,4,5
FingerMovements,linear_additive_isolated_sinusoidal,0.5433 ± 0.0515,0.5433,0.0306,0.0515,3,5
FingerMovements,linear_additive_sinusoidal,0.5133 ± 0.0097,0.5133,0.0058,0.0097,3,5
FingerMovements,linear_circular_conv_sinusoidal,0.4633 ± 0.0542,0.4633,0.0321,0.0542,3,5
FingerMovements,linear_component_wise_sinusoidal,0.5167 ± 0.0760,0.5167,0.0451,0.0760,3,5
HandMovementDirection,1d_conv_additive_sinusoidal,0.2523 ± 0.0349,0.2523,0.0207,0.0349,3,5
HandMovementDirection,1d_conv_circular_conv_isolated_sinusoidal,0.5000 ± 0.0228,0.5000,0.0135,0.0228,3,5
HandMovementDirection,1d_conv_circular_conv_sinusoidal,0.4955 ± 0.0474,0.4955,0.0281,0.0474,3,5
HandMovementDirection,1d_conv_component_wise_sinusoidal,0.4775 ± 0.0574,0.4775,0.0340,0.0574,3,5
HandMovementDirection,linear_additive_isolated_sinusoidal,0.2478 ± 0.0264,0.2478,0.0156,0.0264,3,5
HandMovementDirection,linear_additive_sinusoidal,0.2523 ± 0.0132,0.2523,0.0079,0.0132,3,5
HandMovementDirection,linear_circular_conv_sinusoidal,0.5135 ± 0.0183,0.5135,0.0156,0.0183,4,5
HandMovementDirection,linear_component_wise_sinusoidal,0.4730 ± 0.0395,0.4730,0.0234,0.0395,3,5
Handwriting,1d_conv_additive_sinusoidal,0.0451 ± 0.0308,0.0451,0.0183,0.0308,3,5
Handwriting,1d_conv_circular_conv_isolated_sinusoidal,0.0690 ± 0.0369,0.0690,0.0219,0.0369,3,5
Handwriting,1d_conv_circular_conv_sinusoidal,0.1169 ± 0.0270,0.1169,0.0160,0.0270,3,5
Handwriting,1d_conv_component_wise_sinusoidal,0.0761 ± 0.0648,0.0761,0.0384,0.0648,3,5
Handwriting,linear_additive_isolated_sinusoidal,0.1063 ± 0.1262,0.1063,0.0748,0.1262,3,5
Handwriting,linear_additive_sinusoidal,0.0694 ± 0.0482,0.0694,0.0286,0.0482,3,5
Handwriting,linear_circular_conv_sinusoidal,0.0588 ± 0.0603,0.0588,0.0358,0.0603,3,5
Handwriting,linear_component_wise_sinusoidal,0.0765 ± 0.0099,0.0765,0.0059,0.0099,3,5
Heartbeat,1d_conv_additive_sinusoidal,0.4943 ± 0.0547,0.4943,0.0324,0.0547,3,5
Heartbeat,1d_conv_circular_conv_isolated_sinusoidal,0.7431 ± 0.0094,0.7431,0.0056,0.0094,3,5
Heartbeat,1d_conv_circular_conv_sinusoidal,0.7187 ± 0.0048,0.7187,0.0028,0.0048,3,5
