dataset,1d_conv_additive_sinusoidal,1d_conv_circular_conv_isolated_sinusoidal,1d_conv_circular_conv_sinusoidal,1d_conv_component_wise_sinusoidal,linear_additive_isolated_sinusoidal,linear_additive_sinusoidal,linear_circular_conv_sinusoidal,linear_component_wise_sinusoidal
ArticularyWordRecognition,0.1318 ± 0.1882,0.9483 ± 0.0084,0.9517 ± 0.0039,0.9534 ± 0.0095,0.9417 ± 0.0138,0.9442 ± 0.0086,0.9433 ± 0.0086,0.9563 ± 0.0075
AtrialFibrillation,0.2963 ± 0.0419,0.2834 ± 0.0207,0.3408 ± 0.0525,0.3333 ± 0.0315,0.3083 ± 0.0713,0.2083 ± 0.0503,0.3185 ± 0.0344,0.3267 ± 0.0384
BasicMotions,0.1750 ± 0.0607,0.9611 ± 0.0258,0.9750 ± 0.0173,0.7556 ± 0.2099,0.2625 ± 0.0620,0.5906 ± 0.2236,0.9438 ± 0.0215,0.9694 ± 0.0230
Cricket,0.4429 ± 0.2611,0.8628 ± 0.0182,0.8657 ± 0.0251,0.8160 ± 0.1949,0.9074 ± 0.0247,0.9305 ± 0.0289,0.9043 ± 0.0132,0.8993 ± 0.0280
DuckDuckGeese,0.1975 ± 0.0389,0.3311 ± 0.0614,0.3550 ± 0.0525,0.3750 ± 0.0530,0.1850 ± 0.0284,0.2689 ± 0.0485,0.2978 ± 0.0694,0.4222 ± 0.0259
ERing,0.7120 ± 0.0647,0.8548 ± 0.0192,0.8449 ± 0.0149,0.8556 ± 0.0106,0.7717 ± 0.0257,0.7750 ± 0.0160,0.8607 ± 0.0210,0.8838 ± 0.0116
Epilepsy,0.2772 ± 0.0533,0.8560 ± 0.0273,0.8116 ± 0.0254,0.7482 ± 0.1341,0.9323 ± 0.0100,0.9302 ± 0.0211,0.8406 ± 0.0191,0.7790 ± 0.1216
EthanolConcentration,0.2638 ± 0.0076,0.2652 ± 0.0069,0.2640 ± 0.0054,0.2518 ± 0.0105,0.2571 ± 0.0107,0.2586 ± 0.0117,0.2695 ± 0.0071,0.2529 ± 0.0084
FaceDetection,0.4933 ± 0.0052,0.5922 ± 0.0518,0.6695 ± 0.0038,0.5424 ± 0.0495,0.4912 ± 0.0054,0.4988 ± 0.0038,0.6016 ± 0.0507,0.5003 ± 0.0064
FingerMovements,0.5250 ± 0.0165,0.4788 ± 0.0269,0.4638 ± 0.0071,0.5262 ± 0.0293,0.5362 ± 0.0226,0.5060 ± 0.0298,0.4725 ± 0.0242,0.4938 ± 0.0332
