dataset,linear_conv_0_8_gaussian_fpe,linear_conv_1_sinc_fpe,linear_conv_2_sinc_fpe,linear_conv_5_sinc_fpe,linear_conv_learnable_random_pe,linear_conv_learnable_sinusoidal,linear_conv_random_pe,linear_conv_sinusoidal,linear_no_pe
ArticularyWordRecognition,0.9500 ± 0.0000,0.9600 ± 0.0000,0.9600 ± 0.0000,0.9300 ± 0.0000,0.9262 ± 0.0130,0.9430 ± 0.0112,0.9233 ± 0.0108,0.9433 ± 0.0086,0.9515 ± 0.0060
AtrialFibrillation,0.2667 ± 0.0000,0.2000 ± 0.0000,0.4000 ± 0.0000,0.3333 ± 0.0000,0.2963 ± 0.0419,0.2889 ± 0.0685,0.3500 ± 0.0207,0.3185 ± 0.0344,0.2800 ± 0.0439
BasicMotions,0.9250 ± 0.0000,0.9250 ± 0.0000,0.8500 ± 0.0000,1.0000 ± 0.0000,0.8781 ± 0.0460,0.9625 ± 0.0090,0.7875 ± 0.0506,0.9438 ± 0.0215,0.4094 ± 0.1167
Cricket,0.8472 ± 0.0000,0.9028 ± 0.0000,0.8889 ± 0.0000,0.8889 ± 0.0000,0.7726 ± 0.1759,0.9059 ± 0.0254,0.8351 ± 0.0265,0.9043 ± 0.0132,0.6358 ± 0.2592
DuckDuckGeese,0.4600 ± 0.0000,0.4600 ± 0.0000,0.4000 ± 0.0000,0.2800 ± 0.0000,0.3600 ± 0.0744,0.3200 ± 0.0447,0.2600 ± 0.0386,0.2978 ± 0.0694,0.2422 ± 0.0358
ERing,0.8519 ± 0.0000,0.8037 ± 0.0000,0.8296 ± 0.0000,0.8741 ± 0.0000,0.8810 ± 0.0106,0.8704 ± 0.0194,0.8638 ± 0.0127,0.8607 ± 0.0210,0.7421 ± 0.0243
Epilepsy,0.8985 ± 0.0000,0.8985 ± 0.0000,0.8695 ± 0.0000,0.8478 ± 0.0000,0.4810 ± 0.1403,0.8148 ± 0.0177,0.7020 ± 0.0080,0.8406 ± 0.0191,0.9148 ± 0.0235
EthanolConcentration,0.2509 ± 0.0000,0.2738 ± 0.0000,0.2776 ± 0.0000,0.2776 ± 0.0000,0.2533 ± 0.0045,0.2624 ± 0.0058,0.2524 ± 0.0049,0.2695 ± 0.0071,0.2562 ± 0.0103
FaceDetection,0.4898 ± 0.0000,0.5037 ± 0.0000,0.4895 ± 0.0000,0.5037 ± 0.0000,0.5527 ± 0.0566,0.5356 ± 0.0484,0.6032 ± 0.0418,0.6016 ± 0.0507,0.4948 ± 0.0026
FingerMovements,0.4300 ± 0.0000,0.5100 ± 0.0000,0.5100 ± 0.0000,0.5200 ± 0.0000,0.4889 ± 0.0118,0.5000 ± 0.0199,0.5038 ± 0.0138,0.4725 ± 0.0242,0.5188 ± 0.0249
HandMovementDirection,0.4730 ± 0.0000,0.4189 ± 0.0000,0.4324 ± 0.0000,0.5946 ± 0.0000,0.5034 ± 0.0424,0.4949 ± 0.0368,0.3615 ± 0.0264,0.4645 ± 0.0362,0.2804 ± 0.0374
Handwriting,0.1224 ± 0.0000,0.1341 ± 0.0000,0.1788 ± 0.0000,0.1765 ± 0.0000,0.1135 ± 0.0305,0.1556 ± 0.0097,0.0837 ± 0.0220,0.1433 ± 0.0277,0.0868 ± 0.0356
Heartbeat,0.7756 ± 0.0000,0.7609 ± 0.0000,0.7561 ± 0.0000,0.7512 ± 0.0000,0.6708 ± 0.0588,0.7244 ± 0.0147,0.7035 ± 0.0320,0.7390 ± 0.0060,0.5220 ± 0.0574
InsectWingbeat,0.6136 ± 0.0000,0.6152 ± 0.0000,0.6164 ± 0.0000,0.5986 ± 0.0000,0.5918 ± 0.0049,0.6044 ± 0.0016,0.5570 ± 0.0018,0.6040 ± 0.0027,0.0970 ± 0.0025
LSST,0.6030 ± 0.0000,0.5981 ± 0.0000,0.5941 ± 0.0000,0.5551 ± 0.0000,0.4887 ± 0.0083,0.5468 ± 0.0068,0.4832 ± 0.0035,0.5420 ± 0.0066,0.3676 ± 0.0348
Libras,0.6723 ± 0.0000,0.6833 ± 0.0000,0.6555 ± 0.0000,0.6333 ± 0.0000,0.6111 ± 0.0133,0.6271 ± 0.0212,0.5951 ± 0.0106,0.6410 ± 0.0197,0.6292 ± 0.0112
MotorImagery,0.5000 ± 0.0000,0.5200 ± 0.0000,0.5000 ± 0.0000,0.5100 ± 0.0000,0.4962 ± 0.0250,0.5025 ± 0.0293,0.5000 ± 0.0194,0.5175 ± 0.0297,0.4750 ± 0.0203
NATOPS,0.9055 ± 0.0000,0.2000 ± 0.0000,0.8944 ± 0.0000,0.8278 ± 0.0000,0.8347 ± 0.0151,0.8728 ± 0.0162,0.7854 ± 0.0300,0.8764 ± 0.0196,0.6694 ± 0.1245
PEMS-SF,0.7341 ± 0.0000,0.7052 ± 0.0000,0.6821 ± 0.0000,0.7283 ± 0.0000,0.7406 ± 0.0227,0.6430 ± 0.1337,0.6590 ± 0.1364,0.7269 ± 0.0173,0.2529 ± 0.1477
PenDigits,0.9680 ± 0.0000,0.9631 ± 0.0000,0.9606 ± 0.0000,0.9654 ± 0.0000,0.9585 ± 0.0018,0.9574 ± 0.0023,0.9596 ± 0.0025,0.9448 ± 0.0030,0.9082 ± 0.0059
PhonemeSpectra,0.0725 ± 0.0000,0.0683 ± 0.0000,0.0725 ± 0.0000,0.0659 ± 0.0000,0.0617 ± 0.0018,0.0657 ± 0.0030,0.0576 ± 0.0030,0.0659 ± 0.0039,0.0541 ± 0.0142
RacketSports,0.1710 ± 0.0000,0.8092 ± 0.0000,0.8619 ± 0.0000,0.8224 ± 0.0000,0.6851 ± 0.1485,0.7541 ± 0.1388,0.7858 ± 0.0171,0.8314 ± 0.0141,0.3923 ± 0.1603
SelfRegulationSCP1,0.8737 ± 0.0000,0.7611 ± 0.0000,0.8054 ± 0.0000,0.7679 ± 0.0000,0.7291 ± 0.0760,0.7419 ± 0.0731,0.5867 ± 0.0785,0.8238 ± 0.0200,0.6941 ± 0.0348
SelfRegulationSCP2,0.5445 ± 0.0000,0.5556 ± 0.0000,0.5556 ± 0.0000,0.5389 ± 0.0000,0.5173 ± 0.0137,0.5312 ± 0.0165,0.4993 ± 0.0067,0.5403 ± 0.0136,0.5368 ± 0.0101
SpokenArabicDigits,0.9818 ± 0.0000,0.9837 ± 0.0000,0.9804 ± 0.0000,0.9813 ± 0.0000,0.9758 ± 0.0014,0.9749 ± 0.0018,0.9699 ± 0.0035,0.9702 ± 0.0026,0.9175 ± 0.0072
StandWalkJump,0.3333 ± 0.0000,0.3333 ± 0.0000,0.3333 ± 0.0000,0.4000 ± 0.0000,0.3185 ± 0.0182,0.3185 ± 0.0402,0.3259 ± 0.0248,0.3200 ± 0.0570,0.4000 ± 0.0316
UWaveGestureLibraryAll,0.8582 ± 0.0000,0.8361 ± 0.0000,0.8671 ± 0.0000,0.8894 ± 0.0000,0.8862 ± 0.0021,0.8940 ± 0.0028,0.8598 ± 0.0044,0.8882 ± 0.0017,0.2508 ± 0.0105
