dataset,model,run,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
FaceDetection,linear_no_pe,1,,,,,,0.4955,0.2643,144,2,62,4712,3524,1178,1,45.82
FaceDetection,linear_conv_random_pe,1,0.3887,0.8245,0.5964,0.7343,0.7717,0.6374,0.2657,144,2,62,4712,3524,1178,17,66.72
FaceDetection,linear_conv_learnable_random_pe,1,,,,,0.7061,0.4796,0.2654,144,2,62,4712,3524,1178,1,46.43
FaceDetection,linear_conv_sinusoidal,1,0.4276,0.8052,0.5427,0.753,0.7195,0.6538,0.2657,144,2,62,4712,3524,1178,19,69.0
FaceDetection,linear_conv_learnable_sinusoidal,1,0.3667,0.8438,0.5521,0.7615,0.7622,0.6626,0.2657,144,2,62,4712,3524,1178,17,66.96
FaceDetection,linear_no_pe,2,,,,,,0.4938,0.2643,144,2,62,4712,3524,1178,1,45.25
FaceDetection,linear_conv_random_pe,2,0.4782,0.7721,0.5967,0.708,0.7385,0.6206,0.2675,144,2,62,4712,3524,1178,18,68.09
FaceDetection,linear_conv_learnable_random_pe,2,,,,,0.7207,0.5,0.2654,144,2,62,4712,3524,1178,1,46.19
FaceDetection,linear_conv_sinusoidal,2,,,,,0.7462,0.5182,0.2655,144,2,62,4712,3524,1178,1,46.8
FaceDetection,linear_conv_learnable_sinusoidal,2,,,,,0.6994,0.5161,0.2655,144,2,62,4712,3524,1178,1,46.42
FaceDetection,linear_no_pe,3,,,,,,0.4889,0.2643,144,2,62,4712,3524,1178,1,45.05
FaceDetection,linear_conv_random_pe,3,0.4384,0.8005,0.5945,0.708,0.7223,0.653,0.2675,144,2,62,4712,3524,1178,17,66.36
FaceDetection,linear_conv_learnable_random_pe,3,0.3546,0.8487,0.613,0.7309,0.787,0.6459,0.2675,144,2,62,4712,3524,1178,17,66.01
FaceDetection,linear_conv_sinusoidal,3,0.4174,0.8152,0.534,0.7623,0.7063,0.6702,0.2657,144,2,62,4712,3524,1178,17,67.53
FaceDetection,linear_conv_learnable_sinusoidal,3,,,,,0.7195,0.4779,0.2655,144,2,62,4712,3524,1178,1,46.6
FaceDetection,linear_no_pe,4,,,,,,0.4992,0.2643,144,2,62,4712,3524,1178,1,45.68
FaceDetection,linear_conv_random_pe,4,0.4832,0.7708,0.5741,0.7241,0.6983,0.6433,0.2675,144,2,62,4712,3524,1178,17,66.26
FaceDetection,linear_conv_learnable_random_pe,4,0.3395,0.854,0.5508,0.7623,0.7603,0.6663,0.2675,144,2,62,4712,3524,1178,17,67.3
FaceDetection,linear_conv_sinusoidal,4,,,,,0.7014,0.5042,0.2655,144,2,62,4712,3524,1178,1,47.18
FaceDetection,linear_conv_learnable_sinusoidal,4,,,,,0.7234,0.485,0.2655,144,2,62,4712,3524,1178,1,47.2
FaceDetection,linear_no_pe,5,,,,,,0.4847,0.2643,144,2,62,4712,3524,1178,1,45.42
FaceDetection,linear_conv_random_pe,5,0.434,0.7984,0.5989,0.7105,0.7155,0.6461,0.2675,144,2,62,4712,3524,1178,18,67.82
FaceDetection,linear_conv_learnable_random_pe,5,0.374,0.8332,0.5629,0.7631,0.7392,0.6631,0.2675,144,2,62,4712,3524,1178,16,65.56
FaceDetection,linear_conv_sinusoidal,5,,,,,0.7176,0.5088,0.2655,144,2,62,4712,3524,1178,1,46.69
FaceDetection,linear_conv_learnable_sinusoidal,5,,,,,0.7031,0.5031,0.2655,144,2,62,4712,3524,1178,1,46.85
FaceDetection,linear_no_pe,6,,,,,,0.4901,0.2643,144,2,62,4712,3524,1178,1,45.63
FaceDetection,linear_conv_random_pe,6,0.4403,0.7969,0.6086,0.702,0.751,0.6283,0.2675,144,2,62,4712,3524,1178,18,67.77
FaceDetection,linear_conv_learnable_random_pe,6,,,,,0.7152,0.4753,0.2654,144,2,62,4712,3524,1178,1,47.03
FaceDetection,linear_conv_sinusoidal,6,0.4505,0.7906,0.5241,0.764,0.7116,0.6552,0.2657,144,2,62,4712,3524,1178,20,70.37
FaceDetection,linear_conv_learnable_sinusoidal,6,,,,,0.7489,0.4835,0.2655,144,2,62,4712,3524,1178,1,47.19
FaceDetection,linear_no_pe,7,,,,,,0.4997,0.2643,144,2,62,4712,3524,1178,1,45.8
FaceDetection,linear_conv_random_pe,7,,,,,0.7088,0.5111,0.2654,144,2,62,4712,3524,1178,1,46.87
FaceDetection,linear_conv_learnable_random_pe,7,,,,,0.7062,0.5,0.2654,144,2,62,4712,3524,1178,1,46.88
FaceDetection,linear_conv_sinusoidal,7,0.3094,0.8625,0.6074,0.7547,0.8491,0.6609,0.2657,144,2,62,4712,3524,1178,19,69.82
FaceDetection,linear_conv_learnable_sinusoidal,7,0.3512,0.8474,0.5641,0.7691,0.7673,0.6793,0.2657,144,2,62,4712,3524,1178,18,66.58
FaceDetection,linear_no_pe,8,,,,,,0.5099,0.2643,144,2,62,4712,3524,1178,1,45.51
FaceDetection,linear_conv_random_pe,8,0.4268,0.8024,0.6079,0.7207,0.7226,0.6433,0.2675,144,2,62,4712,3524,1178,18,67.77
FaceDetection,linear_conv_learnable_random_pe,8,,,,,0.7115,0.4952,0.2654,144,2,62,4712,3524,1178,1,46.72
FaceDetection,linear_conv_sinusoidal,8,0.4011,0.8217,0.5445,0.7471,0.7522,0.6538,0.2657,144,2,62,4712,3524,1178,17,66.13
FaceDetection,linear_conv_learnable_sinusoidal,8,0.2558,0.8932,0.6874,0.7505,0.9802,0.6396,0.2657,144,2,62,4712,3524,1178,18,68.47
FaceDetection,linear_no_pe,9,,,,,,0.4971,0.2643,144,2,62,4712,3524,1178,1,45.78
FaceDetection,linear_conv_random_pe,9,,,,,0.7251,0.4952,0.2654,144,2,62,4712,3524,1178,1,47.02
FaceDetection,linear_conv_learnable_random_pe,9,,,,,0.702,0.4838,0.2654,144,2,62,4712,3524,1178,1,47.2
FaceDetection,linear_conv_sinusoidal,9,0.4635,0.781,0.5171,0.7674,0.688,0.6583,0.2675,144,2,62,4712,3524,1178,18,68.26
FaceDetection,linear_conv_learnable_sinusoidal,9,,,,,0.7337,0.4994,0.2655,144,2,62,4712,3524,1178,1,47.73
FaceDetection,linear_no_pe,10,,,,,,0.4938,0.2643,144,2,62,4712,3524,1178,1,46.04
FaceDetection,linear_conv_random_pe,10,,,,,0.7029,0.4796,0.2654,144,2,62,4712,3524,1178,1,46.86
FaceDetection,linear_conv_learnable_random_pe,10,0.4346,0.799,0.5272,0.7564,0.7099,0.6538,0.2675,144,2,62,4712,3524,1178,17,66.74
FaceDetection,linear_conv_sinusoidal,10,,,,,0.7063,0.4992,0.2655,144,2,62,4712,3524,1178,1,47.03
FaceDetection,linear_conv_learnable_sinusoidal,10,,,,,0.7128,0.4954,0.2655,144,2,62,4712,3524,1178,1,46.98
InsectWingbeat,linear_no_pe,1,,,,,,0.0946,0.2532,200,10,22,20000,25000,5000,1,39.65
InsectWingbeat,linear_conv_random_pe,1,0.828,0.6803,1.2698,0.562,1.2786,0.5525,0.2546,200,10,22,20000,25000,5000,29,142.87
InsectWingbeat,linear_conv_learnable_random_pe,1,0.6964,0.7294,1.1389,0.614,1.1455,0.6003,0.2546,200,10,22,20000,25000,5000,29,142.62
InsectWingbeat,linear_conv_sinusoidal,1,0.8626,0.6702,1.0596,0.6124,1.0762,0.6012,0.2546,200,10,22,20000,25000,5000,60,251.38
InsectWingbeat,linear_conv_learnable_sinusoidal,1,0.8051,0.6854,1.0666,0.609,1.0853,0.6046,0.2546,200,10,22,20000,25000,5000,39,179.18
InsectWingbeat,linear_no_pe,2,,,,,,0.0932,0.2532,200,10,22,20000,25000,5000,1,38.72
InsectWingbeat,linear_conv_random_pe,2,0.7147,0.7241,1.2958,0.568,1.2613,0.5631,0.2546,200,10,22,20000,25000,5000,35,164.13
InsectWingbeat,linear_conv_learnable_random_pe,2,0.7261,0.7138,1.1124,0.6066,1.1125,0.6012,0.2546,200,10,22,20000,25000,5000,27,133.86
InsectWingbeat,linear_conv_sinusoidal,2,0.8111,0.6831,1.0481,0.6142,1.0567,0.603,0.2546,200,10,22,20000,25000,5000,82,326.67
InsectWingbeat,linear_conv_learnable_sinusoidal,2,0.7876,0.6948,1.0471,0.6248,1.0852,0.6049,0.2546,200,10,22,20000,25000,5000,40,181.12
InsectWingbeat,linear_no_pe,3,,,,,,0.0905,0.2532,200,10,22,20000,25000,5000,1,38.94
InsectWingbeat,linear_conv_random_pe,3,0.8117,0.6881,1.2542,0.566,1.249,0.5572,0.2546,200,10,22,20000,25000,5000,27,135.98
InsectWingbeat,linear_conv_learnable_random_pe,3,0.7239,0.7161,1.1957,0.5824,1.2119,0.5792,0.2546,200,10,22,20000,25000,5000,28,138.25
InsectWingbeat,linear_conv_sinusoidal,3,0.8571,0.6654,1.0749,0.6124,1.0844,0.5964,0.2546,200,10,22,20000,25000,5000,64,261.91
InsectWingbeat,linear_conv_learnable_sinusoidal,3,0.7421,0.7093,1.0631,0.617,1.0881,0.6084,0.2546,200,10,22,20000,25000,5000,37,167.93
InsectWingbeat,linear_no_pe,4,,,,,,0.0898,0.2532,200,10,22,20000,25000,5000,1,38.39
InsectWingbeat,linear_conv_random_pe,4,0.7622,0.7046,1.2713,0.5692,1.2861,0.5531,0.2546,200,10,22,20000,25000,5000,34,161.24
InsectWingbeat,linear_conv_learnable_random_pe,4,0.7451,0.7065,1.1065,0.61,1.1402,0.5968,0.2546,200,10,22,20000,25000,5000,27,132.83
InsectWingbeat,linear_conv_sinusoidal,4,0.8895,0.6564,1.0736,0.6058,1.0804,0.5973,0.2546,200,10,22,20000,25000,5000,55,235.39
InsectWingbeat,linear_conv_learnable_sinusoidal,4,0.7312,0.7188,1.1166,0.6084,1.1118,0.6017,0.2546,200,10,22,20000,25000,5000,40,181.24
InsectWingbeat,linear_no_pe,5,,,,,,0.1,0.2532,200,10,22,20000,25000,5000,1,38.67
InsectWingbeat,linear_conv_random_pe,5,0.7863,0.6914,1.2869,0.5648,1.2807,0.5554,0.2546,200,10,22,20000,25000,5000,30,146.95
InsectWingbeat,linear_conv_learnable_random_pe,5,0.7347,0.7091,1.1818,0.591,1.193,0.5844,0.2546,200,10,22,20000,25000,5000,27,135.7
InsectWingbeat,linear_conv_sinusoidal,5,0.7894,0.6939,1.0382,0.6304,1.0813,0.6099,0.2546,200,10,22,20000,25000,5000,89,347.92
InsectWingbeat,linear_conv_learnable_sinusoidal,5,0.7486,0.7082,1.0604,0.6236,1.0871,0.6063,0.2546,200,10,22,20000,25000,5000,40,182.0
InsectWingbeat,linear_no_pe,6,,,,,,0.0999,0.2532,200,10,22,20000,25000,5000,1,38.0
InsectWingbeat,linear_conv_random_pe,6,0.7695,0.7063,1.2564,0.5724,1.2713,0.5542,0.2546,200,10,22,20000,25000,5000,34,160.84
InsectWingbeat,linear_conv_learnable_random_pe,6,0.8491,0.6651,1.173,0.5804,1.1819,0.5722,0.2546,200,10,22,20000,25000,5000,24,124.92
InsectWingbeat,linear_conv_sinusoidal,6,0.8102,0.6867,1.0061,0.6302,1.0521,0.6104,0.2546,200,10,22,20000,25000,5000,71,287.0
InsectWingbeat,linear_conv_learnable_sinusoidal,6,0.7755,0.6951,1.0781,0.614,1.1162,0.6018,0.2546,200,10,22,20000,25000,5000,41,183.81
InsectWingbeat,linear_no_pe,7,,,,,,0.0997,0.2532,200,10,22,20000,25000,5000,1,37.98
InsectWingbeat,linear_conv_random_pe,7,0.7711,0.7002,1.2466,0.5684,1.2621,0.5588,0.2546,200,10,22,20000,25000,5000,33,158.23
InsectWingbeat,linear_conv_learnable_random_pe,7,0.7467,0.7137,1.1503,0.603,1.1538,0.594,0.2546,200,10,22,20000,25000,5000,29,142.7
InsectWingbeat,linear_conv_sinusoidal,7,0.7822,0.7014,1.07,0.6214,1.0804,0.6072,0.2546,200,10,22,20000,25000,5000,78,312.28
InsectWingbeat,linear_conv_learnable_sinusoidal,7,0.7543,0.706,1.062,0.6212,1.0616,0.6131,0.2546,200,10,22,20000,25000,5000,35,165.87
