dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
ArticularyWordRecognition,1d_conv_additive_sinusoidal,220,144,25,0.9447,0.0089,10,0.0064,0.9447 ± 0.0064
ArticularyWordRecognition,1d_conv_circular_conv_sinusoidal,220,144,25,0.9520,0.0159,10,0.0114,0.9520 ± 0.0114
ArticularyWordRecognition,1d_conv_circular_conv_split_sinusoidal,220,144,25,0.9496,0.0130,9,0.0100,0.9496 ± 0.0100
ArticularyWordRecognition,1d_conv_component_wise_sinusoidal,220,144,25,0.9527,0.0154,10,0.0110,0.9527 ± 0.0110
ArticularyWordRecognition,linear_additive_sinusoidal,220,144,25,0.9304,0.0081,9,0.0062,0.9304 ± 0.0062
ArticularyWordRecognition,linear_additive_split_sinusoidal,220,144,25,0.9317,0.0181,10,0.0130,0.9317 ± 0.0130
ArticularyWordRecognition,linear_circular_conv_sinusoidal,220,144,25,0.9511,0.0082,9,0.0063,0.9511 ± 0.0063
ArticularyWordRecognition,linear_component_wise_sinusoidal,220,144,25,0.9503,0.0149,10,0.0106,0.9503 ± 0.0106
AtrialFibrillation,1d_conv_additive_sinusoidal,12,640,3,0.2600,0.1152,10,0.0824,0.2600 ± 0.0824
AtrialFibrillation,1d_conv_circular_conv_sinusoidal,12,640,3,0.3416,0.0427,8,0.0357,0.3416 ± 0.0357
AtrialFibrillation,1d_conv_circular_conv_split_sinusoidal,12,640,3,0.2667,0.0000,6,0.0000,0.2667 ± 0.0000
AtrialFibrillation,1d_conv_component_wise_sinusoidal,12,640,3,0.2933,0.0782,10,0.0560,0.2933 ± 0.0560
AtrialFibrillation,linear_additive_sinusoidal,12,640,3,0.2445,0.0471,9,0.0362,0.2445 ± 0.0362
AtrialFibrillation,linear_additive_split_sinusoidal,12,640,3,0.2733,0.0858,10,0.0614,0.2733 ± 0.0614
AtrialFibrillation,linear_circular_conv_sinusoidal,12,640,3,0.3067,0.0466,10,0.0333,0.3067 ± 0.0333
AtrialFibrillation,linear_component_wise_sinusoidal,12,640,3,0.3000,0.0566,10,0.0405,0.3000 ± 0.0405
BasicMotions,1d_conv_additive_sinusoidal,32,100,4,0.8917,0.0760,9,0.0584,0.8917 ± 0.0584
BasicMotions,1d_conv_circular_conv_sinusoidal,32,100,4,0.9475,0.0343,10,0.0245,0.9475 ± 0.0245
BasicMotions,1d_conv_circular_conv_split_sinusoidal,32,100,4,0.9700,0.0405,10,0.0290,0.9700 ± 0.0290
BasicMotions,1d_conv_component_wise_sinusoidal,32,100,4,0.9450,0.0497,10,0.0356,0.9450 ± 0.0356
BasicMotions,linear_additive_sinusoidal,32,100,4,0.9688,0.0177,8,0.0148,0.9688 ± 0.0148
BasicMotions,linear_additive_split_sinusoidal,32,100,4,0.9450,0.0307,10,0.0220,0.9450 ± 0.0220
BasicMotions,linear_circular_conv_sinusoidal,32,100,4,0.9694,0.0243,9,0.0187,0.9694 ± 0.0187
BasicMotions,linear_component_wise_sinusoidal,32,100,4,0.9667,0.0217,9,0.0166,0.9667 ± 0.0166
Cricket,1d_conv_additive_sinusoidal,86,1197,12,0.9583,0.0156,9,0.0120,0.9583 ± 0.0120
Cricket,1d_conv_circular_conv_sinusoidal,86,1197,12,0.8873,0.0306,9,0.0235,0.8873 ± 0.0235
Cricket,1d_conv_circular_conv_split_sinusoidal,86,1197,12,0.8847,0.0307,10,0.0220,0.8847 ± 0.0220
Cricket,1d_conv_component_wise_sinusoidal,86,1197,12,0.9028,0.0262,10,0.0187,0.9028 ± 0.0187
Cricket,linear_additive_sinusoidal,86,1197,12,0.9236,0.0372,10,0.0266,0.9236 ± 0.0266
Cricket,linear_additive_split_sinusoidal,86,1197,12,0.9398,0.0269,9,0.0207,0.9398 ± 0.0207
Cricket,linear_circular_conv_sinusoidal,86,1197,12,0.9059,0.0228,9,0.0175,0.9059 ± 0.0175
Cricket,linear_component_wise_sinusoidal,86,1197,12,0.9114,0.0147,8,0.0123,0.9114 ± 0.0123
DuckDuckGeese,1d_conv_additive_sinusoidal,40,270,5,0.2460,0.0550,10,0.0394,0.2460 ± 0.0394
DuckDuckGeese,1d_conv_circular_conv_sinusoidal,40,270,5,0.2800,0.1087,10,0.0778,0.2800 ± 0.0778
DuckDuckGeese,1d_conv_circular_conv_split_sinusoidal,40,270,5,0.2920,0.0707,10,0.0506,0.2920 ± 0.0506
DuckDuckGeese,1d_conv_component_wise_sinusoidal,40,270,5,0.3500,0.1047,10,0.0749,0.3500 ± 0.0749
DuckDuckGeese,linear_additive_sinusoidal,40,270,5,0.4740,0.0508,10,0.0364,0.4740 ± 0.0364
DuckDuckGeese,linear_additive_split_sinusoidal,40,270,5,0.5060,0.0558,10,0.0399,0.5060 ± 0.0399
DuckDuckGeese,linear_circular_conv_sinusoidal,40,270,5,0.2540,0.0660,10,0.0472,0.2540 ± 0.0472
DuckDuckGeese,linear_component_wise_sinusoidal,40,270,5,0.3556,0.0662,9,0.0509,0.3556 ± 0.0509
ERing,1d_conv_additive_sinusoidal,24,65,6,0.7270,0.0522,10,0.0373,0.7270 ± 0.0373
ERing,1d_conv_circular_conv_sinusoidal,24,65,6,0.8572,0.0261,9,0.0201,0.8572 ± 0.0201
ERing,1d_conv_circular_conv_split_sinusoidal,24,65,6,0.8707,0.0374,10,0.0268,0.8707 ± 0.0268
ERing,1d_conv_component_wise_sinusoidal,24,65,6,0.8674,0.0248,10,0.0178,0.8674 ± 0.0178
ERing,linear_additive_sinusoidal,24,65,6,0.6630,0.0394,9,0.0303,0.6630 ± 0.0303
ERing,linear_additive_split_sinusoidal,24,65,6,0.6839,0.0490,9,0.0376,0.6839 ± 0.0376
ERing,linear_circular_conv_sinusoidal,24,65,6,0.8689,0.0229,10,0.0163,0.8689 ± 0.0163
ERing,linear_component_wise_sinusoidal,24,65,6,0.8819,0.0354,9,0.0272,0.8819 ± 0.0272
Epilepsy,1d_conv_additive_sinusoidal,109,206,4,0.8800,0.0202,9,0.0155,0.8800 ± 0.0155
Epilepsy,1d_conv_circular_conv_sinusoidal,109,206,4,0.8232,0.0514,10,0.0368,0.8232 ± 0.0368
Epilepsy,1d_conv_circular_conv_split_sinusoidal,109,206,4,0.8101,0.0528,10,0.0378,0.8101 ± 0.0378
Epilepsy,1d_conv_component_wise_sinusoidal,109,206,4,0.8522,0.0396,10,0.0283,0.8522 ± 0.0283
Epilepsy,linear_additive_sinusoidal,109,206,4,0.8254,0.0347,10,0.0248,0.8254 ± 0.0248
Epilepsy,linear_additive_split_sinusoidal,109,206,4,0.8530,0.0069,7,0.0064,0.8530 ± 0.0064
Epilepsy,linear_circular_conv_sinusoidal,109,206,4,0.8442,0.0403,10,0.0288,0.8442 ± 0.0288
Epilepsy,linear_component_wise_sinusoidal,109,206,4,0.8319,0.0358,10,0.0256,0.8319 ± 0.0256
EthanolConcentration,1d_conv_additive_sinusoidal,208,1751,4,0.2602,0.0101,9,0.0078,0.2602 ± 0.0078
EthanolConcentration,1d_conv_circular_conv_sinusoidal,208,1751,4,0.2524,0.0091,8,0.0076,0.2524 ± 0.0076
EthanolConcentration,1d_conv_circular_conv_split_sinusoidal,208,1751,4,0.2540,0.0187,10,0.0134,0.2540 ± 0.0134
EthanolConcentration,1d_conv_component_wise_sinusoidal,208,1751,4,0.2616,0.0239,10,0.0171,0.2616 ± 0.0171
