dataset,model,run,train_acc,train_loss,val_acc,val_loss,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
FaceDetection,linear_additive_sinusoidal,1,0.5866,0.6695,0.5535,0.6906,0.697,0.5269,0.2665,144,2,62,4712,3524,1178,17,23.29
FaceDetection,linear_additive_split_sinusoidal,1,0.5879,0.6683,0.5713,0.6907,0.711,0.5184,0.2665,144,2,62,4712,3524,1178,19,25.2
FaceDetection,1d_conv_additive_sinusoidal,1,0.4898,,0.5254,,,0.5006,0.3355,144,2,62,4712,3524,1178,2,14.18
FaceDetection,linear_component_wise_sinusoidal,1,0.8867,0.2766,0.7598,0.6624,0.93,0.6657,0.2676,144,2,62,4712,3524,1178,19,26.24
FaceDetection,1d_conv_component_wise_sinusoidal,1,0.9153,0.2198,0.7581,0.6564,0.9687,0.664,0.337,144,2,62,4712,3524,1178,16,24.74
FaceDetection,linear_circular_conv_sinusoidal,1,0.8548,0.3313,0.7691,0.5855,0.8088,0.6743,0.2676,144,2,62,4712,3524,1178,19,25.29
FaceDetection,1d_conv_circular_conv_sinusoidal,1,0.7852,0.4534,0.7649,0.5202,0.6712,0.6703,0.3367,144,2,62,4712,3524,1178,17,24.7
FaceDetection,1d_conv_circular_conv_split_sinusoidal,1,0.9096,0.2334,0.7649,0.6459,0.9626,0.666,0.337,144,2,62,4712,3524,1178,15,23.34
FaceDetection,linear_additive_sinusoidal,2,0.5827,0.6756,0.5713,0.686,0.6907,0.548,0.2665,144,2,62,4712,3524,1178,22,27.4
FaceDetection,linear_additive_split_sinusoidal,2,0.6065,0.659,0.5459,0.694,0.7049,0.5417,0.2665,144,2,62,4712,3524,1178,21,27.23
FaceDetection,1d_conv_additive_sinusoidal,2,0.4949,,0.4966,,,0.4978,0.3355,144,2,62,4712,3524,1178,2,13.73
FaceDetection,linear_component_wise_sinusoidal,2,0.7992,0.4261,0.7513,0.5527,0.7082,0.6609,0.2674,144,2,62,4712,3524,1178,17,25.04
FaceDetection,1d_conv_component_wise_sinusoidal,2,0.8224,0.3975,0.7512,0.5687,0.7125,0.6623,0.3367,144,2,62,4712,3524,1178,15,23.7
FaceDetection,linear_circular_conv_sinusoidal,2,0.8289,0.3824,0.7547,0.5434,0.7435,0.6617,0.2676,144,2,62,4712,3524,1178,26,31.84
FaceDetection,1d_conv_circular_conv_sinusoidal,2,0.8782,0.2929,0.7623,0.5959,0.8341,0.6615,0.337,144,2,62,4712,3524,1178,17,25.76
FaceDetection,1d_conv_circular_conv_split_sinusoidal,2,0.8775,0.2957,0.7529,0.6344,0.8598,0.6564,0.3367,144,2,62,4712,3524,1178,15,24.08
FaceDetection,linear_additive_sinusoidal,3,0.6127,0.657,0.5747,0.6862,0.71,0.5261,0.2665,144,2,62,4712,3524,1178,20,25.57
FaceDetection,linear_additive_split_sinusoidal,3,0.5658,0.6805,0.5467,0.6912,0.6965,0.5247,0.2662,144,2,62,4712,3524,1178,15,22.31
FaceDetection,1d_conv_additive_sinusoidal,3,0.5019,,0.4924,,,0.4906,0.3355,144,2,62,4712,3524,1178,2,13.88
FaceDetection,linear_component_wise_sinusoidal,3,0.861,0.3251,0.7606,0.5858,0.8542,0.6492,0.2676,144,2,62,4712,3524,1178,20,26.79
FaceDetection,1d_conv_component_wise_sinusoidal,3,0.826,0.3962,0.7402,0.5658,0.7247,0.6737,0.3367,144,2,62,4712,3524,1178,16,24.02
FaceDetection,linear_circular_conv_sinusoidal,3,0.8319,0.3809,0.7555,0.5635,0.8001,0.6487,0.2676,144,2,62,4712,3524,1178,18,25.67
FaceDetection,1d_conv_circular_conv_sinusoidal,3,0.8935,0.2646,0.7708,0.6221,0.9116,0.6626,0.337,144,2,62,4712,3524,1178,17,25.57
