dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
ArticularyWordRecognition,linear_additive_N_L_1,220,144,25,0.9304,0.0081,9,0.0062,0.9304 ± 0.0062
ArticularyWordRecognition,linear_additive_N_L_2,220,144,25,0.9097,0.0223,10,0.0160,0.9097 ± 0.0160
ArticularyWordRecognition,linear_additive_N_L_4,220,144,25,0.8989,0.0147,9,0.0113,0.8989 ± 0.0113
ArticularyWordRecognition,linear_additive_N_L_8,220,144,25,0.8594,0.0347,10,0.0248,0.8594 ± 0.0248
ArticularyWordRecognition,linear_circular_conv_N_L_1,220,144,25,0.9511,0.0082,9,0.0063,0.9511 ± 0.0063
ArticularyWordRecognition,linear_circular_conv_N_L_2,220,144,25,0.9397,0.0164,10,0.0117,0.9397 ± 0.0117
ArticularyWordRecognition,linear_circular_conv_N_L_4,220,144,25,0.9263,0.0232,10,0.0166,0.9263 ± 0.0166
ArticularyWordRecognition,linear_circular_conv_N_L_8,220,144,25,0.9004,0.0173,10,0.0123,0.9004 ± 0.0123
ArticularyWordRecognition,linear_component_wise_N_L_1,220,144,25,0.9503,0.0149,10,0.0106,0.9503 ± 0.0106
ArticularyWordRecognition,linear_component_wise_N_L_2,220,144,25,0.9493,0.0086,9,0.0066,0.9493 ± 0.0066
ArticularyWordRecognition,linear_component_wise_N_L_4,220,144,25,0.9526,0.0091,9,0.0070,0.9526 ± 0.0070
ArticularyWordRecognition,linear_component_wise_N_L_8,220,144,25,0.9296,0.0056,9,0.0043,0.9296 ± 0.0043
AtrialFibrillation,linear_additive_N_L_1,12,640,3,0.2445,0.0471,9,0.0362,0.2445 ± 0.0362
AtrialFibrillation,linear_additive_N_L_2,12,640,3,0.2370,0.0588,9,0.0452,0.2370 ± 0.0452
AtrialFibrillation,linear_additive_N_L_4,12,640,3,0.2815,0.0444,9,0.0341,0.2815 ± 0.0341
AtrialFibrillation,linear_additive_N_L_8,12,640,3,0.3000,0.0648,10,0.0463,0.3000 ± 0.0463
AtrialFibrillation,linear_circular_conv_N_L_1,12,640,3,0.3067,0.0466,10,0.0333,0.3067 ± 0.0333
AtrialFibrillation,linear_circular_conv_N_L_2,12,640,3,0.2800,0.0689,10,0.0493,0.2800 ± 0.0493
AtrialFibrillation,linear_circular_conv_N_L_4,12,640,3,0.2867,0.0632,10,0.0452,0.2867 ± 0.0452
