dataset,model,run,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
FaceDetection,linear_additive_N_L_1,1,,,,,,0.4957,0.2644,144,2,62,4712,3524,1178,1,45.66
FaceDetection,linear_component_wise_N_L_1,1,,,,,0.7145,0.4742,0.2655,144,2,62,4712,3524,1178,1,47.22
FaceDetection,linear_additive_N_L_1,2,,,,,,0.5023,0.2644,144,2,62,4712,3524,1178,1,46.33
FaceDetection,linear_component_wise_N_L_1,2,,,,,0.7106,0.5136,0.2655,144,2,62,4712,3524,1178,1,47.81
FaceDetection,linear_additive_N_L_1,3,,,,,,0.4903,0.2644,144,2,62,4712,3524,1178,1,46.28
FaceDetection,linear_component_wise_N_L_1,3,0.3896,0.8251,0.5731,0.7547,0.7753,0.6478,0.2657,144,2,62,4712,3524,1178,19,69.5
FaceDetection,linear_additive_N_L_1,4,,,,,,0.502,0.2644,144,2,62,4712,3524,1178,1,46.6
FaceDetection,linear_component_wise_N_L_1,4,,,,,0.7267,0.5014,0.2655,144,2,62,4712,3524,1178,1,46.92
FaceDetection,linear_additive_N_L_1,5,,,,,,0.4866,0.2644,144,2,62,4712,3524,1178,1,45.34
FaceDetection,linear_component_wise_N_L_1,5,,,,,0.7196,0.4886,0.2655,144,2,62,4712,3524,1178,1,47.62
FaceDetection,linear_additive_N_L_1,6,,,,,,0.4931,0.2644,144,2,62,4712,3524,1178,1,45.73
FaceDetection,linear_component_wise_N_L_1,6,,,,,0.7074,0.4963,0.2655,144,2,62,4712,3524,1178,1,47.13
FaceDetection,linear_additive_N_L_1,7,,,,,,0.5014,0.2644,144,2,62,4712,3524,1178,1,46.53
FaceDetection,linear_component_wise_N_L_1,7,,,,,0.7129,0.4895,0.2655,144,2,62,4712,3524,1178,1,47.3
FaceDetection,linear_additive_N_L_1,8,,,,,,0.5122,0.2644,144,2,62,4712,3524,1178,1,45.92
FaceDetection,linear_component_wise_N_L_1,8,,,,,0.739,0.4946,0.2655,144,2,62,4712,3524,1178,1,47.39
FaceDetection,linear_additive_N_L_1,9,,,,,,0.5077,0.2644,144,2,62,4712,3524,1178,1,46.34
FaceDetection,linear_component_wise_N_L_1,9,,,,,0.7026,0.5085,0.2655,144,2,62,4712,3524,1178,1,47.53
FaceDetection,linear_additive_N_L_1,10,,,,,,0.4977,0.2644,144,2,62,4712,3524,1178,1,46.06
FaceDetection,linear_component_wise_N_L_1,10,,,,,0.7407,0.5097,0.2655,144,2,62,4712,3524,1178,1,47.27
InsectWingbeat,linear_additive_N_L_1,1,,,,,,0.0953,0.2532,200,10,22,20000,25000,5000,1,36.55
InsectWingbeat,linear_component_wise_N_L_1,1,0.7725,0.6981,1.0202,0.6242,1.0636,0.6086,0.2546,200,10,22,20000,25000,5000,27,135.69
InsectWingbeat,linear_additive_N_L_1,2,,,,,,0.0971,0.2532,200,10,22,20000,25000,5000,1,36.68
InsectWingbeat,linear_component_wise_N_L_1,2,0.8699,0.6599,1.0155,0.6258,1.0327,0.6058,0.2546,200,10,22,20000,25000,5000,26,129.76
InsectWingbeat,linear_additive_N_L_1,3,,,,,,0.0883,0.2532,200,10,22,20000,25000,5000,1,36.68
InsectWingbeat,linear_component_wise_N_L_1,3,0.747,0.7087,1.024,0.6152,1.0484,0.6195,0.2546,200,10,22,20000,25000,5000,27,133.62
InsectWingbeat,linear_additive_N_L_1,4,,,,,,0.0967,0.2532,200,10,22,20000,25000,5000,1,36.74
InsectWingbeat,linear_component_wise_N_L_1,4,0.7539,0.7043,1.0347,0.6276,1.0617,0.6095,0.2546,200,10,22,20000,25000,5000,32,149.42
InsectWingbeat,linear_additive_N_L_1,5,,,,,,0.1053,0.2532,200,10,22,20000,25000,5000,1,37.24
InsectWingbeat,linear_component_wise_N_L_1,5,0.7638,0.7049,1.0079,0.6346,1.036,0.6218,0.2546,200,10,22,20000,25000,5000,28,135.28
InsectWingbeat,linear_additive_N_L_1,6,,,,,,0.1039,0.2532,200,10,22,20000,25000,5000,1,36.78
InsectWingbeat,linear_component_wise_N_L_1,6,0.7752,0.6951,1.0163,0.6264,1.0512,0.6138,0.2546,200,10,22,20000,25000,5000,30,141.27
InsectWingbeat,linear_additive_N_L_1,7,,,,,,0.097,0.2532,200,10,22,20000,25000,5000,1,36.81
InsectWingbeat,linear_component_wise_N_L_1,7,0.7381,0.7101,1.0696,0.6162,1.0692,0.6155,0.2546,200,10,22,20000,25000,5000,29,140.08
InsectWingbeat,linear_additive_N_L_1,8,,,,,,0.1028,0.2532,200,10,22,20000,25000,5000,1,37.02
InsectWingbeat,linear_component_wise_N_L_1,8,0.709,0.7219,1.0462,0.6246,1.0841,0.6122,0.2546,200,10,22,20000,25000,5000,29,141.32
InsectWingbeat,linear_additive_N_L_1,9,,,,,,0.0984,0.2532,200,10,22,20000,25000,5000,1,36.6
InsectWingbeat,linear_component_wise_N_L_1,9,0.7483,0.7071,1.0044,0.633,1.048,0.6184,0.2546,200,10,22,20000,25000,5000,28,135.0
InsectWingbeat,linear_additive_N_L_1,10,,,,,,0.1033,0.2532,200,10,22,20000,25000,5000,1,37.4
InsectWingbeat,linear_component_wise_N_L_1,10,0.7556,0.704,1.0367,0.6224,1.0583,0.6138,0.2546,200,10,22,20000,25000,5000,35,162.46
PenDigits,linear_additive_N_L_1,1,0.0733,0.9775,0.0605,0.9873,0.0977,0.9734,0.1849,2,10,8,5995,3498,1499,100,108.14
PenDigits,linear_component_wise_N_L_1,1,0.0793,0.9738,0.0902,0.9806,0.1677,0.9597,0.1862,2,10,8,5995,3498,1499,87,103.24
PenDigits,linear_additive_N_L_1,2,0.1397,0.9563,0.0831,0.978,0.1533,0.9603,0.1849,2,10,8,5995,3498,1499,54,73.31
PenDigits,linear_component_wise_N_L_1,2,0.0785,0.9748,0.0845,0.9773,0.1421,0.9611,0.1862,2,10,8,5995,3498,1499,73,92.25
PenDigits,linear_additive_N_L_1,3,0.0797,0.975,0.0443,0.9927,0.1088,0.9723,0.1849,2,10,8,5995,3498,1499,100,109.44
PenDigits,linear_component_wise_N_L_1,3,0.074,0.9745,0.0762,0.9826,0.1768,0.9525,0.1862,2,10,8,5995,3498,1499,89,106.02
PenDigits,linear_additive_N_L_1,4,0.0594,0.9815,0.0489,0.9914,0.09,0.9734,0.1849,2,10,8,5995,3498,1499,100,110.57
PenDigits,linear_component_wise_N_L_1,4,0.0723,0.9738,0.0717,0.982,0.1483,0.9631,0.1862,2,10,8,5995,3498,1499,95,108.65
PenDigits,linear_additive_N_L_1,5,0.0604,0.9823,0.0476,0.9927,0.0878,0.9768,0.1849,2,10,8,5995,3498,1499,100,109.92
PenDigits,linear_component_wise_N_L_1,5,0.0752,0.9768,0.0748,0.9827,0.161,0.9574,0.1862,2,10,8,5995,3498,1499,82,99.91
PenDigits,linear_additive_N_L_1,6,0.0941,0.9731,0.0509,0.9894,0.1084,0.9677,0.1849,2,10,8,5995,3498,1499,68,87.56
PenDigits,linear_component_wise_N_L_1,6,0.0942,0.966,0.0932,0.9753,0.1956,0.95,0.1862,2,10,8,5995,3498,1499,72,90.0
PenDigits,linear_additive_N_L_1,7,0.0825,0.9736,0.0545,0.9893,0.096,0.9754,0.1849,2,10,8,5995,3498,1499,100,109.88
PenDigits,linear_component_wise_N_L_1,7,0.098,0.9698,0.0919,0.976,0.1792,0.9511,0.1862,2,10,8,5995,3498,1499,64,84.65
