dataset,train_samples,sequence_length,num_classes,linear_additive_N_L_1,linear_additive_N_L_2,linear_additive_N_L_4,linear_additive_N_L_8,linear_circular_conv_N_L_1,linear_circular_conv_N_L_2,linear_circular_conv_N_L_4,linear_circular_conv_N_L_8,linear_component_wise_N_L_1,linear_component_wise_N_L_2,linear_component_wise_N_L_4,linear_component_wise_N_L_8
ArticularyWordRecognition,220,144,25,0.9442 ± 0.0107,0.9100 ± 0.0143,0.9012 ± 0.0115,0.8646 ± 0.0191,0.9433 ± 0.0107,0.9408 ± 0.0087,0.9287 ± 0.0168,0.9008 ± 0.0103,0.9563 ± 0.0093,0.9508 ± 0.0064,0.9512 ± 0.0073,0.9283 ± 0.0036
AtrialFibrillation,12,640,3,0.2083 ± 0.0628,0.2500 ± 0.0394,0.2815 ± 0.0341,0.2889 ± 0.0444,0.3185 ± 0.0427,0.2667 ± 0.0444,0.2741 ± 0.0400,0.3185 ± 0.0226,0.3267 ± 0.0474,0.2750 ± 0.0197,0.2667 ± 0.0389,0.3037 ± 0.0270
BasicMotions,32,100,4,0.5906 ± 0.2791,0.9500 ± 0.0158,0.9083 ± 0.0461,0.8812 ± 0.0677,0.9438 ± 0.0268,0.9611 ± 0.0217,0.9469 ± 0.0074,0.8111 ± 0.1044,0.9694 ± 0.0285,0.9469 ± 0.0235,0.9500 ± 0.0360,0.8625 ± 0.0766
Cricket,86,1197,12,0.9305 ± 0.0358,0.9136 ± 0.0175,0.9166 ± 0.0186,0.9202 ± 0.0296,0.9043 ± 0.0164,0.8873 ± 0.0188,0.8924 ± 0.0184,0.7903 ± 0.0514,0.8993 ± 0.0350,0.9043 ± 0.0223,0.9042 ± 0.0316,0.8580 ± 0.0324
DuckDuckGeese,40,270,5,0.2689 ± 0.0601,0.4325 ± 0.0345,0.4667 ± 0.0709,0.3200 ± 0.0933,0.2978 ± 0.0861,0.3000 ± 0.0551,0.2750 ± 0.0534,0.2525 ± 0.0543,0.4222 ± 0.0321,0.3975 ± 0.0493,0.3100 ± 0.0862,0.2700 ± 0.0464
ERing,24,65,6,0.7750 ± 0.0200,0.6954 ± 0.0202,0.6334 ± 0.0433,0.3639 ± 0.1177,0.8607 ± 0.0262,0.8468 ± 0.0259,0.7829 ± 0.0600,0.6588 ± 0.0623,0.8838 ± 0.0145,0.8556 ± 0.0277,0.7685 ± 0.0553,0.7273 ± 0.0907
Epilepsy,109,206,4,0.9302 ± 0.0263,0.8360 ± 0.0229,0.8084 ± 0.0199,0.7355 ± 0.0212,0.8406 ± 0.0236,0.8180 ± 0.0203,0.7935 ± 0.0175,0.6975 ± 0.0592,0.7790 ± 0.1518,0.8224 ± 0.0307,0.8261 ± 0.0263,0.7781 ± 0.0197
EthanolConcentration,208,1751,4,0.2586 ± 0.0146,0.2476 ± 0.0143,0.2648 ± 0.0125,0.2505 ± 0.0036,0.2695 ± 0.0089,0.2719 ± 0.0121,0.2629 ± 0.0108,0.2553 ± 0.0067,0.2529 ± 0.0105,0.2633 ± 0.0134,0.2715 ± 0.0165,0.2496 ± 0.0048
FaceDetection,4712,62,2,0.4988 ± 0.0047,0.5315 ± 0.0039,0.5293 ± 0.0070,0.4996 ± 0.0009,0.6016 ± 0.0633,0.6602 ± 0.0032,0.6586 ± 0.0025,0.5032 ± 0.0043,0.5003 ± 0.0080,0.6617 ± 0.0031,0.6628 ± 0.0058,0.5003 ± 0.0008
FingerMovements,252,50,2,0.5060 ± 0.0368,0.4662 ± 0.0264,0.4878 ± 0.0242,0.4950 ± 0.0205,0.4725 ± 0.0302,0.5000 ± 0.0200,0.5200 ± 0.0313,0.5000 ± 0.0134,0.4938 ± 0.0414,0.4712 ± 0.0202,0.4725 ± 0.0227,0.4962 ± 0.0245
HandMovementDirection,128,400,4,0.2770 ± 0.0456,0.3581 ± 0.0387,0.3754 ± 0.0458,0.4054 ± 0.0000,0.4645 ± 0.0452,0.5017 ± 0.0185,0.4628 ± 0.0282,0.4003 ± 0.0084,0.4155 ± 0.0539,0.3679 ± 0.0431,0.3814 ± 0.0170,0.4054 ± 0.0000
Handwriting,120,152,26,0.0672 ± 0.0318,0.1151 ± 0.0091,0.1109 ± 0.0160,0.0772 ± 0.0125,0.1433 ± 0.0344,0.1715 ± 0.0159,0.1765 ± 0.0148,0.0722 ± 0.0175,0.1064 ± 0.0440,0.1503 ± 0.0132,0.1824 ± 0.0205,0.0928 ± 0.0140
Heartbeat,163,405,2,0.5122 ± 0.0830,0.7323 ± 0.0147,0.7213 ± 0.0176,0.7230 ± 0.0077,0.7390 ± 0.0075,0.7293 ± 0.0097,0.7311 ± 0.0130,0.7220 ± 0.0000,0.6378 ± 0.1255,0.7431 ± 0.0109,0.7378 ± 0.0253,0.7236 ± 0.0068
InsectWingbeat,20000,22,10,0.0993 ± 0.0029,0.6146 ± 0.0027,0.6170 ± 0.0026,0.1925 ± 0.1390,0.6040 ± 0.0033,0.6210 ± 0.0050,0.6101 ± 0.0056,0.0999 ± 0.0002,0.6139 ± 0.0032,0.6350 ± 0.0025,0.6360 ± 0.0022,0.1004 ± 0.0009
LSST,1967,36,14,0.3394 ± 0.0727,0.6003 ± 0.0103,0.6025 ± 0.0086,0.5796 ± 0.0080,0.5420 ± 0.0082,0.5426 ± 0.0066,0.5491 ± 0.0119,0.5277 ± 0.0066,0.5334 ± 0.1424,0.5983 ± 0.0059,0.5954 ± 0.0054,0.5841 ± 0.0057
