dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
ArticularyWordRecognition,linear_additive_1024,220,144,25,0.0478,0.0214,9,0.0164,0.0478 ± 0.0164
ArticularyWordRecognition,linear_additive_128,220,144,25,0.9367,0.0083,9,0.0064,0.9367 ± 0.0064
ArticularyWordRecognition,linear_additive_256,220,144,25,0.9459,0.0074,9,0.0057,0.9459 ± 0.0057
ArticularyWordRecognition,linear_additive_32,220,144,25,0.9077,0.0140,10,0.0100,0.9077 ± 0.0100
ArticularyWordRecognition,linear_additive_512,220,144,25,0.9227,0.0199,10,0.0143,0.9227 ± 0.0143
ArticularyWordRecognition,linear_additive_64,220,144,25,0.9230,0.0128,10,0.0092,0.9230 ± 0.0092
ArticularyWordRecognition,linear_circular_conv_1024,220,144,25,0.9063,0.0282,10,0.0202,0.9063 ± 0.0202
ArticularyWordRecognition,linear_circular_conv_128,220,144,25,0.9580,0.0089,10,0.0064,0.9580 ± 0.0064
ArticularyWordRecognition,linear_circular_conv_256,220,144,25,0.9310,0.0277,10,0.0198,0.9310 ± 0.0198
ArticularyWordRecognition,linear_circular_conv_32,220,144,25,0.9310,0.0102,10,0.0073,0.9310 ± 0.0073
ArticularyWordRecognition,linear_circular_conv_512,220,144,25,0.9353,0.0180,10,0.0129,0.9353 ± 0.0129
ArticularyWordRecognition,linear_circular_conv_64,220,144,25,0.9546,0.0050,8,0.0042,0.9546 ± 0.0042
ArticularyWordRecognition,linear_component_wise_1024,220,144,25,0.9413,0.0159,10,0.0114,0.9413 ± 0.0114
ArticularyWordRecognition,linear_component_wise_128,220,144,25,0.9547,0.0134,10,0.0096,0.9547 ± 0.0096
ArticularyWordRecognition,linear_component_wise_256,220,144,25,0.9543,0.0151,10,0.0108,0.9543 ± 0.0108
ArticularyWordRecognition,linear_component_wise_32,220,144,25,0.9327,0.0185,10,0.0132,0.9327 ± 0.0132
ArticularyWordRecognition,linear_component_wise_512,220,144,25,0.9344,0.0306,9,0.0235,0.9344 ± 0.0235
ArticularyWordRecognition,linear_component_wise_64,220,144,25,0.9493,0.0143,10,0.0102,0.9493 ± 0.0102
AtrialFibrillation,linear_additive_1024,12,640,3,0.3267,0.0858,10,0.0614,0.3267 ± 0.0614
AtrialFibrillation,linear_additive_128,12,640,3,0.2467,0.0632,10,0.0452,0.2467 ± 0.0452
AtrialFibrillation,linear_additive_256,12,640,3,0.2733,0.0492,10,0.0352,0.2733 ± 0.0352
AtrialFibrillation,linear_additive_32,12,640,3,0.2667,0.0831,10,0.0595,0.2667 ± 0.0595
AtrialFibrillation,linear_additive_512,12,640,3,0.2600,0.0663,10,0.0474,0.2600 ± 0.0474
AtrialFibrillation,linear_additive_64,12,640,3,0.2750,0.0427,8,0.0357,0.2750 ± 0.0357
AtrialFibrillation,linear_circular_conv_1024,12,640,3,0.2867,0.0549,10,0.0393,0.2867 ± 0.0393
AtrialFibrillation,linear_circular_conv_128,12,640,3,0.2467,0.0322,10,0.0230,0.2467 ± 0.0230
AtrialFibrillation,linear_circular_conv_256,12,640,3,0.2857,0.0325,7,0.0301,0.2857 ± 0.0301
AtrialFibrillation,linear_circular_conv_32,12,640,3,0.2741,0.0400,9,0.0308,0.2741 ± 0.0308
AtrialFibrillation,linear_circular_conv_512,12,640,3,0.2933,0.0644,10,0.0461,0.2933 ± 0.0461
AtrialFibrillation,linear_circular_conv_64,12,640,3,0.3037,0.0588,9,0.0452,0.3037 ± 0.0452
AtrialFibrillation,linear_component_wise_1024,12,640,3,0.2733,0.0663,10,0.0474,0.2733 ± 0.0474
AtrialFibrillation,linear_component_wise_128,12,640,3,0.2733,0.0584,10,0.0417,0.2733 ± 0.0417
AtrialFibrillation,linear_component_wise_256,12,640,3,0.2467,0.0549,10,0.0393,0.2467 ± 0.0393
AtrialFibrillation,linear_component_wise_32,12,640,3,0.2667,0.0889,10,0.0636,0.2667 ± 0.0636
AtrialFibrillation,linear_component_wise_512,12,640,3,0.2741,0.0400,9,0.0308,0.2741 ± 0.0308
AtrialFibrillation,linear_component_wise_64,12,640,3,0.2600,0.0492,10,0.0352,0.2600 ± 0.0352
BasicMotions,linear_additive_1024,32,100,4,0.4350,0.2346,10,0.1678,0.4350 ± 0.1678
BasicMotions,linear_additive_128,32,100,4,0.9531,0.0209,8,0.0174,0.9531 ± 0.0174
