dataset,model,run,train_acc,train_loss,val_acc,val_loss,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
FaceDetection,linear_additive_32,1,0.5641,0.6794,0.5476,0.6962,0.6913,0.5397,0.1296,144,2,62,4712,3524,1178,18,22.27
FaceDetection,linear_additive_64,1,0.5802,0.6738,0.5527,0.6901,0.6962,0.5392,0.2665,144,2,62,4712,3524,1178,13,19.09
FaceDetection,linear_additive_128,1,0.6061,0.6597,0.5595,0.6959,0.7059,0.5301,0.7599,144,2,62,4712,3524,1178,18,22.51
FaceDetection,linear_additive_256,1,0.5836,0.6712,0.5603,0.6919,0.6992,0.5375,2.6269,144,2,62,4712,3524,1178,14,22.05
FaceDetection,linear_additive_512,1,0.5724,0.6798,0.5603,0.689,0.6978,0.5244,9.8769,144,2,62,4712,3524,1178,17,26.11
FaceDetection,linear_additive_1024,1,0.4981,,0.4983,,,0.5142,38.4394,144,2,62,4712,3524,1178,2,20.91
FaceDetection,linear_component_wise_32,1,0.7965,0.4442,0.7564,0.5582,0.7195,0.6436,0.1306,144,2,62,4712,3524,1178,22,28.3
FaceDetection,linear_component_wise_64,1,0.8531,0.3363,0.775,0.5517,0.7886,0.6635,0.2676,144,2,62,4712,3524,1178,19,26.1
FaceDetection,linear_component_wise_128,1,0.8126,0.4082,0.7564,0.5348,0.7219,0.6581,0.7613,144,2,62,4712,3524,1178,17,24.93
FaceDetection,linear_component_wise_256,1,0.871,0.311,0.764,0.5818,0.8409,0.6708,2.6295,144,2,62,4712,3524,1178,17,26.74
FaceDetection,linear_component_wise_512,1,0.8311,0.3812,0.7648,0.544,0.7311,0.6646,9.8815,144,2,62,4712,3524,1178,16,33.37
FaceDetection,linear_component_wise_1024,1,0.8347,0.3807,0.7546,0.5392,0.7364,0.6555,38.4479,144,2,62,4712,3524,1178,16,60.93
FaceDetection,linear_circular_conv_32,1,0.8154,0.4188,0.7683,0.548,0.7446,0.6558,0.1306,144,2,62,4712,3524,1178,25,29.89
FaceDetection,linear_circular_conv_64,1,0.8007,0.4386,0.7623,0.518,0.6998,0.6646,0.2676,144,2,62,4712,3524,1178,21,27.68
FaceDetection,linear_circular_conv_128,1,0.8848,0.2655,0.7394,0.7096,1.0292,0.647,0.7616,144,2,62,4712,3524,1178,24,31.37
