dataset,train_samples,sequence_length,num_classes,linear_additive_1024,linear_additive_128,linear_additive_256,linear_additive_32,linear_additive_512,linear_additive_64,linear_circular_conv_1024,linear_circular_conv_128,linear_circular_conv_256,linear_circular_conv_32,linear_circular_conv_512,linear_circular_conv_64,linear_component_wise_1024,linear_component_wise_128,linear_component_wise_256,linear_component_wise_32,linear_component_wise_512,linear_component_wise_64
ArticularyWordRecognition,220,144,25,0.0478 ± 0.0164,0.9367 ± 0.0064,0.9459 ± 0.0057,0.9077 ± 0.0100,0.9227 ± 0.0143,0.9230 ± 0.0092,0.9063 ± 0.0202,0.9580 ± 0.0064,0.9310 ± 0.0198,0.9310 ± 0.0073,0.9353 ± 0.0129,0.9546 ± 0.0042,0.9413 ± 0.0114,0.9547 ± 0.0096,0.9543 ± 0.0108,0.9327 ± 0.0132,0.9344 ± 0.0235,0.9493 ± 0.0102
AtrialFibrillation,12,640,3,0.3267 ± 0.0614,0.2467 ± 0.0452,0.2733 ± 0.0352,0.2667 ± 0.0595,0.2600 ± 0.0474,0.2750 ± 0.0357,0.2867 ± 0.0393,0.2467 ± 0.0230,0.2857 ± 0.0301,0.2741 ± 0.0308,0.2933 ± 0.0461,0.3037 ± 0.0452,0.2733 ± 0.0474,0.2733 ± 0.0417,0.2467 ± 0.0393,0.2667 ± 0.0636,0.2741 ± 0.0308,0.2600 ± 0.0352
BasicMotions,32,100,4,0.4350 ± 0.1678,0.9531 ± 0.0174,0.9200 ± 0.0375,0.9583 ± 0.0304,0.9275 ± 0.0390,0.9361 ± 0.0274,0.8925 ± 0.0377,0.9500 ± 0.0000,0.9472 ± 0.0339,0.9139 ± 0.0420,0.9750 ± 0.0112,0.9750 ± 0.0146,0.8700 ± 0.0863,0.9750 ± 0.0000,0.9425 ± 0.0413,0.9444 ± 0.0427,0.9450 ± 0.0428,0.9833 ± 0.0096
Cricket,86,1197,12,0.0880 ± 0.0277,0.9542 ± 0.0163,0.9484 ± 0.0097,0.8972 ± 0.0435,0.9236 ± 0.0221,0.9491 ± 0.0107,0.8791 ± 0.0204,0.8861 ± 0.0276,0.9139 ± 0.0192,0.9010 ± 0.0169,0.9042 ± 0.0184,0.8889 ± 0.0224,0.9041 ± 0.0217,0.9264 ± 0.0205,0.9333 ± 0.0161,0.9012 ± 0.0229,0.9182 ± 0.0264,0.9074 ± 0.0214
DuckDuckGeese,40,270,5,0.2020 ± 0.0424,0.5180 ± 0.0594,0.5340 ± 0.0364,0.3380 ± 0.0655,0.5156 ± 0.0609,0.4200 ± 0.0361,0.3289 ± 0.0516,0.2940 ± 0.0572,0.3311 ± 0.0468,0.2500 ± 0.0253,0.3480 ± 0.0770,0.3120 ± 0.0593,0.3740 ± 0.0848,0.3840 ± 0.0591,0.4120 ± 0.0443,0.3460 ± 0.0739,0.3640 ± 0.0441,0.4000 ± 0.0387
ERing,24,65,6,0.1456 ± 0.0380,0.7165 ± 0.0255,0.6570 ± 0.0382,0.6498 ± 0.0400,0.6237 ± 0.0348,0.7007 ± 0.0384,0.6352 ± 0.0841,0.8652 ± 0.0363,0.8348 ± 0.0439,0.8444 ± 0.0325,0.7319 ± 0.0451,0.8730 ± 0.0158,0.6985 ± 0.0723,0.8830 ± 0.0254,0.8393 ± 0.0290,0.8444 ± 0.0240,0.7752 ± 0.0798,0.8685 ± 0.0302
Epilepsy,109,206,4,0.2964 ± 0.0624,0.8317 ± 0.0246,0.8290 ± 0.0182,0.8275 ± 0.0301,0.7552 ± 0.0186,0.8341 ± 0.0154,0.7471 ± 0.0508,0.8166 ± 0.0183,0.8168 ± 0.0153,0.8205 ± 0.0186,0.7935 ± 0.0363,0.8390 ± 0.0233,0.7058 ± 0.0228,0.8447 ± 0.0085,0.8358 ± 0.0100,0.8145 ± 0.0212,0.8116 ± 0.0165,0.8366 ± 0.0118
EthanolConcentration,208,1751,4,0.2531 ± 0.0158,0.2464 ± 0.0224,0.2476 ± 0.0113,0.2552 ± 0.0084,0.2593 ± 0.0120,0.2304 ± 0.0118,0.2585 ± 0.0136,0.2589 ± 0.0148,0.2646 ± 0.0179,0.2620 ± 0.0147,0.2738 ± 0.0131,0.2650 ± 0.0110,0.2646 ± 0.0177,0.2510 ± 0.0129,0.2521 ± 0.0125,0.2598 ± 0.0088,0.2624 ± 0.0126,0.2669 ± 0.0096
FaceDetection,4712,62,2,0.5000 ± 0.0113,0.5364 ± 0.0071,0.5350 ± 0.0051,0.5260 ± 0.0064,0.5340 ± 0.0084,0.5294 ± 0.0056,0.6002 ± 0.0390,0.6617 ± 0.0055,0.6618 ± 0.0045,0.6501 ± 0.0054,0.6394 ± 0.0086,0.6629 ± 0.0016,0.6559 ± 0.0045,0.6618 ± 0.0036,0.6669 ± 0.0017,0.6510 ± 0.0040,0.6622 ± 0.0030,0.6581 ± 0.0050
FingerMovements,252,50,2,0.4490 ± 0.0408,0.4790 ± 0.0299,0.4960 ± 0.0349,0.4670 ± 0.0352,0.4800 ± 0.0248,0.5020 ± 0.0263,0.4820 ± 0.0299,0.5060 ± 0.0278,0.4720 ± 0.0371,0.4775 ± 0.0153,0.4770 ± 0.0438,0.4740 ± 0.0320,0.4780 ± 0.0344,0.5189 ± 0.0229,0.4910 ± 0.0394,0.4712 ± 0.0164,0.4900 ± 0.0344,0.4770 ± 0.0213
HandMovementDirection,128,400,4,0.2297 ± 0.0408,0.3419 ± 0.0478,0.3311 ± 0.0454,0.2554 ± 0.0406,0.3405 ± 0.0412,0.2446 ± 0.0516,0.3419 ± 0.0539,0.5212 ± 0.0122,0.5419 ± 0.0268,0.4534 ± 0.0447,0.5149 ± 0.0297,0.4865 ± 0.0144,0.4985 ± 0.0183,0.4880 ± 0.0223,0.5311 ± 0.0423,0.4662 ± 0.0326,0.4932 ± 0.0171,0.4676 ± 0.0246
Handwriting,120,152,26,0.0425 ± 0.0055,0.0974 ± 0.0164,0.1098 ± 0.0081,0.0830 ± 0.0180,0.0851 ± 0.0172,0.0762 ± 0.0265,0.1241 ± 0.0162,0.1943 ± 0.0050,0.2058 ± 0.0064,0.0989 ± 0.0174,0.1769 ± 0.0216,0.1455 ± 0.0262,0.1521 ± 0.0126,0.2002 ± 0.0110,0.2060 ± 0.0182,0.0977 ± 0.0197,0.2002 ± 0.0153,0.1460 ± 0.0350
Heartbeat,163,405,2,0.5849 ± 0.0805,0.7220 ± 0.0226,0.7290 ± 0.0205,0.7344 ± 0.0130,0.7371 ± 0.0108,0.7361 ± 0.0163,0.7220 ± 0.0000,0.7268 ± 0.0046,0.7252 ± 0.0050,0.7400 ± 0.0134,0.7250 ± 0.0048,0.7283 ± 0.0116,0.7371 ± 0.0125,0.7317 ± 0.0106,0.7390 ± 0.0099,0.7290 ± 0.0075,0.7312 ± 0.0177,0.7299 ± 0.0053
InsectWingbeat,20000,22,10,0.1304 ± 0.0150,0.5350 ± 0.0027,0.5050 ± 0.0018,0.5315 ± 0.0012,0.5406 ± 0.0095,0.5792 ± 0.0026,0.5543 ± 0.0099,0.6009 ± 0.0043,0.5888 ± 0.0035,0.5825 ± 0.0064,0.5734 ± 0.0031,0.6002 ± 0.0044,0.5707 ± 0.0023,0.6138 ± 0.0024,0.6095 ± 0.0037,0.6051 ± 0.0044,0.5977 ± 0.0021,0.6115 ± 0.0028
LSST,1967,36,14,0.3213 ± 0.0036,0.5975 ± 0.0063,0.6021 ± 0.0087,0.5568 ± 0.0118,0.4859 ± 0.0364,0.5767 ± 0.0155,0.4928 ± 0.0057,0.5397 ± 0.0054,0.5464 ± 0.0094,0.5175 ± 0.0099,0.5340 ± 0.0101,0.5342 ± 0.0084,0.5302 ± 0.0106,0.5854 ± 0.0076,0.5890 ± 0.0086,0.5592 ± 0.0158,0.5717 ± 0.0102,0.5878 ± 0.0079
Libras,144,45,15,0.0811 ± 0.0204,0.4233 ± 0.0479,0.4050 ± 0.0582,0.4056 ± 0.0649,0.2965 ± 0.0108,0.4284 ± 0.0419,0.5545 ± 0.0350,0.6250 ± 0.0243,0.6095 ± 0.0347,0.5926 ± 0.0172,0.6311 ± 0.0130,0.5906 ± 0.0296,0.6235 ± 0.0201,0.6584 ± 0.0178,0.6439 ± 0.0207,0.6050 ± 0.0255,0.6512 ± 0.0129,0.6688 ± 0.0210
