model,mean_acc,mean_rank,std_rank,num_datasets
linear_component_wise_128,0.6472,4.6296,3.4518,27
linear_component_wise_256,0.6441,5.0000,3.7391,27
linear_component_wise_64,0.6389,5.8889,3.3751,27
linear_component_wise_512,0.6351,6.3333,3.0947,27
linear_circular_conv_64,0.6335,6.7037,5.1520,27
linear_circular_conv_128,0.6346,6.9074,4.5595,27
linear_circular_conv_256,0.6328,8.2692,4.7143,26
linear_circular_conv_512,0.6199,9.0370,4.0547,27
linear_component_wise_32,0.6239,9.2963,3.9523,27
linear_circular_conv_32,0.6157,9.4444,3.7012,27
linear_component_wise_1024,0.6157,10.1667,3.7647,27
linear_additive_256,0.5803,10.9630,5.1477,27
linear_additive_64,0.5696,11.0370,4.8555,27
linear_additive_128,0.5866,11.0741,4.8689,27
linear_additive_32,0.5539,12.7778,4.2457,27
linear_additive_512,0.5284,12.9630,4.5041,27
linear_circular_conv_1024,0.5875,13.3077,3.1940,26
linear_additive_1024,0.2784,16.6667,3.7417,27
