dataset,model,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
ArticularyWordRecognition,linear_conv_0_8_gaussian_fpe,0.9433,0.0103,9,0.0079,0.9433 ± 0.0079
ArticularyWordRecognition,linear_conv_1_sinc_fpe,0.9448,0.0047,9,0.0036,0.9448 ± 0.0036
ArticularyWordRecognition,linear_conv_2_sinc_fpe,0.9446,0.0092,8,0.0077,0.9446 ± 0.0077
ArticularyWordRecognition,linear_conv_5_sinc_fpe,0.9488,0.0064,8,0.0054,0.9488 ± 0.0054
ArticularyWordRecognition,linear_conv_learnable_random_pe,0.9300,0.0142,8,0.0119,0.9300 ± 0.0119
ArticularyWordRecognition,linear_conv_learnable_sinusoidal,0.9500,0.0064,8,0.0054,0.9500 ± 0.0054
ArticularyWordRecognition,linear_conv_random_pe,0.9350,0.0152,8,0.0127,0.9350 ± 0.0127
ArticularyWordRecognition,linear_conv_sinusoidal,0.9563,0.0086,9,0.0066,0.9563 ± 0.0066
ArticularyWordRecognition,linear_no_pe,0.9285,0.0110,9,0.0085,0.9285 ± 0.0085
AtrialFibrillation,linear_conv_0_8_gaussian_fpe,0.2867,0.0773,10,0.0553,0.2867 ± 0.0553
AtrialFibrillation,linear_conv_1_sinc_fpe,0.2593,0.0521,9,0.0401,0.2593 ± 0.0401
AtrialFibrillation,linear_conv_2_sinc_fpe,0.3417,0.0661,8,0.0552,0.3417 ± 0.0552
AtrialFibrillation,linear_conv_5_sinc_fpe,0.3800,0.0706,10,0.0505,0.3800 ± 0.0505
AtrialFibrillation,linear_conv_learnable_random_pe,0.3333,0.0000,9,0.0000,0.3333 ± 0.0000
AtrialFibrillation,linear_conv_learnable_sinusoidal,0.2667,0.0444,10,0.0318,0.2667 ± 0.0318
AtrialFibrillation,linear_conv_random_pe,0.3416,0.0427,8,0.0357,0.3416 ± 0.0357
AtrialFibrillation,linear_conv_sinusoidal,0.3250,0.0427,8,0.0357,0.3250 ± 0.0357
AtrialFibrillation,linear_no_pe,0.2519,0.0556,9,0.0427,0.2519 ± 0.0427
