dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
ArticularyWordRecognition,linear_conv_0_8_gaussian_fpe,220,144,25,0.9500,0.0055,9,0.0043,0.9500 ± 0.0043
ArticularyWordRecognition,linear_conv_1_sinc_fpe,220,144,25,0.9370,0.0137,10,0.0098,0.9370 ± 0.0098
ArticularyWordRecognition,linear_conv_2_sinc_fpe,220,144,25,0.9515,0.0122,9,0.0093,0.9515 ± 0.0093
ArticularyWordRecognition,linear_conv_5_sinc_fpe,220,144,25,0.9504,0.0101,10,0.0072,0.9504 ± 0.0072
ArticularyWordRecognition,linear_conv_learnable_random_pe,220,144,25,0.9373,0.0145,10,0.0104,0.9373 ± 0.0104
ArticularyWordRecognition,linear_conv_learnable_sinusoidal,220,144,25,0.9553,0.0182,10,0.0130,0.9553 ± 0.0130
ArticularyWordRecognition,linear_conv_random_pe,220,144,25,0.9304,0.0090,8,0.0075,0.9304 ± 0.0075
ArticularyWordRecognition,linear_conv_sinusoidal,220,144,25,0.9611,0.0062,9,0.0048,0.9611 ± 0.0048
ArticularyWordRecognition,linear_no_pe,220,144,25,0.9260,0.0131,10,0.0094,0.9260 ± 0.0094
AtrialFibrillation,linear_conv_0_8_gaussian_fpe,12,640,3,0.3200,0.0878,10,0.0628,0.3200 ± 0.0628
AtrialFibrillation,linear_conv_1_sinc_fpe,12,640,3,0.3267,0.0584,10,0.0417,0.3267 ± 0.0417
AtrialFibrillation,linear_conv_2_sinc_fpe,12,640,3,0.2600,0.0492,10,0.0352,0.2600 ± 0.0352
AtrialFibrillation,linear_conv_5_sinc_fpe,12,640,3,0.3167,0.0471,8,0.0394,0.3167 ± 0.0394
AtrialFibrillation,linear_conv_learnable_random_pe,12,640,3,0.2933,0.0644,10,0.0461,0.2933 ± 0.0461
AtrialFibrillation,linear_conv_learnable_sinusoidal,12,640,3,0.2600,0.0663,10,0.0474,0.2600 ± 0.0474
AtrialFibrillation,linear_conv_random_pe,12,640,3,0.3250,0.0427,8,0.0357,0.3250 ± 0.0357
AtrialFibrillation,linear_conv_sinusoidal,12,640,3,0.3067,0.0562,10,0.0402,0.3067 ± 0.0402
AtrialFibrillation,linear_no_pe,12,640,3,0.2667,0.0703,10,0.0503,0.2667 ± 0.0503
BasicMotions,linear_conv_0_8_gaussian_fpe,32,100,4,0.9475,0.0546,10,0.0390,0.9475 ± 0.0390
BasicMotions,linear_conv_1_sinc_fpe,32,100,4,0.9650,0.0503,10,0.0360,0.9650 ± 0.0360
BasicMotions,linear_conv_2_sinc_fpe,32,100,4,0.9500,0.0500,10,0.0358,0.9500 ± 0.0358
BasicMotions,linear_conv_5_sinc_fpe,32,100,4,0.9725,0.0249,10,0.0178,0.9725 ± 0.0178
BasicMotions,linear_conv_learnable_random_pe,32,100,4,0.8688,0.0563,8,0.0471,0.8688 ± 0.0471
BasicMotions,linear_conv_learnable_sinusoidal,32,100,4,0.9750,0.0189,8,0.0158,0.9750 ± 0.0158
BasicMotions,linear_conv_random_pe,32,100,4,0.8833,0.0559,9,0.0430,0.8833 ± 0.0430
BasicMotions,linear_conv_sinusoidal,32,100,4,0.9778,0.0264,9,0.0203,0.9778 ± 0.0203
BasicMotions,linear_no_pe,32,100,4,0.9472,0.0441,9,0.0339,0.9472 ± 0.0339
Cricket,linear_conv_0_8_gaussian_fpe,86,1197,12,0.9111,0.0426,10,0.0304,0.9111 ± 0.0304
Cricket,linear_conv_1_sinc_fpe,86,1197,12,0.9236,0.0256,10,0.0183,0.9236 ± 0.0183
Cricket,linear_conv_2_sinc_fpe,86,1197,12,0.8694,0.0548,10,0.0392,0.8694 ± 0.0392
Cricket,linear_conv_5_sinc_fpe,86,1197,12,0.9070,0.0293,10,0.0210,0.9070 ± 0.0210
Cricket,linear_conv_learnable_random_pe,86,1197,12,0.9147,0.0125,7,0.0116,0.9147 ± 0.0116
Cricket,linear_conv_learnable_sinusoidal,86,1197,12,0.9014,0.0343,10,0.0245,0.9014 ± 0.0245
Cricket,linear_conv_random_pe,86,1197,12,0.9087,0.0074,7,0.0068,0.9087 ± 0.0068
Cricket,linear_conv_sinusoidal,86,1197,12,0.9167,0.0310,9,0.0239,0.9167 ± 0.0239
Cricket,linear_no_pe,86,1197,12,0.9292,0.0281,10,0.0201,0.9292 ± 0.0201
DuckDuckGeese,linear_conv_0_8_gaussian_fpe,40,270,5,0.3220,0.1089,10,0.0779,0.3220 ± 0.0779
DuckDuckGeese,linear_conv_1_sinc_fpe,40,270,5,0.3489,0.0649,9,0.0499,0.3489 ± 0.0499
DuckDuckGeese,linear_conv_2_sinc_fpe,40,270,5,0.3956,0.0508,9,0.0390,0.3956 ± 0.0390
DuckDuckGeese,linear_conv_5_sinc_fpe,40,270,5,0.2480,0.1072,10,0.0767,0.2480 ± 0.0767
DuckDuckGeese,linear_conv_learnable_random_pe,40,270,5,0.3340,0.1083,10,0.0775,0.3340 ± 0.0775
DuckDuckGeese,linear_conv_learnable_sinusoidal,40,270,5,0.3360,0.0932,10,0.0667,0.3360 ± 0.0667
DuckDuckGeese,linear_conv_random_pe,40,270,5,0.2560,0.0580,10,0.0415,0.2560 ± 0.0415
DuckDuckGeese,linear_conv_sinusoidal,40,270,5,0.4314,0.0107,7,0.0099,0.4314 ± 0.0099
DuckDuckGeese,linear_no_pe,40,270,5,0.4500,0.0321,8,0.0268,0.4500 ± 0.0268
ERing,linear_conv_0_8_gaussian_fpe,24,65,6,0.8424,0.0219,9,0.0169,0.8424 ± 0.0169
ERing,linear_conv_1_sinc_fpe,24,65,6,0.8309,0.0489,9,0.0376,0.8309 ± 0.0376
ERing,linear_conv_2_sinc_fpe,24,65,6,0.8167,0.0288,8,0.0241,0.8167 ± 0.0241
ERing,linear_conv_5_sinc_fpe,24,65,6,0.8389,0.0483,10,0.0346,0.8389 ± 0.0346
ERing,linear_conv_learnable_random_pe,24,65,6,0.8441,0.0507,10,0.0363,0.8441 ± 0.0363
ERing,linear_conv_learnable_sinusoidal,24,65,6,0.8852,0.0342,10,0.0244,0.8852 ± 0.0244
ERing,linear_conv_random_pe,24,65,6,0.8383,0.0222,9,0.0171,0.8383 ± 0.0171
ERing,linear_conv_sinusoidal,24,65,6,0.8744,0.0278,10,0.0199,0.8744 ± 0.0199
ERing,linear_no_pe,24,65,6,0.6626,0.0347,9,0.0267,0.6626 ± 0.0267
Epilepsy,linear_conv_0_8_gaussian_fpe,109,206,4,0.8478,0.0166,9,0.0127,0.8478 ± 0.0127
Epilepsy,linear_conv_1_sinc_fpe,109,206,4,0.8485,0.0328,10,0.0235,0.8485 ± 0.0235
Epilepsy,linear_conv_2_sinc_fpe,109,206,4,0.8471,0.0274,10,0.0196,0.8471 ± 0.0196
Epilepsy,linear_conv_5_sinc_fpe,109,206,4,0.8478,0.0196,10,0.0140,0.8478 ± 0.0140
Epilepsy,linear_conv_learnable_random_pe,109,206,4,0.7225,0.0309,10,0.0221,0.7225 ± 0.0221
Epilepsy,linear_conv_learnable_sinusoidal,109,206,4,0.8138,0.0271,10,0.0194,0.8138 ± 0.0194
Epilepsy,linear_conv_random_pe,109,206,4,0.7782,0.0446,10,0.0319,0.7782 ± 0.0319
Epilepsy,linear_conv_sinusoidal,109,206,4,0.8454,0.0214,9,0.0165,0.8454 ± 0.0165
Epilepsy,linear_no_pe,109,206,4,0.8362,0.0338,10,0.0242,0.8362 ± 0.0242
EthanolConcentration,linear_conv_0_8_gaussian_fpe,208,1751,4,0.2631,0.0157,10,0.0112,0.2631 ± 0.0112
EthanolConcentration,linear_conv_1_sinc_fpe,208,1751,4,0.2551,0.0125,10,0.0089,0.2551 ± 0.0089
EthanolConcentration,linear_conv_2_sinc_fpe,208,1751,4,0.2494,0.0114,10,0.0081,0.2494 ± 0.0081
EthanolConcentration,linear_conv_5_sinc_fpe,208,1751,4,0.2649,0.0125,9,0.0096,0.2649 ± 0.0096
