dataset,train_samples,sequence_length,num_classes,linear_conv_0_8_gaussian_fpe,linear_conv_1_sinc_fpe,linear_conv_2_sinc_fpe,linear_conv_5_sinc_fpe,linear_conv_learnable_random_pe,linear_conv_learnable_sinusoidal,linear_conv_random_pe,linear_conv_sinusoidal,linear_no_pe
ArticularyWordRecognition,220,144,25,0.9500 ± 0.0043,0.9370 ± 0.0098,0.9515 ± 0.0093,0.9504 ± 0.0072,0.9373 ± 0.0104,0.9553 ± 0.0130,0.9304 ± 0.0075,0.9611 ± 0.0048,0.9260 ± 0.0094
AtrialFibrillation,12,640,3,0.3200 ± 0.0628,0.3267 ± 0.0417,0.2600 ± 0.0352,0.3167 ± 0.0394,0.2933 ± 0.0461,0.2600 ± 0.0474,0.3250 ± 0.0357,0.3067 ± 0.0402,0.2667 ± 0.0503
BasicMotions,32,100,4,0.9475 ± 0.0390,0.9650 ± 0.0360,0.9500 ± 0.0358,0.9725 ± 0.0178,0.8688 ± 0.0471,0.9750 ± 0.0158,0.8833 ± 0.0430,0.9778 ± 0.0203,0.9472 ± 0.0339
Cricket,86,1197,12,0.9111 ± 0.0304,0.9236 ± 0.0183,0.8694 ± 0.0392,0.9070 ± 0.0210,0.9147 ± 0.0116,0.9014 ± 0.0245,0.9087 ± 0.0068,0.9167 ± 0.0239,0.9292 ± 0.0201
DuckDuckGeese,40,270,5,0.3220 ± 0.0779,0.3489 ± 0.0499,0.3956 ± 0.0390,0.2480 ± 0.0767,0.3340 ± 0.0775,0.3360 ± 0.0667,0.2560 ± 0.0415,0.4314 ± 0.0099,0.4500 ± 0.0268
ERing,24,65,6,0.8424 ± 0.0169,0.8309 ± 0.0376,0.8167 ± 0.0241,0.8389 ± 0.0346,0.8441 ± 0.0363,0.8852 ± 0.0244,0.8383 ± 0.0171,0.8744 ± 0.0199,0.6626 ± 0.0267
Epilepsy,109,206,4,0.8478 ± 0.0127,0.8485 ± 0.0235,0.8471 ± 0.0196,0.8478 ± 0.0140,0.7225 ± 0.0221,0.8138 ± 0.0194,0.7782 ± 0.0319,0.8454 ± 0.0165,0.8362 ± 0.0242
EthanolConcentration,208,1751,4,0.2631 ± 0.0112,0.2551 ± 0.0089,0.2494 ± 0.0081,0.2649 ± 0.0096,0.2620 ± 0.0161,0.2624 ± 0.0190,0.2586 ± 0.0168,0.2620 ± 0.0137,0.2373 ± 0.0151
FaceDetection,4712,62,2,0.6302 ± 0.0023,0.6054 ± 0.0041,0.6289 ± 0.0040,0.6670 ± 0.0038,0.6542 ± 0.0064,0.6624 ± 0.0045,0.6337 ± 0.0060,0.6567 ± 0.0043,0.5374 ± 0.0038
FingerMovements,252,50,2,0.4980 ± 0.0316,0.5067 ± 0.0149,0.5160 ± 0.0332,0.5040 ± 0.0339,0.5138 ± 0.0077,0.5090 ± 0.0295,0.4980 ± 0.0276,0.5000 ± 0.0386,0.5129 ± 0.0128
HandMovementDirection,128,400,4,0.3946 ± 0.0415,0.4054 ± 0.0270,0.4446 ± 0.0297,0.5766 ± 0.0201,0.4865 ± 0.0474,0.4527 ± 0.0303,0.3797 ± 0.0548,0.4730 ± 0.0270,0.2703 ± 0.0648
Handwriting,120,152,26,0.1284 ± 0.0148,0.1354 ± 0.0200,0.1351 ± 0.0295,0.1632 ± 0.0305,0.1385 ± 0.0153,0.1511 ± 0.0250,0.0942 ± 0.0243,0.1567 ± 0.0138,0.0989 ± 0.0093
Heartbeat,163,405,2,0.7478 ± 0.0087,0.7419 ± 0.0081,0.7453 ± 0.0099,0.7312 ± 0.0161,0.7220 ± 0.0000,0.7312 ± 0.0092,0.7322 ± 0.0107,0.7385 ± 0.0133,0.7327 ± 0.0150
