dataset,train_samples,sequence_length,num_classes,linear_conv_0_8_gaussian_fpe,linear_conv_1_sinc_fpe,linear_conv_2_sinc_fpe,linear_conv_5_sinc_fpe,linear_conv_learnable_random_pe,linear_conv_learnable_sinusoidal,linear_conv_random_pe,linear_conv_sinusoidal,linear_no_pe
ArticularyWordRecognition,220,144,25,0.9453 ± 0.0083,0.9437 ± 0.0041,0.9437 ± 0.0099,0.9487 ± 0.0074,0.9287 ± 0.0129,0.9518 ± 0.0063,0.9347 ± 0.0132,0.9577 ± 0.0066,0.9260 ± 0.0094
AtrialFibrillation,12,640,3,0.2867 ± 0.0553,0.2667 ± 0.0389,0.3259 ± 0.0598,0.4083 ± 0.0357,0.3333 ± 0.0000,0.2667 ± 0.0000,0.3416 ± 0.0357,0.3250 ± 0.0357,0.2667 ± 0.0503
BasicMotions,32,100,4,0.9700 ± 0.0220,0.9833 ± 0.0166,0.9500 ± 0.0235,0.9625 ± 0.0360,0.8600 ± 0.0423,0.9625 ± 0.0360,0.8100 ± 0.0471,0.9639 ± 0.0169,0.9472 ± 0.0339
Cricket,86,1197,12,0.9105 ± 0.0132,0.9292 ± 0.0165,0.8875 ± 0.0232,0.8805 ± 0.0270,0.8796 ± 0.0169,0.8958 ± 0.0286,0.8709 ± 0.0162,0.8869 ± 0.0049,0.9292 ± 0.0201
DuckDuckGeese,40,270,5,0.3950 ± 0.0279,0.3320 ± 0.0708,0.3467 ± 0.0377,0.2644 ± 0.0375,0.3180 ± 0.0659,0.2600 ± 0.0629,0.2050 ± 0.0355,0.3460 ± 0.0600,0.4500 ± 0.0268
ERing,24,65,6,0.8396 ± 0.0314,0.8137 ± 0.0423,0.8420 ± 0.0278,0.8437 ± 0.0327,0.8564 ± 0.0128,0.8504 ± 0.0365,0.8278 ± 0.0198,0.8796 ± 0.0239,0.6626 ± 0.0267
Epilepsy,109,206,4,0.8615 ± 0.0098,0.8638 ± 0.0214,0.8609 ± 0.0192,0.8527 ± 0.0150,0.6732 ± 0.0177,0.8217 ± 0.0219,0.6927 ± 0.0339,0.8499 ± 0.0100,0.8362 ± 0.0242
EthanolConcentration,208,1751,4,0.2705 ± 0.0115,0.2658 ± 0.0137,0.2684 ± 0.0141,0.2662 ± 0.0077,0.2612 ± 0.0131,0.2563 ± 0.0169,0.2674 ± 0.0088,0.2547 ± 0.0111,0.2373 ± 0.0151
FaceDetection,4712,62,2,0.6243 ± 0.0068,0.5968 ± 0.0057,0.6298 ± 0.0058,0.6721 ± 0.0053,0.6549 ± 0.0043,0.6638 ± 0.0040,0.6396 ± 0.0066,0.6641 ± 0.0048,0.5374 ± 0.0038
FingerMovements,252,50,2,0.4870 ± 0.0284,0.4810 ± 0.0271,0.4840 ± 0.0371,0.5000 ± 0.0277,0.5071 ± 0.0116,0.4750 ± 0.0398,0.4822 ± 0.0191,0.4738 ± 0.0232,0.5129 ± 0.0128
