dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
ArticularyWordRecognition,linear_conv_0_8_gaussian_fpe,220,144,25,0.9453,0.0116,10,0.0083,0.9453 ± 0.0083
ArticularyWordRecognition,linear_conv_1_sinc_fpe,220,144,25,0.9437,0.0058,10,0.0041,0.9437 ± 0.0041
ArticularyWordRecognition,linear_conv_2_sinc_fpe,220,144,25,0.9437,0.0138,10,0.0099,0.9437 ± 0.0099
ArticularyWordRecognition,linear_conv_5_sinc_fpe,220,144,25,0.9487,0.0103,10,0.0074,0.9487 ± 0.0074
ArticularyWordRecognition,linear_conv_learnable_random_pe,220,144,25,0.9287,0.0180,10,0.0129,0.9287 ± 0.0129
ArticularyWordRecognition,linear_conv_learnable_sinusoidal,220,144,25,0.9518,0.0082,9,0.0063,0.9518 ± 0.0063
ArticularyWordRecognition,linear_conv_random_pe,220,144,25,0.9347,0.0184,10,0.0132,0.9347 ± 0.0132
ArticularyWordRecognition,linear_conv_sinusoidal,220,144,25,0.9577,0.0092,10,0.0066,0.9577 ± 0.0066
ArticularyWordRecognition,linear_no_pe,220,144,25,0.9260,0.0131,10,0.0094,0.9260 ± 0.0094
AtrialFibrillation,linear_conv_0_8_gaussian_fpe,12,640,3,0.2867,0.0773,10,0.0553,0.2867 ± 0.0553
AtrialFibrillation,linear_conv_1_sinc_fpe,12,640,3,0.2667,0.0544,10,0.0389,0.2667 ± 0.0389
AtrialFibrillation,linear_conv_2_sinc_fpe,12,640,3,0.3259,0.0778,9,0.0598,0.3259 ± 0.0598
AtrialFibrillation,linear_conv_5_sinc_fpe,12,640,3,0.4083,0.0427,8,0.0357,0.4083 ± 0.0357
AtrialFibrillation,linear_conv_learnable_random_pe,12,640,3,0.3333,0.0000,9,0.0000,0.3333 ± 0.0000
AtrialFibrillation,linear_conv_learnable_sinusoidal,12,640,3,0.2667,0.0000,6,0.0000,0.2667 ± 0.0000
AtrialFibrillation,linear_conv_random_pe,12,640,3,0.3416,0.0427,8,0.0357,0.3416 ± 0.0357
AtrialFibrillation,linear_conv_sinusoidal,12,640,3,0.3250,0.0427,8,0.0357,0.3250 ± 0.0357
AtrialFibrillation,linear_no_pe,12,640,3,0.2667,0.0703,10,0.0503,0.2667 ± 0.0503
BasicMotions,linear_conv_0_8_gaussian_fpe,32,100,4,0.9700,0.0307,10,0.0220,0.9700 ± 0.0220
BasicMotions,linear_conv_1_sinc_fpe,32,100,4,0.9833,0.0217,9,0.0166,0.9833 ± 0.0166
BasicMotions,linear_conv_2_sinc_fpe,32,100,4,0.9500,0.0306,9,0.0235,0.9500 ± 0.0235
BasicMotions,linear_conv_5_sinc_fpe,32,100,4,0.9625,0.0503,10,0.0360,0.9625 ± 0.0360
BasicMotions,linear_conv_learnable_random_pe,32,100,4,0.8600,0.0592,10,0.0423,0.8600 ± 0.0423
BasicMotions,linear_conv_learnable_sinusoidal,32,100,4,0.9625,0.0503,10,0.0360,0.9625 ± 0.0360
BasicMotions,linear_conv_random_pe,32,100,4,0.8100,0.0658,10,0.0471,0.8100 ± 0.0471
BasicMotions,linear_conv_sinusoidal,32,100,4,0.9639,0.0220,9,0.0169,0.9639 ± 0.0169
BasicMotions,linear_no_pe,32,100,4,0.9472,0.0441,9,0.0339,0.9472 ± 0.0339
Cricket,linear_conv_0_8_gaussian_fpe,86,1197,12,0.9105,0.0172,9,0.0132,0.9105 ± 0.0132
Cricket,linear_conv_1_sinc_fpe,86,1197,12,0.9292,0.0231,10,0.0165,0.9292 ± 0.0165
Cricket,linear_conv_2_sinc_fpe,86,1197,12,0.8875,0.0324,10,0.0232,0.8875 ± 0.0232
Cricket,linear_conv_5_sinc_fpe,86,1197,12,0.8805,0.0377,10,0.0270,0.8805 ± 0.0270
Cricket,linear_conv_learnable_random_pe,86,1197,12,0.8796,0.0219,9,0.0169,0.8796 ± 0.0169
Cricket,linear_conv_learnable_sinusoidal,86,1197,12,0.8958,0.0400,10,0.0286,0.8958 ± 0.0286
Cricket,linear_conv_random_pe,86,1197,12,0.8709,0.0227,10,0.0162,0.8709 ± 0.0162
Cricket,linear_conv_sinusoidal,86,1197,12,0.8869,0.0052,7,0.0049,0.8869 ± 0.0049
