dataset,model,run,train_acc,train_loss,val_acc,val_loss,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
FaceDetection,linear_no_pe,1,0.5847,0.6713,0.5509,0.6911,0.6945,0.5443,0.2664,144,2,62,4712,3524,1178,18,23.68
FaceDetection,linear_conv_random_pe,1,0.9017,0.2403,0.7292,0.7842,1.0048,0.6521,0.2676,144,2,62,4712,3524,1178,17,23.6
FaceDetection,linear_conv_learnable_random_pe,1,0.8922,0.2667,0.7547,0.6181,0.8701,0.6592,0.2676,144,2,62,4712,3524,1178,17,24.17
FaceDetection,linear_conv_sinusoidal,1,0.8158,0.4006,0.7581,0.535,0.7317,0.6685,0.2676,144,2,62,4712,3524,1178,23,28.28
FaceDetection,linear_conv_learnable_sinusoidal,1,0.8688,0.3208,0.7598,0.6137,0.8533,0.6558,0.2676,144,2,62,4712,3524,1178,17,24.89
FaceDetection,linear_conv_0_8_gaussian_fpe,1,0.7525,0.5095,0.7105,0.6059,0.7242,0.622,0.2675,144,2,62,4712,3524,1178,18,25.35
FaceDetection,linear_conv_1_sinc_fpe,1,0.718,0.5449,0.6554,0.6479,0.7553,0.5874,0.2675,144,2,62,4712,3524,1178,18,24.3
FaceDetection,linear_conv_2_sinc_fpe,1,0.694,0.5728,0.7106,0.5844,0.6754,0.6195,0.2675,144,2,62,4712,3524,1178,15,22.44
FaceDetection,linear_conv_5_sinc_fpe,1,0.8345,0.3706,0.7734,0.5457,0.7434,0.6683,0.2677,144,2,62,4712,3524,1178,18,25.05
FaceDetection,linear_no_pe,2,0.5796,0.6743,0.5696,0.6845,0.6907,0.5443,0.2664,144,2,62,4712,3524,1178,22,26.68
FaceDetection,linear_conv_random_pe,2,0.9098,0.2221,0.7173,0.8358,1.1252,0.626,0.2676,144,2,62,4712,3524,1178,18,25.03
FaceDetection,linear_conv_learnable_random_pe,2,0.8553,0.3412,0.7411,0.5865,0.7526,0.6714,0.2674,144,2,62,4712,3524,1178,16,24.26
FaceDetection,linear_conv_sinusoidal,2,0.8009,0.4413,0.7691,0.5259,0.6832,0.6754,0.2674,144,2,62,4712,3524,1178,18,25.36
FaceDetection,linear_conv_learnable_sinusoidal,2,0.7946,0.4435,0.7589,0.5247,0.6999,0.6592,0.2674,144,2,62,4712,3524,1178,18,25.41
FaceDetection,linear_conv_0_8_gaussian_fpe,2,0.8336,0.364,0.7241,0.7033,0.8949,0.6209,0.2677,144,2,62,4712,3524,1178,16,23.02
FaceDetection,linear_conv_1_sinc_fpe,2,0.7126,0.5523,0.6621,0.6333,0.7318,0.5976,0.2675,144,2,62,4712,3524,1178,18,24.97
FaceDetection,linear_conv_2_sinc_fpe,2,0.8302,0.3849,0.7216,0.6417,0.8334,0.6269,0.2677,144,2,62,4712,3524,1178,16,23.85
FaceDetection,linear_conv_5_sinc_fpe,2,0.8211,0.4089,0.7632,0.5319,0.6863,0.6737,0.2675,144,2,62,4712,3524,1178,19,24.96
FaceDetection,linear_no_pe,3,0.5864,0.67,0.556,0.6834,0.6972,0.5395,0.2664,144,2,62,4712,3524,1178,21,26.09
FaceDetection,linear_conv_random_pe,3,0.7744,0.4733,0.7224,0.5841,0.6935,0.6467,0.2674,144,2,62,4712,3524,1178,17,25.11
FaceDetection,linear_conv_learnable_random_pe,3,0.7882,0.4401,0.7436,0.5506,0.7019,0.6501,0.2674,144,2,62,4712,3524,1178,18,25.44
FaceDetection,linear_conv_sinusoidal,3,0.7986,0.4436,0.7521,0.5306,0.6996,0.6586,0.2674,144,2,62,4712,3524,1178,18,24.93
FaceDetection,linear_conv_learnable_sinusoidal,3,0.8642,0.3171,0.7734,0.5689,0.8198,0.6688,0.2676,144,2,62,4712,3524,1178,17,24.36
