dataset,linear_conv_0_8_gaussian_fpe,linear_conv_1_sinc_fpe,linear_conv_2_sinc_fpe,linear_conv_5_sinc_fpe,linear_conv_learnable_random_pe,linear_conv_learnable_sinusoidal,linear_conv_random_pe,linear_conv_sinusoidal,linear_no_pe
ArticularyWordRecognition,0.9433 ± 0.0079,0.9448 ± 0.0036,0.9446 ± 0.0077,0.9488 ± 0.0054,0.9300 ± 0.0119,0.9500 ± 0.0054,0.9350 ± 0.0127,0.9563 ± 0.0066,0.9285 ± 0.0085
AtrialFibrillation,0.2867 ± 0.0553,0.2593 ± 0.0401,0.3417 ± 0.0552,0.3800 ± 0.0505,0.3333 ± 0.0000,0.2667 ± 0.0318,0.3416 ± 0.0357,0.3250 ± 0.0357,0.2519 ± 0.0427
BasicMotions,0.9700 ± 0.0220,0.9833 ± 0.0166,0.9438 ± 0.0216,0.9750 ± 0.0254,0.8722 ± 0.0365,0.9722 ± 0.0325,0.7972 ± 0.0424,0.9594 ± 0.0156,0.9406 ± 0.0352
Cricket,0.9149 ± 0.0097,0.9271 ± 0.0149,0.8935 ± 0.0213,0.8837 ± 0.0214,0.8767 ± 0.0180,0.8993 ± 0.0247,0.8716 ± 0.0149,0.8781 ± 0.0139,0.9292 ± 0.0201
DuckDuckGeese,0.3700 ± 0.0498,0.3325 ± 0.0656,0.3467 ± 0.0377,0.2750 ± 0.0331,0.3150 ± 0.0649,0.2725 ± 0.0650,0.2375 ± 0.0524,0.3600 ± 0.0580,0.4500 ± 0.0268
ERing,0.8421 ± 0.0303,0.8062 ± 0.0441,0.8370 ± 0.0295,0.8539 ± 0.0263,0.8532 ± 0.0123,0.8565 ± 0.0294,0.8245 ± 0.0159,0.8810 ± 0.0230,0.6570 ± 0.0271
Epilepsy,0.8641 ± 0.0090,0.8583 ± 0.0199,0.8614 ± 0.0143,0.8527 ± 0.0150,0.6780 ± 0.0160,0.8164 ± 0.0208,0.7021 ± 0.0302,0.8442 ± 0.0158,0.8324 ± 0.0230
EthanolConcentration,0.2705 ± 0.0115,0.2652 ± 0.0110,0.2725 ± 0.0122,0.2662 ± 0.0077,0.2573 ± 0.0110,0.2547 ± 0.0161,0.2695 ± 0.0086,0.2557 ± 0.0085,0.2381 ± 0.0117
FaceDetection,0.6224 ± 0.0062,0.5969 ± 0.0047,0.6294 ± 0.0057,0.6720 ± 0.0045,0.6559 ± 0.0042,0.6648 ± 0.0038,0.6397 ± 0.0066,0.6629 ± 0.0044,0.5374 ± 0.0038
FingerMovements,0.4875 ± 0.0285,0.4812 ± 0.0238,0.4875 ± 0.0331,0.4912 ± 0.0221,0.5000 ± 0.0195,0.4738 ± 0.0387,0.4888 ± 0.0137,0.4738 ± 0.0232,0.5038 ± 0.0240
HandMovementDirection,0.4274 ± 0.0352,0.3784 ± 0.0372,0.4234 ± 0.0244,0.5777 ± 0.0189,0.4899 ± 0.0307,0.5068 ± 0.0234,0.3666 ± 0.0195,0.5000 ± 0.0432,0.2618 ± 0.0616
Handwriting,0.1447 ± 0.0153,0.1299 ± 0.0066,0.1510 ± 0.0182,0.1709 ± 0.0217,0.1415 ± 0.0105,0.1443 ± 0.0197,0.1101 ± 0.0185,0.1472 ± 0.0147,0.0903 ± 0.0182
Heartbeat,0.7342 ± 0.0141,0.7439 ± 0.0127,0.7490 ± 0.0097,0.7347 ± 0.0170,0.7220 ± 0.0000,0.7333 ± 0.0075,0.7226 ± 0.0014,0.7451 ± 0.0071,0.7329 ± 0.0149
InsectWingbeat,0.6150 ± 0.0025,0.6150 ± 0.0032,0.6128 ± 0.0011,0.5986 ± 0.0026,0.5916 ± 0.0058,0.6064 ± 0.0034,0.5572 ± 0.0020,0.6021 ± 0.0036,0.5755 ± 0.0045
LSST,0.6010 ± 0.0068,0.6052 ± 0.0097,0.5893 ± 0.0052,0.5447 ± 0.0095,0.5028 ± 0.0034,0.5448 ± 0.0097,0.4750 ± 0.0077,0.5444 ± 0.0088,0.5784 ± 0.0072
Libras,0.6694 ± 0.0163,0.6646 ± 0.0161,0.6479 ± 0.0400,0.6069 ± 0.0321,0.5931 ± 0.0214,0.6305 ± 0.0234,0.5875 ± 0.0190,0.6167 ± 0.0190,0.4222 ± 0.0296
