dataset,model,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
ArticularyWordRecognition,convtran,0.9387,0.0134,8,0.0112,0.9387 ± 0.0112
ArticularyWordRecognition,linear_conv_adaptive_sin_pe,0.9417,0.0059,8,0.0049,0.9417 ± 0.0049
ArticularyWordRecognition,linear_conv_sinusoidal,0.9563,0.0086,9,0.0066,0.9563 ± 0.0066
ArticularyWordRecognition,linear_mla,0.9546,0.0089,8,0.0074,0.9546 ± 0.0074
ArticularyWordRecognition,linear_rope,0.9467,0.0101,8,0.0084,0.9467 ± 0.0084
AtrialFibrillation,convtran,0.2533,0.0757,10,0.0541,0.2533 ± 0.0541
AtrialFibrillation,linear_conv_adaptive_sin_pe,0.3400,0.0734,10,0.0525,0.3400 ± 0.0525
AtrialFibrillation,linear_conv_sinusoidal,0.3250,0.0427,8,0.0357,0.3250 ± 0.0357
AtrialFibrillation,linear_mla,0.2917,0.0611,8,0.0510,0.2917 ± 0.0510
AtrialFibrillation,linear_rope,0.2963,0.0754,9,0.0579,0.2963 ± 0.0579
BasicMotions,convtran,0.8639,0.0772,9,0.0593,0.8639 ± 0.0593
BasicMotions,linear_conv_adaptive_sin_pe,0.9778,0.0150,9,0.0115,0.9778 ± 0.0115
BasicMotions,linear_conv_sinusoidal,0.9594,0.0186,8,0.0156,0.9594 ± 0.0156
BasicMotions,linear_mla,0.9575,0.0501,10,0.0358,0.9575 ± 0.0358
BasicMotions,linear_rope,0.9417,0.0354,9,0.0272,0.9417 ± 0.0272
Cricket,convtran,0.9479,0.0123,8,0.0103,0.9479 ± 0.0103
Cricket,linear_conv_adaptive_sin_pe,0.9097,0.0257,8,0.0215,0.9097 ± 0.0215
Cricket,linear_conv_sinusoidal,0.8781,0.0180,9,0.0139,0.8781 ± 0.0139
Cricket,linear_mla,0.9532,0.0209,8,0.0175,0.9532 ± 0.0175
Cricket,linear_rope,0.9584,0.0240,9,0.0185,0.9584 ± 0.0185
DuckDuckGeese,convtran,0.4111,0.0694,9,0.0533,0.4111 ± 0.0533
DuckDuckGeese,linear_conv_adaptive_sin_pe,0.3975,0.0654,8,0.0547,0.3975 ± 0.0547
DuckDuckGeese,linear_conv_sinusoidal,0.3600,0.0755,9,0.0580,0.3600 ± 0.0580
DuckDuckGeese,linear_mla,0.4000,0.0872,9,0.0670,0.4000 ± 0.0670
DuckDuckGeese,linear_rope,0.5311,0.0491,9,0.0377,0.5311 ± 0.0377
ERing,convtran,0.7822,0.0536,10,0.0383,0.7822 ± 0.0383
ERing,linear_conv_adaptive_sin_pe,0.8755,0.0326,8,0.0273,0.8755 ± 0.0273
ERing,linear_conv_sinusoidal,0.8810,0.0275,8,0.0230,0.8810 ± 0.0230
ERing,linear_mla,0.8042,0.0230,8,0.0192,0.8042 ± 0.0192
ERing,linear_rope,0.7824,0.0316,8,0.0264,0.7824 ± 0.0264
Epilepsy,convtran,0.9384,0.0182,8,0.0152,0.9384 ± 0.0152
