dataset,linear_additive_1024,linear_additive_128,linear_additive_256,linear_additive_32,linear_additive_512,linear_additive_64,linear_circular_conv_1024,linear_circular_conv_128,linear_circular_conv_256,linear_circular_conv_32,linear_circular_conv_512,linear_circular_conv_64,linear_component_wise_1024,linear_component_wise_128,linear_component_wise_256,linear_component_wise_32,linear_component_wise_512,linear_component_wise_64
ArticularyWordRecognition,0.0517 ± 0.0160,0.9367 ± 0.0064,0.9442 ± 0.0047,0.9059 ± 0.0105,0.9225 ± 0.0133,0.9246 ± 0.0076,0.9067 ± 0.0205,0.9587 ± 0.0049,0.9329 ± 0.0173,0.9330 ± 0.0066,0.9326 ± 0.0129,0.9546 ± 0.0042,0.9413 ± 0.0115,0.9567 ± 0.0096,0.9533 ± 0.0103,0.9304 ± 0.0138,0.9304 ± 0.0251,0.9496 ± 0.0077
AtrialFibrillation,0.3111 ± 0.0573,0.2593 ± 0.0401,0.2733 ± 0.0352,0.2667 ± 0.0516,0.2667 ± 0.0421,0.2750 ± 0.0357,0.2815 ± 0.0427,0.2467 ± 0.0230,0.2519 ± 0.0560,0.2834 ± 0.0258,0.2815 ± 0.0427,0.3167 ± 0.0394,0.2593 ± 0.0401,0.2733 ± 0.0417,0.2467 ± 0.0393,0.2445 ± 0.0444,0.2834 ± 0.0258,0.2600 ± 0.0352
BasicMotions,0.4722 ± 0.1654,0.9417 ± 0.0304,0.9200 ± 0.0375,0.9583 ± 0.0304,0.9275 ± 0.0390,0.9281 ± 0.0235,0.9028 ± 0.0339,0.9531 ± 0.0074,0.9406 ± 0.0352,0.9062 ± 0.0443,0.9656 ± 0.0156,0.9750 ± 0.0146,0.8844 ± 0.0723,0.9700 ± 0.0185,0.9556 ± 0.0330,0.9444 ± 0.0427,0.9583 ± 0.0346,0.9833 ± 0.0096
Cricket,0.0955 ± 0.0251,0.9549 ± 0.0149,0.9531 ± 0.0138,0.8941 ± 0.0407,0.9305 ± 0.0177,0.9491 ± 0.0107,0.8750 ± 0.0207,0.8920 ± 0.0276,0.9182 ± 0.0188,0.8935 ± 0.0226,0.8997 ± 0.0175,0.8871 ± 0.0201,0.9062 ± 0.0184,0.9306 ± 0.0207,0.9323 ± 0.0145,0.9012 ± 0.0229,0.9132 ± 0.0276,0.9074 ± 0.0214
DuckDuckGeese,0.2025 ± 0.0433,0.5225 ± 0.0568,0.5267 ± 0.0369,0.3450 ± 0.0534,0.5000 ± 0.0572,0.4300 ± 0.0322,0.3425 ± 0.0477,0.3000 ± 0.0473,0.3400 ± 0.0490,0.2500 ± 0.0253,0.3689 ± 0.0692,0.3100 ± 0.0572,0.3825 ± 0.0766,0.4000 ± 0.0533,0.4267 ± 0.0335,0.3644 ± 0.0695,0.3733 ± 0.0442,0.4050 ± 0.0355
ERing,0.1486 ± 0.0359,0.7079 ± 0.0187,0.6556 ± 0.0333,0.6412 ± 0.0404,0.6246 ± 0.0344,0.6995 ± 0.0346,0.6375 ± 0.0883,0.8704 ± 0.0334,0.8389 ± 0.0446,0.8449 ± 0.0319,0.7306 ± 0.0446,0.8713 ± 0.0135,0.6972 ± 0.0508,0.8866 ± 0.0206,0.8408 ± 0.0277,0.8398 ± 0.0249,0.7768 ± 0.0843,0.8704 ± 0.0274
Epilepsy,0.3100 ± 0.0618,0.8388 ± 0.0214,0.8297 ± 0.0141,0.8297 ± 0.0229,0.7500 ± 0.0165,0.8306 ± 0.0152,0.7536 ± 0.0494,0.8152 ± 0.0162,0.8062 ± 0.0282,0.8205 ± 0.0186,0.7935 ± 0.0371,0.8390 ± 0.0233,0.7013 ± 0.0233,0.8357 ± 0.0150,0.8333 ± 0.0097,0.8092 ± 0.0199,0.8080 ± 0.0165,0.8334 ± 0.0107
EthanolConcentration,0.2500 ± 0.0165,0.2438 ± 0.0200,0.2438 ± 0.0084,0.2552 ± 0.0071,0.2600 ± 0.0093,0.2268 ± 0.0099,0.2604 ± 0.0113,0.2556 ± 0.0145,0.2657 ± 0.0173,0.2586 ± 0.0142,0.2728 ± 0.0107,0.2657 ± 0.0104,0.2602 ± 0.0168,0.2539 ± 0.0126,0.2548 ± 0.0125,0.2576 ± 0.0083,0.2624 ± 0.0096,0.2691 ± 0.0094
FaceDetection,0.5011 ± 0.0092,0.5363 ± 0.0065,0.5353 ± 0.0049,0.5243 ± 0.0058,0.5350 ± 0.0070,0.5289 ± 0.0049,0.6059 ± 0.0404,0.6624 ± 0.0047,0.6625 ± 0.0048,0.6496 ± 0.0055,0.6407 ± 0.0069,0.6631 ± 0.0015,0.6571 ± 0.0043,0.6619 ± 0.0028,0.6673 ± 0.0017,0.6505 ± 0.0028,0.6627 ± 0.0032,0.6584 ± 0.0042
FingerMovements,0.4450 ± 0.0325,0.4700 ± 0.0249,0.4938 ± 0.0316,0.4578 ± 0.0323,0.4800 ± 0.0241,0.5067 ± 0.0274,0.4722 ± 0.0230,0.5133 ± 0.0255,0.4622 ± 0.0339,0.4900 ± 0.0236,0.4675 ± 0.0348,0.4656 ± 0.0293,0.4750 ± 0.0325,0.5125 ± 0.0204,0.4950 ± 0.0349,0.4910 ± 0.0322,0.4833 ± 0.0352,0.4722 ± 0.0210
HandMovementDirection,0.2264 ± 0.0329,0.3573 ± 0.0371,0.3328 ± 0.0427,0.2447 ± 0.0372,0.3362 ± 0.0370,0.2382 ± 0.0467,0.3514 ± 0.0460,0.5118 ± 0.0245,0.5422 ± 0.0186,0.4426 ± 0.0430,0.5060 ± 0.0249,0.4966 ± 0.0268,0.4985 ± 0.0183,0.4814 ± 0.0190,0.5304 ± 0.0399,0.4679 ± 0.0308,0.5051 ± 0.0209,0.4662 ± 0.0218
Handwriting,0.0428 ± 0.0044,0.0978 ± 0.0167,0.1102 ± 0.0066,0.0841 ± 0.0150,0.0866 ± 0.0167,0.0756 ± 0.0285,0.1099 ± 0.0241,0.1906 ± 0.0097,0.2062 ± 0.0068,0.0984 ± 0.0175,0.1779 ± 0.0199,0.1432 ± 0.0230,0.1553 ± 0.0118,0.1906 ± 0.0196,0.2105 ± 0.0173,0.0977 ± 0.0190,0.1988 ± 0.0141,0.1531 ± 0.0252
Heartbeat,0.5696 ± 0.0829,0.7165 ± 0.0216,0.7232 ± 0.0181,0.7311 ± 0.0122,0.7371 ± 0.0108,0.7372 ± 0.0152,0.7177 ± 0.0101,0.7280 ± 0.0042,0.7262 ± 0.0051,0.7371 ± 0.0133,0.7250 ± 0.0048,0.7257 ± 0.0115,0.7334 ± 0.0104,0.7305 ± 0.0108,0.7390 ± 0.0087,0.7311 ± 0.0067,0.7336 ± 0.0171,0.7299 ± 0.0053
InsectWingbeat,0.1301 ± 0.0144,0.5350 ± 0.0019,0.5051 ± 0.0015,0.5312 ± 0.0011,0.5378 ± 0.0082,0.5796 ± 0.0021,0.5526 ± 0.0106,0.6013 ± 0.0039,0.5898 ± 0.0030,0.5844 ± 0.0054,0.5707 ± 0.0043,0.6002 ± 0.0033,0.5710 ± 0.0022,0.6135 ± 0.0018,0.6098 ± 0.0036,0.6046 ± 0.0042,0.5979 ± 0.0020,0.6114 ± 0.0027
LSST,0.3176 ± 0.0093,0.5973 ± 0.0056,0.6016 ± 0.0075,0.5530 ± 0.0092,0.4881 ± 0.0313,0.5760 ± 0.0131,0.4906 ± 0.0072,0.5385 ± 0.0056,0.5462 ± 0.0089,0.5181 ± 0.0097,0.5336 ± 0.0104,0.5334 ± 0.0065,0.5317 ± 0.0082,0.5868 ± 0.0064,0.5890 ± 0.0089,0.5588 ± 0.0140,0.5728 ± 0.0091,0.5880 ± 0.0075
Libras,0.0820 ± 0.0150,0.4243 ± 0.0380,0.4035 ± 0.0567,0.4195 ± 0.0496,0.2965 ± 0.0108,0.4180 ± 0.0401,0.5535 ± 0.0320,0.6321 ± 0.0208,0.6083 ± 0.0285,0.5875 ± 0.0146,0.6306 ± 0.0119,0.5917 ± 0.0240,0.6292 ± 0.0177,0.6583 ± 0.0172,0.6458 ± 0.0172,0.6049 ± 0.0199,0.6472 ± 0.0105,0.6479 ± 0.0406
