dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
ArticularyWordRecognition,convtran,220,144,25,0.9376,0.0174,10,0.0125,0.9376 ± 0.0125
ArticularyWordRecognition,linear_conv_adaptive_sin_pe,220,144,25,0.9396,0.0082,9,0.0063,0.9396 ± 0.0063
ArticularyWordRecognition,linear_conv_sinusoidal,220,144,25,0.9577,0.0092,10,0.0066,0.9577 ± 0.0066
ArticularyWordRecognition,linear_mla,220,144,25,0.9544,0.0111,10,0.0079,0.9544 ± 0.0079
ArticularyWordRecognition,linear_rope,220,144,25,0.9485,0.0110,9,0.0084,0.9485 ± 0.0084
AtrialFibrillation,convtran,12,640,3,0.2533,0.0757,10,0.0541,0.2533 ± 0.0541
AtrialFibrillation,linear_conv_adaptive_sin_pe,12,640,3,0.3083,0.0345,8,0.0288,0.3083 ± 0.0288
AtrialFibrillation,linear_conv_sinusoidal,12,640,3,0.3250,0.0427,8,0.0357,0.3250 ± 0.0357
AtrialFibrillation,linear_mla,12,640,3,0.2917,0.0611,8,0.0510,0.2917 ± 0.0510
AtrialFibrillation,linear_rope,12,640,3,0.2800,0.0878,10,0.0628,0.2800 ± 0.0628
BasicMotions,convtran,32,100,4,0.8750,0.0808,10,0.0578,0.8750 ± 0.0578
BasicMotions,linear_conv_adaptive_sin_pe,32,100,4,0.9750,0.0000,6,0.0000,0.9750 ± 0.0000
BasicMotions,linear_conv_sinusoidal,32,100,4,0.9639,0.0220,9,0.0169,0.9639 ± 0.0169
BasicMotions,linear_mla,32,100,4,0.9575,0.0501,10,0.0358,0.9575 ± 0.0358
BasicMotions,linear_rope,32,100,4,0.9250,0.0144,7,0.0133,0.9250 ± 0.0133
Cricket,convtran,86,1197,12,0.9486,0.0197,10,0.0141,0.9486 ± 0.0141
Cricket,linear_conv_adaptive_sin_pe,86,1197,12,0.9083,0.0348,10,0.0249,0.9083 ± 0.0249
Cricket,linear_conv_sinusoidal,86,1197,12,0.8869,0.0052,7,0.0049,0.8869 ± 0.0049
Cricket,linear_mla,86,1197,12,0.9514,0.0272,10,0.0195,0.9514 ± 0.0195
Cricket,linear_rope,86,1197,12,0.9542,0.0262,10,0.0188,0.9542 ± 0.0188
DuckDuckGeese,convtran,40,270,5,0.4111,0.0694,9,0.0533,0.4111 ± 0.0533
DuckDuckGeese,linear_conv_adaptive_sin_pe,40,270,5,0.4067,0.0671,9,0.0516,0.4067 ± 0.0516
DuckDuckGeese,linear_conv_sinusoidal,40,270,5,0.3460,0.0838,10,0.0600,0.3460 ± 0.0600
DuckDuckGeese,linear_mla,40,270,5,0.3840,0.0965,10,0.0690,0.3840 ± 0.0690
DuckDuckGeese,linear_rope,40,270,5,0.5311,0.0491,9,0.0377,0.5311 ± 0.0377
ERing,convtran,24,65,6,0.7822,0.0536,10,0.0383,0.7822 ± 0.0383
ERing,linear_conv_adaptive_sin_pe,24,65,6,0.8730,0.0393,10,0.0281,0.8730 ± 0.0281
ERing,linear_conv_sinusoidal,24,65,6,0.8796,0.0334,10,0.0239,0.8796 ± 0.0239
ERing,linear_mla,24,65,6,0.8042,0.0230,8,0.0192,0.8042 ± 0.0192
ERing,linear_rope,24,65,6,0.7800,0.0374,10,0.0268,0.7800 ± 0.0268
Epilepsy,convtran,109,206,4,0.9475,0.0127,8,0.0106,0.9475 ± 0.0106
Epilepsy,linear_conv_adaptive_sin_pe,109,206,4,0.8406,0.0140,9,0.0108,0.8406 ± 0.0108
Epilepsy,linear_conv_sinusoidal,109,206,4,0.8499,0.0108,7,0.0100,0.8499 ± 0.0100
Epilepsy,linear_mla,109,206,4,0.8645,0.0108,10,0.0078,0.8645 ± 0.0078
Epilepsy,linear_rope,109,206,4,0.8524,0.0215,8,0.0180,0.8524 ± 0.0180
EthanolConcentration,convtran,208,1751,4,0.3046,0.0167,9,0.0129,0.3046 ± 0.0129
EthanolConcentration,linear_conv_adaptive_sin_pe,208,1751,4,0.2475,0.0160,10,0.0114,0.2475 ± 0.0114
EthanolConcentration,linear_conv_sinusoidal,208,1751,4,0.2547,0.0155,10,0.0111,0.2547 ± 0.0111
EthanolConcentration,linear_mla,208,1751,4,0.2624,0.0192,10,0.0138,0.2624 ± 0.0138
EthanolConcentration,linear_rope,208,1751,4,0.2582,0.0293,10,0.0209,0.2582 ± 0.0209
FaceDetection,convtran,4712,62,2,0.5202,0.0217,10,0.0155,0.5202 ± 0.0155
FaceDetection,linear_conv_adaptive_sin_pe,4712,62,2,0.6744,0.0070,10,0.0050,0.6744 ± 0.0050
FaceDetection,linear_conv_sinusoidal,4712,62,2,0.6641,0.0067,10,0.0048,0.6641 ± 0.0048
FaceDetection,linear_mla,4712,62,2,0.6063,0.0065,10,0.0046,0.6063 ± 0.0046
FaceDetection,linear_rope,4712,62,2,0.5516,0.0136,10,0.0097,0.5516 ± 0.0097
