dataset,train_samples,sequence_length,num_classes,convtran,linear_comp_wise_sinusoidal,linear_conv_0_8_gaussian_fpe,linear_conv_5_sinc_fpe,linear_conv_adaptive_sin_pe,linear_conv_sinusoidal,linear_mla,linear_null_pe,linear_rope
ArticularyWordRecognition,220,144,25,0.9376 ± 0.0125,0.9611 ± 0.0048,0.9453 ± 0.0083,0.9487 ± 0.0074,0.9396 ± 0.0063,0.9577 ± 0.0066,0.9544 ± 0.0079,0.9260 ± 0.0094,0.9485 ± 0.0084
AtrialFibrillation,12,640,3,0.2533 ± 0.0541,0.3067 ± 0.0402,0.2867 ± 0.0553,0.4083 ± 0.0357,0.3083 ± 0.0288,0.3250 ± 0.0357,0.2917 ± 0.0510,0.2667 ± 0.0503,0.2800 ± 0.0628
BasicMotions,32,100,4,0.8750 ± 0.0578,0.9778 ± 0.0203,0.9700 ± 0.0220,0.9625 ± 0.0360,0.9750 ± 0.0000,0.9639 ± 0.0169,0.9575 ± 0.0358,0.9472 ± 0.0339,0.9250 ± 0.0133
Cricket,86,1197,12,0.9486 ± 0.0141,0.9167 ± 0.0239,0.9105 ± 0.0132,0.8805 ± 0.0270,0.9083 ± 0.0249,0.8869 ± 0.0049,0.9514 ± 0.0195,0.9292 ± 0.0201,0.9542 ± 0.0188
DuckDuckGeese,40,270,5,0.4111 ± 0.0533,0.4314 ± 0.0099,0.3950 ± 0.0279,0.2644 ± 0.0375,0.4067 ± 0.0516,0.3460 ± 0.0600,0.3840 ± 0.0690,0.4500 ± 0.0268,0.5311 ± 0.0377
ERing,24,65,6,0.7822 ± 0.0383,0.8744 ± 0.0199,0.8396 ± 0.0314,0.8437 ± 0.0327,0.8730 ± 0.0281,0.8796 ± 0.0239,0.8042 ± 0.0192,0.6626 ± 0.0267,0.7800 ± 0.0268
Epilepsy,109,206,4,0.9475 ± 0.0106,0.8454 ± 0.0165,0.8615 ± 0.0098,0.8527 ± 0.0150,0.8406 ± 0.0108,0.8499 ± 0.0100,0.8645 ± 0.0078,0.8362 ± 0.0242,0.8524 ± 0.0180
EthanolConcentration,208,1751,4,0.3046 ± 0.0129,0.2620 ± 0.0137,0.2705 ± 0.0115,0.2662 ± 0.0077,0.2475 ± 0.0114,0.2547 ± 0.0111,0.2624 ± 0.0138,0.2373 ± 0.0151,0.2582 ± 0.0209
FaceDetection,4712,62,2,0.5202 ± 0.0155,0.6567 ± 0.0043,0.6243 ± 0.0068,0.6721 ± 0.0053,0.6744 ± 0.0050,0.6641 ± 0.0048,0.6063 ± 0.0046,0.5374 ± 0.0038,0.5516 ± 0.0097
FingerMovements,252,50,2,0.4730 ± 0.0246,0.5000 ± 0.0386,0.4870 ± 0.0284,0.5000 ± 0.0277,0.5030 ± 0.0352,0.4738 ± 0.0232,0.5150 ± 0.0264,0.5129 ± 0.0128,0.4790 ± 0.0260
HandMovementDirection,128,400,4,0.3027 ± 0.0498,0.4730 ± 0.0270,0.4354 ± 0.0355,0.5856 ± 0.0243,0.5149 ± 0.0385,0.5108 ± 0.0451,0.3324 ± 0.0600,0.2703 ± 0.0648,0.2892 ± 0.0371
Handwriting,120,152,26,0.2288 ± 0.0244,0.1567 ± 0.0138,0.1478 ± 0.0150,0.1746 ± 0.0205,0.1529 ± 0.0214,0.1492 ± 0.0179,0.1102 ± 0.0033,0.0989 ± 0.0093,0.0961 ± 0.0189
Heartbeat,163,405,2,0.5795 ± 0.1129,0.7385 ± 0.0133,0.7421 ± 0.0093,0.7327 ± 0.0181,0.7512 ± 0.0068,0.7451 ± 0.0071,0.7469 ± 0.0063,0.7327 ± 0.0150,0.7356 ± 0.0210
InsectWingbeat,20000,22,10,0.2381 ± 0.0579,0.6133 ± 0.0014,0.6148 ± 0.0028,0.5985 ± 0.0028,0.6123 ± 0.0034,0.6034 ± 0.0044,0.6281 ± 0.0023,0.5759 ± 0.0049,0.5947 ± 0.0021
LSST,1967,36,14,0.0524 ± 0.0321,0.5985 ± 0.0063,0.6016 ± 0.0079,0.5444 ± 0.0108,0.5820 ± 0.0113,0.5438 ± 0.0097,0.6052 ± 0.0050,0.5770 ± 0.0071,0.6103 ± 0.0053
Libras,144,45,15,0.7983 ± 0.0264,0.6265 ± 0.0200,0.6735 ± 0.0168,0.6022 ± 0.0378,0.6278 ± 0.0177,0.6167 ± 0.0190,0.5089 ± 0.1376,0.4321 ± 0.0341,0.6199 ± 0.0122
MotorImagery,222,3000,2,0.5310 ± 0.0277,0.5090 ± 0.0297,0.5150 ± 0.0315,0.5190 ± 0.0372,0.5030 ± 0.0351,0.4970 ± 0.0441,0.4778 ± 0.0220,0.4990 ± 0.0495,0.4678 ± 0.0148
NATOPS,144,51,6,0.8667 ± 0.0199,0.8617 ± 0.0304,0.8815 ± 0.0201,0.8056 ± 0.0279,0.8561 ± 0.0401,0.8600 ± 0.0287,0.8917 ± 0.0204,0.7118 ± 0.0115,0.8678 ± 0.0291
PEMS-SF,213,144,7,0.6595 ± 0.0242,0.7376 ± 0.0163,0.7220 ± 0.0196,0.7538 ± 0.0150,0.7208 ± 0.0213,0.7208 ± 0.0248,0.7087 ± 0.0194,0.5757 ± 0.0439,0.7046 ± 0.0260
PenDigits,5995,8,10,0.9824 ± 0.0015,0.9556 ± 0.0052,0.9644 ± 0.0037,0.9607 ± 0.0022,0.9617 ± 0.0018,0.9405 ± 0.0040,0.9429 ± 0.0036,0.7445 ± 0.0072,0.9024 ± 0.0015
PhonemeSpectra,2652,217,39,0.2543 ± 0.0098,0.0654 ± 0.0034,0.0708 ± 0.0023,0.0711 ± 0.0018,0.0658 ± 0.0019,0.0667 ± 0.0036,0.0670 ± 0.0039,0.0537 ± 0.0022,0.0884 ± 0.0061
RacketSports,120,30,4,0.7803 ± 0.0216,0.8329 ± 0.0185,0.8513 ± 0.0137,0.8408 ± 0.0166,0.8533 ± 0.0133,0.8472 ± 0.0145,0.8276 ± 0.0192,0.7980 ± 0.0250,0.8303 ± 0.0164
SelfRegulationSCP1,214,896,2,0.8513 ± 0.0169,0.7973 ± 0.0142,0.8040 ± 0.0199,0.7993 ± 0.0176,0.8157 ± 0.0132,0.8181 ± 0.0154,0.7694 ± 0.0284,0.7512 ± 0.0220,0.7778 ± 0.0329
SelfRegulationSCP2,160,1152,2,0.5354 ± 0.0099,0.5361 ± 0.0176,0.5445 ± 0.0090,0.5495 ± 0.0096,0.5456 ± 0.0107,0.5469 ± 0.0123,0.5303 ± 0.0113,0.5339 ± 0.0188,0.5417 ± 0.0106
SpokenArabicDigits,5279,93,10,0.9608 ± 0.0037,0.9761 ± 0.0043,0.9784 ± 0.0040,0.9795 ± 0.0033,0.9784 ± 0.0029,0.9699 ± 0.0046,0.9630 ± 0.0043,0.9121 ± 0.0079,0.9642 ± 0.0034
StandWalkJump,9,2500,3,0.3667 ± 0.0515,0.2741 ± 0.0400,0.3037 ± 0.0519,0.2963 ± 0.0452,0.3333 ± 0.0362,0.3200 ± 0.0376,0.3000 ± 0.0337,0.3250 ± 0.0357,0.2667 ± 0.0356
UWaveGestureLibraryAll,716,945,8,0.9550 ± 0.0039,0.8911 ± 0.0041,0.8679 ± 0.0116,0.8995 ± 0.0044,0.8918 ± 0.0065,0.8907 ± 0.0041,0.8158 ± 0.0110,0.1363 ± 0.0053,0.8607 ± 0.0110
Average,1627,540,9,0.6052,0.6421,0.643,0.6556,0.6447,0.6338,0.6272,0.561,0.6166
