dataset,model,train_samples,sequence_length,num_classes,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
ArticularyWordRecognition,linear_conv_0_41_sinc_fpe,220,144,25,0.9304,0.0126,9,0.0097,0.9304 ± 0.0097
ArticularyWordRecognition,linear_conv_0_sinc_fpe,220,144,25,0.9226,0.0203,9,0.0156,0.9226 ± 0.0156
ArticularyWordRecognition,linear_conv_1_83_sinc_fpe,220,144,25,0.3820,0.3745,10,0.2679,0.3820 ± 0.2679
ArticularyWordRecognition,linear_conv_1_sinc_fpe,220,144,25,0.7553,0.2733,10,0.1955,0.7553 ± 0.1955
ArticularyWordRecognition,linear_conv_3_sinc_fpe,220,144,25,0.5487,0.3410,10,0.2439,0.5487 ± 0.2439
ArticularyWordRecognition,linear_conv_4_66_sinc_fpe,220,144,25,0.5704,0.3908,10,0.2796,0.5704 ± 0.2796
ArticularyWordRecognition,linear_conv_7_sinc_fpe,220,144,25,0.9319,0.0284,9,0.0219,0.9319 ± 0.0219
ArticularyWordRecognition,linear_conv_sinusoidal,220,144,25,0.9453,0.0160,10,0.0114,0.9453 ± 0.0114
AtrialFibrillation,linear_conv_0_41_sinc_fpe,12,640,3,0.2600,0.0798,10,0.0571,0.2600 ± 0.0571
AtrialFibrillation,linear_conv_0_sinc_fpe,12,640,3,0.2133,0.0613,10,0.0438,0.2133 ± 0.0438
AtrialFibrillation,linear_conv_1_83_sinc_fpe,12,640,3,0.2733,0.0492,10,0.0352,0.2733 ± 0.0352
AtrialFibrillation,linear_conv_1_sinc_fpe,12,640,3,0.2370,0.0484,9,0.0372,0.2370 ± 0.0372
AtrialFibrillation,linear_conv_3_sinc_fpe,12,640,3,0.3200,0.0819,10,0.0586,0.3200 ± 0.0586
AtrialFibrillation,linear_conv_4_66_sinc_fpe,12,640,3,0.3000,0.0356,8,0.0298,0.3000 ± 0.0298
AtrialFibrillation,linear_conv_7_sinc_fpe,12,640,3,0.3267,0.0492,10,0.0352,0.3267 ± 0.0352
AtrialFibrillation,linear_conv_sinusoidal,12,640,3,0.2800,0.0757,10,0.0541,0.2800 ± 0.0541
BasicMotions,linear_conv_0_41_sinc_fpe,32,100,4,0.9528,0.0264,9,0.0203,0.9528 ± 0.0203
BasicMotions,linear_conv_0_sinc_fpe,32,100,4,0.9611,0.0309,9,0.0238,0.9611 ± 0.0238
BasicMotions,linear_conv_1_83_sinc_fpe,32,100,4,0.9625,0.0530,10,0.0379,0.9625 ± 0.0379
BasicMotions,linear_conv_1_sinc_fpe,32,100,4,0.9550,0.0350,10,0.0250,0.9550 ± 0.0250
BasicMotions,linear_conv_3_sinc_fpe,32,100,4,0.9775,0.0184,10,0.0132,0.9775 ± 0.0132
BasicMotions,linear_conv_4_66_sinc_fpe,32,100,4,0.9944,0.0110,9,0.0085,0.9944 ± 0.0085
BasicMotions,linear_conv_7_sinc_fpe,32,100,4,0.9600,0.0530,10,0.0379,0.9600 ± 0.0379
BasicMotions,linear_conv_sinusoidal,32,100,4,0.9556,0.0410,9,0.0315,0.9556 ± 0.0315
Cricket,linear_conv_0_41_sinc_fpe,86,1197,12,0.4000,0.3388,10,0.2424,0.4000 ± 0.2424
Cricket,linear_conv_0_sinc_fpe,86,1197,12,0.1337,0.0540,8,0.0452,0.1337 ± 0.0452
Cricket,linear_conv_1_83_sinc_fpe,86,1197,12,0.1034,0.0804,9,0.0618,0.1034 ± 0.0618
Cricket,linear_conv_1_sinc_fpe,86,1197,12,0.3611,0.2640,10,0.1889,0.3611 ± 0.1889
Cricket,linear_conv_3_sinc_fpe,86,1197,12,0.1065,0.0878,9,0.0675,0.1065 ± 0.0675
