dataset,model,run,train_acc,train_loss,val_acc,val_loss,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
FaceDetection,linear_conv_sinusoidal,1,0.767,0.4924,0.7275,0.5465,0.6955,0.6376,0.2676,144,2,62,4712,3524,1178,100,30.04
FaceDetection,linear_conv_0_sinc_fpe,1,0.5724,0.6744,0.5475,0.6875,0.6963,0.5389,0.2677,144,2,62,4712,3524,1178,68,22.8
FaceDetection,linear_conv_0_41_sinc_fpe,1,0.5735,0.6773,0.5696,0.6849,0.6884,0.5479,0.2677,144,2,62,4712,3524,1178,100,30.2
FaceDetection,linear_conv_sinusoidal,1,0.767,0.4924,0.7275,0.5465,0.6955,0.6376,0.2676,144,2,62,4712,3524,1178,100,19.06
FaceDetection,linear_conv_0_sinc_fpe,1,0.5724,0.6744,0.5475,0.6875,0.6963,0.5389,0.2677,144,2,62,4712,3524,1178,68,14.71
FaceDetection,linear_conv_0_41_sinc_fpe,1,0.5735,0.6773,0.5696,0.6849,0.6884,0.5479,0.2677,144,2,62,4712,3524,1178,100,19.47
FaceDetection,linear_conv_sinusoidal,1,0.767,0.4924,0.7275,0.5465,0.6955,0.6376,0.2676,144,2,62,4712,3524,1178,100,25.92
FaceDetection,linear_conv_0_sinc_fpe,1,0.5724,0.6744,0.5475,0.6875,0.6963,0.5389,0.2677,144,2,62,4712,3524,1178,68,15.88
FaceDetection,linear_conv_0_41_sinc_fpe,1,0.5735,0.6773,0.5696,0.6849,0.6884,0.5479,0.2677,144,2,62,4712,3524,1178,100,20.89
FaceDetection,linear_conv_sinusoidal,1,0.767,0.4924,0.7275,0.5465,0.6955,0.6376,0.2676,144,2,62,4712,3524,1178,100,18.22
FaceDetection,linear_conv_0_sinc_fpe,1,0.5724,0.6744,0.5475,0.6875,0.6963,0.5389,0.2677,144,2,62,4712,3524,1178,68,14.58
FaceDetection,linear_conv_0_41_sinc_fpe,1,0.5735,0.6773,0.5696,0.6849,0.6884,0.5479,0.2677,144,2,62,4712,3524,1178,100,18.86
FaceDetection,linear_conv_1_sinc_fpe,1,0.6341,0.6402,0.6052,0.6533,0.6921,0.5653,0.2677,144,2,62,4712,3524,1178,100,18.87
FaceDetection,linear_conv_1_83_sinc_fpe,1,0.6534,0.6221,0.6452,0.6297,0.6652,0.6027,0.2677,144,2,62,4712,3524,1178,100,18.99
FaceDetection,linear_conv_3_sinc_fpe,1,0.7298,0.5325,0.7199,0.5661,0.6769,0.6308,0.2677,144,2,62,4712,3524,1178,100,19.79
FaceDetection,linear_conv_4_66_sinc_fpe,1,0.7844,0.4528,0.7657,0.5272,0.6579,0.6652,0.2677,144,2,62,4712,3524,1178,44,10.42
FaceDetection,linear_conv_7_sinc_fpe,1,0.82,0.4089,0.7717,0.5234,0.6858,0.6759,0.2677,144,2,62,4712,3524,1178,40,10.21
FaceDetection,linear_conv_sinusoidal,2,0.7818,0.4624,0.7521,0.5419,0.6978,0.6496,0.2676,144,2,62,4712,3524,1178,53,13.06
FaceDetection,linear_conv_0_sinc_fpe,2,0.5401,0.688,0.5374,0.6947,0.697,0.5255,0.2677,144,2,62,4712,3524,1178,100,20.32
FaceDetection,linear_conv_0_41_sinc_fpe,2,0.7093,0.5642,0.6095,0.6833,0.7568,0.5664,0.2677,144,2,62,4712,3524,1178,42,10.43
FaceDetection,linear_conv_1_sinc_fpe,2,0.6935,0.5732,0.6477,0.6389,0.7152,0.5871,0.2677,144,2,62,4712,3524,1178,100,19.85
FaceDetection,linear_conv_1_83_sinc_fpe,2,0.5516,0.6888,0.5348,0.6985,0.7066,0.5071,0.2677,144,2,62,4712,3524,1178,100,20.15
FaceDetection,linear_conv_3_sinc_fpe,2,0.8298,0.3905,0.7445,0.581,0.7601,0.6521,0.2677,144,2,62,4712,3524,1178,18,8.6
FaceDetection,linear_conv_4_66_sinc_fpe,2,0.8077,0.4297,0.7649,0.526,0.6784,0.6575,0.2677,144,2,62,4712,3524,1178,60,16.48
FaceDetection,linear_conv_7_sinc_fpe,2,0.8054,0.4228,0.764,0.5331,0.6713,0.6754,0.2677,144,2,62,4712,3524,1178,48,13.54
FaceDetection,linear_conv_sinusoidal,3,0.8048,0.4311,0.7581,0.5469,0.6997,0.6578,0.2676,144,2,62,4712,3524,1178,81,19.15
FaceDetection,linear_conv_sinusoidal,1,0.7844,0.4554,0.7521,0.5364,0.7213,0.6461,0.2676,144,2,62,4712,3524,1178,47,11.82
FaceDetection,linear_conv_0_sinc_fpe,1,0.5868,0.6726,0.5662,0.6836,0.6961,0.5332,0.2677,144,2,62,4712,3524,1178,36,9.47
FaceDetection,linear_conv_0_41_sinc_fpe,1,0.6693,0.6077,0.6002,0.6732,0.7174,0.5616,0.2677,144,2,62,4712,3524,1178,64,14.06
FaceDetection,linear_conv_1_sinc_fpe,1,0.6971,0.5675,0.6511,0.6342,0.7133,0.5985,0.2677,144,2,62,4712,3524,1178,58,13.28
FaceDetection,linear_conv_1_83_sinc_fpe,1,0.6989,0.5729,0.6851,0.5971,0.6903,0.6047,0.2677,144,2,62,4712,3524,1178,100,20.72
FaceDetection,linear_conv_3_sinc_fpe,1,0.6931,0.5779,0.7148,0.5675,0.6462,0.6294,0.2677,144,2,62,4712,3524,1178,100,20.71
FaceDetection,linear_conv_4_66_sinc_fpe,1,0.7846,0.4576,0.7572,0.5341,0.6826,0.6524,0.2677,144,2,62,4712,3524,1178,43,10.82
FaceDetection,linear_conv_7_sinc_fpe,1,0.8188,0.4078,0.7649,0.5319,0.6847,0.6677,0.2677,144,2,62,4712,3524,1178,57,13.08
FaceDetection,linear_conv_sinusoidal,2,0.7591,0.5005,0.7385,0.5455,0.6701,0.647,0.2676,144,2,62,4712,3524,1178,100,20.29
FaceDetection,linear_conv_0_sinc_fpe,2,0.5997,0.6635,0.5551,0.6869,0.6915,0.5466,0.2677,144,2,62,4712,3524,1178,68,15.31
FaceDetection,linear_conv_0_41_sinc_fpe,2,0.5921,0.6645,0.5713,0.6774,0.691,0.5463,0.2677,144,2,62,4712,3524,1178,100,19.74
FaceDetection,linear_conv_1_sinc_fpe,2,0.7277,0.5354,0.6681,0.6348,0.743,0.5914,0.2677,144,2,62,4712,3524,1178,32,8.64
FaceDetection,linear_conv_1_83_sinc_fpe,2,0.7093,0.564,0.7037,0.5809,0.6747,0.6226,0.2677,144,2,62,4712,3524,1178,71,15.55
FaceDetection,linear_conv_3_sinc_fpe,2,0.7704,0.4827,0.7181,0.5748,0.6908,0.6427,0.2677,144,2,62,4712,3524,1178,37,9.68
FaceDetection,linear_conv_4_66_sinc_fpe,2,0.7878,0.4665,0.7504,0.536,0.6621,0.6629,0.2677,144,2,62,4712,3524,1178,50,11.76
FaceDetection,linear_conv_7_sinc_fpe,2,0.7496,0.5092,0.7258,0.5497,0.6241,0.6714,0.2677,144,2,62,4712,3524,1178,100,20.62
FaceDetection,linear_conv_sinusoidal,3,0.7952,0.4498,0.753,0.553,0.6923,0.6481,0.2676,144,2,62,4712,3524,1178,97,19.5
FaceDetection,linear_conv_0_sinc_fpe,3,0.5847,0.6717,0.5543,0.6877,0.694,0.5304,0.2677,144,2,62,4712,3524,1178,39,10.1
FaceDetection,linear_conv_0_41_sinc_fpe,3,0.6528,0.6234,0.6137,0.6638,0.7058,0.5602,0.2677,144,2,62,4712,3524,1178,76,15.99
FaceDetection,linear_conv_1_sinc_fpe,3,0.6855,0.5872,0.6392,0.65,0.7144,0.586,0.2677,144,2,62,4712,3524,1178,22,6.52
FaceDetection,linear_conv_1_83_sinc_fpe,3,0.6509,0.625,0.6494,0.6183,0.6816,0.5834,0.2677,144,2,62,4712,3524,1178,100,20.28
