dataset,model,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
ArticularyWordRecognition,1d_conv_additive_sinusoidal,0.5359,0.4652,9,0.2883,0.5359 ± 0.2883
ArticularyWordRecognition,1d_conv_circular_conv_sinusoidal,0.9454,0.0079,8,0.0053,0.9454 ± 0.0053
ArticularyWordRecognition,1d_conv_circular_conv_split_sinusoidal,0.9442,0.0068,8,0.0046,0.9442 ± 0.0046
ArticularyWordRecognition,1d_conv_component_wise_sinusoidal,0.9475,0.0043,8,0.0029,0.9475 ± 0.0029
ArticularyWordRecognition,linear_additive_sinusoidal,0.9146,0.0174,8,0.0116,0.9146 ± 0.0116
ArticularyWordRecognition,linear_additive_split_sinusoidal,0.9104,0.0212,8,0.0142,0.9104 ± 0.0142
ArticularyWordRecognition,linear_circular_conv_sinusoidal,0.9458,0.0094,8,0.0063,0.9458 ± 0.0063
ArticularyWordRecognition,linear_component_wise_sinusoidal,0.9450,0.0101,8,0.0068,0.9450 ± 0.0068
ArticularyWordRecognition,linear_component_wise_split_sinusoidal,0.9462,0.0109,8,0.0073,0.9462 ± 0.0073
AtrialFibrillation,1d_conv_additive_sinusoidal,0.3407,0.0521,9,0.0323,0.3407 ± 0.0323
AtrialFibrillation,1d_conv_circular_conv_sinusoidal,0.2867,0.0549,10,0.0318,0.2867 ± 0.0318
AtrialFibrillation,1d_conv_circular_conv_split_sinusoidal,0.2800,0.0526,10,0.0305,0.2800 ± 0.0305
AtrialFibrillation,1d_conv_component_wise_sinusoidal,0.3111,0.0333,9,0.0206,0.3111 ± 0.0206
AtrialFibrillation,linear_additive_sinusoidal,0.2734,0.0966,10,0.0560,0.2734 ± 0.0560
AtrialFibrillation,linear_additive_split_sinusoidal,0.2815,0.0444,9,0.0275,0.2815 ± 0.0275
AtrialFibrillation,linear_circular_conv_sinusoidal,0.2933,0.0562,10,0.0326,0.2933 ± 0.0326
AtrialFibrillation,linear_component_wise_sinusoidal,0.2963,0.0588,9,0.0364,0.2963 ± 0.0364
AtrialFibrillation,linear_component_wise_split_sinusoidal,0.2733,0.0584,10,0.0338,0.2733 ± 0.0338
BasicMotions,1d_conv_additive_sinusoidal,0.3000,0.1395,8,0.0935,0.3000 ± 0.0935
BasicMotions,1d_conv_circular_conv_sinusoidal,0.9094,0.0731,8,0.0490,0.9094 ± 0.0490
BasicMotions,1d_conv_circular_conv_split_sinusoidal,0.9444,0.0243,9,0.0151,0.9444 ± 0.0151
BasicMotions,1d_conv_component_wise_sinusoidal,0.9528,0.0341,9,0.0211,0.9528 ± 0.0211
BasicMotions,linear_additive_sinusoidal,0.6222,0.3063,9,0.1899,0.6222 ± 0.1899
BasicMotions,linear_additive_split_sinusoidal,0.7200,0.3149,10,0.1825,0.7200 ± 0.1825
BasicMotions,linear_circular_conv_sinusoidal,0.9125,0.0641,8,0.0429,0.9125 ± 0.0429
BasicMotions,linear_component_wise_sinusoidal,0.8938,0.0691,8,0.0463,0.8938 ± 0.0463
BasicMotions,linear_component_wise_split_sinusoidal,0.9472,0.0522,9,0.0324,0.9472 ± 0.0324
Cricket,1d_conv_additive_sinusoidal,0.2795,0.3807,8,0.2550,0.2795 ± 0.2550
Cricket,1d_conv_circular_conv_sinusoidal,0.7932,0.2433,9,0.1508,0.7932 ± 0.1508
Cricket,1d_conv_circular_conv_split_sinusoidal,0.9045,0.0495,8,0.0331,0.9045 ± 0.0331
Cricket,1d_conv_component_wise_sinusoidal,0.9219,0.0498,8,0.0333,0.9219 ± 0.0333
Cricket,linear_additive_sinusoidal,0.7812,0.2846,8,0.1907,0.7812 ± 0.1907
Cricket,linear_additive_split_sinusoidal,0.8333,0.2880,9,0.1785,0.8333 ± 0.1785
Cricket,linear_circular_conv_sinusoidal,0.8160,0.2796,8,0.1873,0.8160 ± 0.1873
Cricket,linear_component_wise_sinusoidal,0.7188,0.3477,8,0.2329,0.7188 ± 0.2329
Cricket,linear_component_wise_split_sinusoidal,0.6034,0.3878,9,0.2404,0.6034 ± 0.2404
DuckDuckGeese,1d_conv_additive_sinusoidal,0.2100,0.0501,8,0.0336,0.2100 ± 0.0336
DuckDuckGeese,1d_conv_circular_conv_sinusoidal,0.3000,0.0614,8,0.0411,0.3000 ± 0.0411
DuckDuckGeese,1d_conv_circular_conv_split_sinusoidal,0.2825,0.1017,8,0.0681,0.2825 ± 0.0681
DuckDuckGeese,1d_conv_component_wise_sinusoidal,0.2489,0.0609,9,0.0378,0.2489 ± 0.0378
DuckDuckGeese,linear_additive_sinusoidal,0.2022,0.0620,9,0.0384,0.2022 ± 0.0384
DuckDuckGeese,linear_additive_split_sinusoidal,0.2175,0.0249,8,0.0167,0.2175 ± 0.0167
DuckDuckGeese,linear_circular_conv_sinusoidal,0.3450,0.0657,8,0.0440,0.3450 ± 0.0440
DuckDuckGeese,linear_component_wise_sinusoidal,0.3067,0.0806,9,0.0500,0.3067 ± 0.0500
DuckDuckGeese,linear_component_wise_split_sinusoidal,0.4075,0.0667,8,0.0447,0.4075 ± 0.0447
ERing,1d_conv_additive_sinusoidal,0.6579,0.0637,8,0.0427,0.6579 ± 0.0427
ERing,1d_conv_circular_conv_sinusoidal,0.8300,0.0531,9,0.0329,0.8300 ± 0.0329
ERing,1d_conv_circular_conv_split_sinusoidal,0.7990,0.0405,8,0.0271,0.7990 ± 0.0271
ERing,1d_conv_component_wise_sinusoidal,0.8315,0.0196,8,0.0131,0.8315 ± 0.0131
ERing,linear_additive_sinusoidal,0.7496,0.0649,8,0.0435,0.7496 ± 0.0435
ERing,linear_additive_split_sinusoidal,0.7097,0.0480,8,0.0321,0.7097 ± 0.0321
ERing,linear_circular_conv_sinusoidal,0.7847,0.0613,8,0.0410,0.7847 ± 0.0410
ERing,linear_component_wise_sinusoidal,0.7324,0.0735,8,0.0493,0.7324 ± 0.0493
ERing,linear_component_wise_split_sinusoidal,0.8278,0.0691,8,0.0463,0.8278 ± 0.0463
Epilepsy,1d_conv_additive_sinusoidal,0.4602,0.3242,8,0.2172,0.4602 ± 0.2172
