dataset,1d_conv_additive_sinusoidal,1d_conv_circular_conv_isolated_sinusoidal,1d_conv_circular_conv_sinusoidal,1d_conv_component_wise_sinusoidal,linear_additive_isolated_sinusoidal,linear_additive_sinusoidal,linear_circular_conv_sinusoidal,linear_component_wise_isolated_sinusoidal,linear_component_wise_sinusoidal
ArticularyWordRecognition,0.5359 ± 0.2883,0.9442 ± 0.0046,0.9454 ± 0.0053,0.9475 ± 0.0029,0.9104 ± 0.0142,0.9146 ± 0.0116,0.9458 ± 0.0063,0.9462 ± 0.0073,0.9450 ± 0.0068
AtrialFibrillation,0.3407 ± 0.0323,0.2800 ± 0.0305,0.2867 ± 0.0318,0.3111 ± 0.0206,0.2815 ± 0.0275,0.2734 ± 0.0560,0.2933 ± 0.0326,0.2733 ± 0.0338,0.2963 ± 0.0364
BasicMotions,0.3000 ± 0.0935,0.9444 ± 0.0151,0.9094 ± 0.0490,0.9528 ± 0.0211,0.7200 ± 0.1825,0.6222 ± 0.1899,0.9125 ± 0.0429,0.9472 ± 0.0324,0.8938 ± 0.0463
Cricket,0.2795 ± 0.2550,0.9045 ± 0.0331,0.7932 ± 0.1508,0.9219 ± 0.0333,0.8333 ± 0.1785,0.7812 ± 0.1907,0.8160 ± 0.1873,0.6034 ± 0.2404,0.7188 ± 0.2329
DuckDuckGeese,0.2100 ± 0.0336,0.2825 ± 0.0681,0.3000 ± 0.0411,0.2489 ± 0.0378,0.2175 ± 0.0167,0.2022 ± 0.0384,0.3450 ± 0.0440,0.4075 ± 0.0447,0.3067 ± 0.0500
ERing,0.6579 ± 0.0427,0.7990 ± 0.0271,0.8300 ± 0.0329,0.8315 ± 0.0131,0.7097 ± 0.0321,0.7496 ± 0.0435,0.7847 ± 0.0410,0.8278 ± 0.0463,0.7324 ± 0.0493
Epilepsy,0.4602 ± 0.2172,0.8052 ± 0.0156,0.8334 ± 0.0149,0.7871 ± 0.1514,0.9158 ± 0.0180,0.8953 ± 0.0220,0.8134 ± 0.0236,0.5752 ± 0.1784,0.6730 ± 0.1726
EthanolConcentration,0.2486 ± 0.0094,0.2610 ± 0.0092,0.2714 ± 0.0056,0.2638 ± 0.0078,0.2658 ± 0.0109,0.2713 ± 0.0099,0.2672 ± 0.0087,0.2714 ± 0.0082,0.2497 ± 0.0094
FaceDetection,0.5076 ± 0.0062,0.6675 ± 0.0041,0.6640 ± 0.0029,0.6055 ± 0.0517,0.4992 ± 0.0042,0.5005 ± 0.0046,0.6622 ± 0.0023,0.6350 ± 0.0339,0.6379 ± 0.0398
FingerMovements,0.5350 ± 0.0226,0.4775 ± 0.0185,0.4988 ± 0.0154,0.4900 ± 0.0215,0.5100 ± 0.0152,0.4675 ± 0.0195,0.4975 ± 0.0286,0.5044 ± 0.0194,0.4767 ± 0.0268
HandMovementDirection,0.4003 ± 0.0067,0.4409 ± 0.0160,0.4324 ± 0.0359,0.4206 ± 0.0140,0.3970 ± 0.0127,0.3970 ± 0.0083,0.4324 ± 0.0227,0.3834 ± 0.0384,0.4234 ± 0.0377
Handwriting,0.1070 ± 0.0524,0.1758 ± 0.0152,0.1584 ± 0.0142,0.1718 ± 0.0130,0.1354 ± 0.0329,0.0730 ± 0.0249,0.1707 ± 0.0180,0.1625 ± 0.0108,0.1424 ± 0.0313
Heartbeat,0.4737 ± 0.0669,0.7348 ± 0.0116,0.7244 ± 0.0085,0.7281 ± 0.0060,0.5134 ± 0.0565,0.4732 ± 0.0729,0.7323 ± 0.0098,0.7158 ± 0.0060,0.7226 ± 0.0188
InsectWingbeat,0.0986 ± 0.0028,0.5696 ± 0.0025,0.5850 ± 0.0015,0.6028 ± 0.0017,0.0999 ± 0.0013,0.0945 ± 0.0016,0.6144 ± 0.0015,0.6354 ± 0.0029,0.6341 ± 0.0019
LSST,0.0606 ± 0.0274,0.5565 ± 0.0045,0.5477 ± 0.0098,0.6095 ± 0.0052,0.3809 ± 0.0226,0.2758 ± 0.0909,0.5535 ± 0.0070,0.5899 ± 0.0074,0.5968 ± 0.0087
Libras,0.3090 ± 0.2052,0.6648 ± 0.0125,0.6569 ± 0.0155,0.6743 ± 0.0177,0.7021 ± 0.0149,0.6819 ± 0.0133,0.6320 ± 0.0186,0.5993 ± 0.1388,0.5799 ± 0.1400
MotorImagery,0.4889 ± 0.0207,0.5067 ± 0.0217,0.4811 ± 0.0195,0.4950 ± 0.0345,0.4775 ± 0.0182,0.4912 ± 0.0181,0.5022 ± 0.0240,0.4950 ± 0.0235,0.4600 ± 0.0215
NATOPS,0.4528 ± 0.2181,0.8222 ± 0.0198,0.8000 ± 0.0154,0.8459 ± 0.0218,0.7389 ± 0.0146,0.7070 ± 0.0216,0.7861 ± 0.0354,0.8479 ± 0.0279,0.8285 ± 0.0352
PEMS-SF,0.1488 ± 0.0305,0.8071 ± 0.0204,0.7876 ± 0.0257,0.7854 ± 0.0170,0.3107 ± 0.1500,0.1329 ± 0.0172,0.7900 ± 0.0254,0.7637 ± 0.0188,0.7847 ± 0.0173
PenDigits,0.9807 ± 0.0012,0.9793 ± 0.0014,0.9790 ± 0.0024,0.9858 ± 0.0011,0.9786 ± 0.0010,0.9778 ± 0.0013,0.9444 ± 0.0037,0.9571 ± 0.0030,0.9575 ± 0.0018
PhonemeSpectra,0.0304 ± 0.0043,0.1540 ± 0.0019,0.1528 ± 0.0050,0.1532 ± 0.0040,0.0316 ± 0.0138,0.0407 ± 0.0184,0.0684 ± 0.0026,0.0707 ± 0.0017,0.0704 ± 0.0031
RacketSports,0.2327 ± 0.0298,0.7705 ± 0.1154,0.8380 ± 0.0100,0.8322 ± 0.0103,0.6760 ± 0.1271,0.5132 ± 0.1622,0.8438 ± 0.0145,0.8380 ± 0.0115,0.8446 ± 0.0147
SelfRegulationSCP1,0.6754 ± 0.0610,0.8102 ± 0.0216,0.8097 ± 0.0126,0.7986 ± 0.0181,0.7782 ± 0.0400,0.8033 ± 0.0356,0.7935 ± 0.0319,,0.7794 ± 0.0169
SelfRegulationSCP2,0.5167 ± 0.0195,0.5346 ± 0.0115,0.5264 ± 0.0187,0.5278 ± 0.0084,0.5424 ± 0.0063,0.5327 ± 0.0073,0.5188 ± 0.0126,0.5306 ± 0.0111,0.5179 ± 0.0117
SpokenArabicDigits,0.3115 ± 0.2624,0.9699 ± 0.0040,0.9761 ± 0.0028,0.9762 ± 0.0033,0.9436 ± 0.0036,0.8346 ± 0.2043,0.9724 ± 0.0032,0.9762 ± 0.0039,0.9806 ± 0.0011
StandWalkJump,0.3750 ± 0.0332,0.3556 ± 0.0462,0.2889 ± 0.0358,0.2963 ± 0.0364,0.3185 ± 0.0497,0.4000 ± 0.0653,0.3167 ± 0.0462,0.3111 ± 0.0547,0.3400 ± 0.0285
UWaveGestureLibraryAll,0.2281 ± 0.1095,0.8884 ± 0.0069,0.8858 ± 0.0058,0.8850 ± 0.0062,0.8897 ± 0.0053,0.8814 ± 0.0097,0.8883 ± 0.0084,0.8818 ± 0.0057,0.8805 ± 0.0091
