dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
ArticularyWordRecognition,1d_conv_additive_sinusoidal,0.5359 ± 0.2883,0.5359,0.4652,0.2883,9,10
ArticularyWordRecognition,1d_conv_circular_conv_sinusoidal,0.9454 ± 0.0053,0.9454,0.0079,0.0053,8,10
ArticularyWordRecognition,1d_conv_circular_conv_split_sinusoidal,0.9442 ± 0.0046,0.9442,0.0068,0.0046,8,10
ArticularyWordRecognition,1d_conv_component_wise_sinusoidal,0.9475 ± 0.0029,0.9475,0.0043,0.0029,8,10
ArticularyWordRecognition,linear_additive_sinusoidal,0.9146 ± 0.0116,0.9146,0.0174,0.0116,8,10
ArticularyWordRecognition,linear_additive_split_sinusoidal,0.9104 ± 0.0142,0.9104,0.0212,0.0142,8,10
ArticularyWordRecognition,linear_circular_conv_sinusoidal,0.9458 ± 0.0063,0.9458,0.0094,0.0063,8,10
ArticularyWordRecognition,linear_component_wise_sinusoidal,0.9450 ± 0.0068,0.9450,0.0101,0.0068,8,10
ArticularyWordRecognition,linear_component_wise_split_sinusoidal,0.9462 ± 0.0073,0.9462,0.0109,0.0073,8,10
AtrialFibrillation,1d_conv_additive_sinusoidal,0.3407 ± 0.0323,0.3407,0.0521,0.0323,9,10
AtrialFibrillation,1d_conv_circular_conv_sinusoidal,0.2867 ± 0.0318,0.2867,0.0549,0.0318,10,10
AtrialFibrillation,1d_conv_circular_conv_split_sinusoidal,0.2800 ± 0.0305,0.2800,0.0526,0.0305,10,10
AtrialFibrillation,1d_conv_component_wise_sinusoidal,0.3111 ± 0.0206,0.3111,0.0333,0.0206,9,10
AtrialFibrillation,linear_additive_sinusoidal,0.2734 ± 0.0560,0.2734,0.0966,0.0560,10,10
AtrialFibrillation,linear_additive_split_sinusoidal,0.2815 ± 0.0275,0.2815,0.0444,0.0275,9,10
AtrialFibrillation,linear_circular_conv_sinusoidal,0.2933 ± 0.0326,0.2933,0.0562,0.0326,10,10
AtrialFibrillation,linear_component_wise_sinusoidal,0.2963 ± 0.0364,0.2963,0.0588,0.0364,9,10
AtrialFibrillation,linear_component_wise_split_sinusoidal,0.2733 ± 0.0338,0.2733,0.0584,0.0338,10,10
BasicMotions,1d_conv_additive_sinusoidal,0.3000 ± 0.0935,0.3000,0.1395,0.0935,8,10
BasicMotions,1d_conv_circular_conv_sinusoidal,0.9094 ± 0.0490,0.9094,0.0731,0.0490,8,10
BasicMotions,1d_conv_circular_conv_split_sinusoidal,0.9444 ± 0.0151,0.9444,0.0243,0.0151,9,10
BasicMotions,1d_conv_component_wise_sinusoidal,0.9528 ± 0.0211,0.9528,0.0341,0.0211,9,10
BasicMotions,linear_additive_sinusoidal,0.6222 ± 0.1899,0.6222,0.3063,0.1899,9,10
BasicMotions,linear_additive_split_sinusoidal,0.7200 ± 0.1825,0.7200,0.3149,0.1825,10,10
BasicMotions,linear_circular_conv_sinusoidal,0.9125 ± 0.0429,0.9125,0.0641,0.0429,8,10
BasicMotions,linear_component_wise_sinusoidal,0.8938 ± 0.0463,0.8938,0.0691,0.0463,8,10
BasicMotions,linear_component_wise_split_sinusoidal,0.9472 ± 0.0324,0.9472,0.0522,0.0324,9,10
Cricket,1d_conv_additive_sinusoidal,0.2795 ± 0.2550,0.2795,0.3807,0.2550,8,10
Cricket,1d_conv_circular_conv_sinusoidal,0.7932 ± 0.1508,0.7932,0.2433,0.1508,9,10
Cricket,1d_conv_circular_conv_split_sinusoidal,0.9045 ± 0.0331,0.9045,0.0495,0.0331,8,10
Cricket,1d_conv_component_wise_sinusoidal,0.9219 ± 0.0333,0.9219,0.0498,0.0333,8,10
Cricket,linear_additive_sinusoidal,0.7812 ± 0.1907,0.7812,0.2846,0.1907,8,10
Cricket,linear_additive_split_sinusoidal,0.8333 ± 0.1785,0.8333,0.2880,0.1785,9,10
Cricket,linear_circular_conv_sinusoidal,0.8160 ± 0.1873,0.8160,0.2796,0.1873,8,10
Cricket,linear_component_wise_sinusoidal,0.7188 ± 0.2329,0.7188,0.3477,0.2329,8,10
Cricket,linear_component_wise_split_sinusoidal,0.6034 ± 0.2404,0.6034,0.3878,0.2404,9,10
DuckDuckGeese,1d_conv_additive_sinusoidal,0.2100 ± 0.0336,0.2100,0.0501,0.0336,8,10
DuckDuckGeese,1d_conv_circular_conv_sinusoidal,0.3000 ± 0.0411,0.3000,0.0614,0.0411,8,10
DuckDuckGeese,1d_conv_circular_conv_split_sinusoidal,0.2825 ± 0.0681,0.2825,0.1017,0.0681,8,10
DuckDuckGeese,1d_conv_component_wise_sinusoidal,0.2489 ± 0.0378,0.2489,0.0609,0.0378,9,10
DuckDuckGeese,linear_additive_sinusoidal,0.2022 ± 0.0384,0.2022,0.0620,0.0384,9,10
DuckDuckGeese,linear_additive_split_sinusoidal,0.2175 ± 0.0167,0.2175,0.0249,0.0167,8,10
DuckDuckGeese,linear_circular_conv_sinusoidal,0.3450 ± 0.0440,0.3450,0.0657,0.0440,8,10
DuckDuckGeese,linear_component_wise_sinusoidal,0.3067 ± 0.0500,0.3067,0.0806,0.0500,9,10
DuckDuckGeese,linear_component_wise_split_sinusoidal,0.4075 ± 0.0447,0.4075,0.0667,0.0447,8,10
ERing,1d_conv_additive_sinusoidal,0.6579 ± 0.0427,0.6579,0.0637,0.0427,8,10
ERing,1d_conv_circular_conv_sinusoidal,0.8300 ± 0.0329,0.8300,0.0531,0.0329,9,10
ERing,1d_conv_circular_conv_split_sinusoidal,0.7990 ± 0.0271,0.7990,0.0405,0.0271,8,10
ERing,1d_conv_component_wise_sinusoidal,0.8315 ± 0.0131,0.8315,0.0196,0.0131,8,10
ERing,linear_additive_sinusoidal,0.7496 ± 0.0435,0.7496,0.0649,0.0435,8,10
ERing,linear_additive_split_sinusoidal,0.7097 ± 0.0321,0.7097,0.0480,0.0321,8,10
ERing,linear_circular_conv_sinusoidal,0.7847 ± 0.0410,0.7847,0.0613,0.0410,8,10
ERing,linear_component_wise_sinusoidal,0.7324 ± 0.0493,0.7324,0.0735,0.0493,8,10
ERing,linear_component_wise_split_sinusoidal,0.8278 ± 0.0463,0.8278,0.0691,0.0463,8,10
Epilepsy,1d_conv_additive_sinusoidal,0.4602 ± 0.2172,0.4602,0.3242,0.2172,8,10
Epilepsy,1d_conv_circular_conv_sinusoidal,0.8334 ± 0.0149,0.8334,0.0222,0.0149,8,10
Epilepsy,1d_conv_circular_conv_split_sinusoidal,0.8052 ± 0.0156,0.8052,0.0252,0.0156,9,10
Epilepsy,1d_conv_component_wise_sinusoidal,0.7871 ± 0.1514,0.7871,0.2260,0.1514,8,10
Epilepsy,linear_additive_sinusoidal,0.8953 ± 0.0220,0.8953,0.0355,0.0220,9,10
Epilepsy,linear_additive_split_sinusoidal,0.9158 ± 0.0180,0.9158,0.0268,0.0180,8,10
Epilepsy,linear_circular_conv_sinusoidal,0.8134 ± 0.0236,0.8134,0.0352,0.0236,8,10
Epilepsy,linear_component_wise_sinusoidal,0.6730 ± 0.1726,0.6730,0.2577,0.1726,8,10
Epilepsy,linear_component_wise_split_sinusoidal,0.5752 ± 0.1784,0.5752,0.2664,0.1784,8,10
EthanolConcentration,1d_conv_additive_sinusoidal,0.2486 ± 0.0094,0.2486,0.0140,0.0094,8,10
EthanolConcentration,1d_conv_circular_conv_sinusoidal,0.2714 ± 0.0056,0.2714,0.0084,0.0056,8,10
EthanolConcentration,1d_conv_circular_conv_split_sinusoidal,0.2610 ± 0.0092,0.2610,0.0138,0.0092,8,10
EthanolConcentration,1d_conv_component_wise_sinusoidal,0.2638 ± 0.0078,0.2638,0.0117,0.0078,8,10
EthanolConcentration,linear_additive_sinusoidal,0.2713 ± 0.0099,0.2713,0.0160,0.0099,9,10
EthanolConcentration,linear_additive_split_sinusoidal,0.2658 ± 0.0109,0.2658,0.0176,0.0109,9,10
EthanolConcentration,linear_circular_conv_sinusoidal,0.2672 ± 0.0087,0.2672,0.0130,0.0087,8,10
EthanolConcentration,linear_component_wise_sinusoidal,0.2497 ± 0.0094,0.2497,0.0151,0.0094,9,10
EthanolConcentration,linear_component_wise_split_sinusoidal,0.2714 ± 0.0082,0.2714,0.0122,0.0082,8,10
FaceDetection,1d_conv_additive_sinusoidal,0.5076 ± 0.0062,0.5076,0.0092,0.0062,8,10
FaceDetection,1d_conv_circular_conv_sinusoidal,0.6640 ± 0.0029,0.6640,0.0044,0.0029,8,10
FaceDetection,1d_conv_circular_conv_split_sinusoidal,0.6675 ± 0.0041,0.6675,0.0062,0.0041,8,10
FaceDetection,1d_conv_component_wise_sinusoidal,0.6055 ± 0.0517,0.6055,0.0771,0.0517,8,10
FaceDetection,linear_additive_sinusoidal,0.5005 ± 0.0046,0.5005,0.0069,0.0046,8,10
FaceDetection,linear_additive_split_sinusoidal,0.4992 ± 0.0042,0.4992,0.0063,0.0042,8,10
FaceDetection,linear_circular_conv_sinusoidal,0.6622 ± 0.0023,0.6622,0.0035,0.0023,8,10
FaceDetection,linear_component_wise_sinusoidal,0.6379 ± 0.0398,0.6379,0.0593,0.0398,8,10
FaceDetection,linear_component_wise_split_sinusoidal,0.6350 ± 0.0339,0.6350,0.0506,0.0339,8,10
FingerMovements,1d_conv_additive_sinusoidal,0.5350 ± 0.0226,0.5350,0.0338,0.0226,8,10
FingerMovements,1d_conv_circular_conv_sinusoidal,0.4988 ± 0.0154,0.4988,0.0230,0.0154,8,10
FingerMovements,1d_conv_circular_conv_split_sinusoidal,0.4775 ± 0.0185,0.4775,0.0276,0.0185,8,10
FingerMovements,1d_conv_component_wise_sinusoidal,0.4900 ± 0.0215,0.4900,0.0321,0.0215,8,10
FingerMovements,linear_additive_sinusoidal,0.4675 ± 0.0195,0.4675,0.0292,0.0195,8,10
FingerMovements,linear_additive_split_sinusoidal,0.5100 ± 0.0152,0.5100,0.0227,0.0152,8,10
FingerMovements,linear_circular_conv_sinusoidal,0.4975 ± 0.0286,0.4975,0.0427,0.0286,8,10
FingerMovements,linear_component_wise_sinusoidal,0.4767 ± 0.0268,0.4767,0.0433,0.0268,9,10
FingerMovements,linear_component_wise_split_sinusoidal,0.5044 ± 0.0194,0.5044,0.0313,0.0194,9,10
HandMovementDirection,1d_conv_additive_sinusoidal,0.4003 ± 0.0067,0.4003,0.0100,0.0067,8,10
HandMovementDirection,1d_conv_circular_conv_sinusoidal,0.4324 ± 0.0359,0.4324,0.0536,0.0359,8,10
HandMovementDirection,1d_conv_circular_conv_split_sinusoidal,0.4409 ± 0.0160,0.4409,0.0239,0.0160,8,10
HandMovementDirection,1d_conv_component_wise_sinusoidal,0.4206 ± 0.0140,0.4206,0.0210,0.0140,8,10
HandMovementDirection,linear_additive_sinusoidal,0.3970 ± 0.0083,0.3970,0.0124,0.0083,8,10
HandMovementDirection,linear_additive_split_sinusoidal,0.3970 ± 0.0127,0.3970,0.0190,0.0127,8,10
HandMovementDirection,linear_circular_conv_sinusoidal,0.4324 ± 0.0227,0.4324,0.0339,0.0227,8,10
HandMovementDirection,linear_component_wise_sinusoidal,0.4234 ± 0.0377,0.4234,0.0608,0.0377,9,10
