dataset,model,run,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
FaceDetection,linear_additive_sinusoidal,1,,,,,,0.4957,0.2644,144,2,62,4712,3524,1178,1,45.66
FaceDetection,linear_additive_split_sinusoidal,1,,,,,,0.4881,0.2644,144,2,62,4712,3524,1178,1,46.03
FaceDetection,1d_conv_additive_sinusoidal,1,,,,,,0.4969,0.3352,144,2,62,4712,3524,1178,1,46.01
FaceDetection,linear_component_wise_sinusoidal,1,,,,,0.7145,0.4742,0.2655,144,2,62,4712,3524,1178,1,47.22
FaceDetection,1d_conv_component_wise_sinusoidal,1,,,,,0.7333,0.4915,0.3364,144,2,62,4712,3524,1178,1,46.9
FaceDetection,1d_conv_circular_conv_sinusoidal,1,0.332,0.8612,0.5786,0.7581,0.8197,0.6623,0.3366,144,2,62,4712,3524,1178,18,68.07
FaceDetection,1d_conv_circular_conv_split_sinusoidal,1,0.4027,0.83,0.528,0.7674,0.7227,0.6618,0.3384,144,2,62,4712,3524,1178,15,64.81
FaceDetection,linear_additive_sinusoidal,2,,,,,,0.5023,0.2644,144,2,62,4712,3524,1178,1,46.33
FaceDetection,linear_additive_split_sinusoidal,2,,,,,,0.4991,0.2644,144,2,62,4712,3524,1178,1,45.99
FaceDetection,1d_conv_additive_sinusoidal,2,,,,,,0.4926,0.3352,144,2,62,4712,3524,1178,1,46.92
FaceDetection,linear_component_wise_sinusoidal,2,,,,,0.7106,0.5136,0.2655,144,2,62,4712,3524,1178,1,47.81
FaceDetection,1d_conv_component_wise_sinusoidal,2,,,,,0.708,0.5114,0.3364,144,2,62,4712,3524,1178,1,47.5
FaceDetection,1d_conv_circular_conv_sinusoidal,2,0.4211,0.8102,0.5374,0.7615,0.6905,0.6756,0.3383,144,2,62,4712,3524,1178,16,65.06
FaceDetection,1d_conv_circular_conv_split_sinusoidal,2,,,,,0.7077,0.521,0.3364,144,2,62,4712,3524,1178,1,47.63
FaceDetection,linear_additive_sinusoidal,3,,,,,,0.4903,0.2644,144,2,62,4712,3524,1178,1,46.28
FaceDetection,linear_additive_split_sinusoidal,3,,,,,,0.5048,0.2644,144,2,62,4712,3524,1178,1,46.9
FaceDetection,1d_conv_additive_sinusoidal,3,,,,,,0.5054,0.3352,144,2,62,4712,3524,1178,1,46.71
FaceDetection,linear_component_wise_sinusoidal,3,0.3896,0.8251,0.5731,0.7547,0.7753,0.6478,0.2657,144,2,62,4712,3524,1178,19,69.5
FaceDetection,1d_conv_component_wise_sinusoidal,3,,,,,0.7154,0.4827,0.3364,144,2,62,4712,3524,1178,1,46.9
FaceDetection,1d_conv_circular_conv_sinusoidal,3,0.4339,0.8026,0.5177,0.7657,0.6678,0.6686,0.3383,144,2,62,4712,3524,1178,16,66.83
FaceDetection,1d_conv_circular_conv_split_sinusoidal,3,0.3332,0.8608,0.5697,0.7615,0.7942,0.6702,0.3384,144,2,62,4712,3524,1178,15,65.66
