dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
ArticularyWordRecognition,1d_conv_additive_sinusoidal,0.1318 ± 0.1882,0.1318,0.3036,0.1882,9,10
ArticularyWordRecognition,1d_conv_circular_conv_isolated_sinusoidal,0.9483 ± 0.0084,0.9483,0.0126,0.0084,8,10
ArticularyWordRecognition,1d_conv_circular_conv_sinusoidal,0.9517 ± 0.0039,0.9517,0.0059,0.0039,8,10
ArticularyWordRecognition,1d_conv_component_wise_sinusoidal,0.9534 ± 0.0095,0.9534,0.0141,0.0095,8,10
ArticularyWordRecognition,linear_additive_isolated_sinusoidal,0.9417 ± 0.0138,0.9417,0.0205,0.0138,8,10
ArticularyWordRecognition,linear_additive_sinusoidal,0.9442 ± 0.0086,0.9442,0.0128,0.0086,8,10
ArticularyWordRecognition,linear_circular_conv_sinusoidal,0.9433 ± 0.0086,0.9433,0.0128,0.0086,8,10
ArticularyWordRecognition,linear_component_wise_sinusoidal,0.9563 ± 0.0075,0.9563,0.0121,0.0075,9,10
AtrialFibrillation,1d_conv_additive_sinusoidal,0.2963 ± 0.0419,0.2963,0.0676,0.0419,9,10
AtrialFibrillation,1d_conv_circular_conv_isolated_sinusoidal,0.2834 ± 0.0207,0.2834,0.0308,0.0207,8,10
AtrialFibrillation,1d_conv_circular_conv_sinusoidal,0.3408 ± 0.0525,0.3408,0.0846,0.0525,9,10
AtrialFibrillation,1d_conv_component_wise_sinusoidal,0.3333 ± 0.0315,0.3333,0.0544,0.0315,10,10
AtrialFibrillation,linear_additive_isolated_sinusoidal,0.3083 ± 0.0713,0.3083,0.1065,0.0713,8,10
AtrialFibrillation,linear_additive_sinusoidal,0.2083 ± 0.0503,0.2083,0.0751,0.0503,8,10
AtrialFibrillation,linear_circular_conv_sinusoidal,0.3185 ± 0.0344,0.3185,0.0555,0.0344,9,10
AtrialFibrillation,linear_component_wise_sinusoidal,0.3267 ± 0.0384,0.3267,0.0663,0.0384,10,10
BasicMotions,1d_conv_additive_sinusoidal,0.1750 ± 0.0607,0.1750,0.0906,0.0607,8,10
BasicMotions,1d_conv_circular_conv_isolated_sinusoidal,0.9611 ± 0.0258,0.9611,0.0417,0.0258,9,10
BasicMotions,1d_conv_circular_conv_sinusoidal,0.9750 ± 0.0173,0.9750,0.0280,0.0173,9,10
BasicMotions,1d_conv_component_wise_sinusoidal,0.7556 ± 0.2099,0.7556,0.3386,0.2099,9,10
BasicMotions,linear_additive_isolated_sinusoidal,0.2625 ± 0.0620,0.2625,0.0926,0.0620,8,10
BasicMotions,linear_additive_sinusoidal,0.5906 ± 0.2236,0.5906,0.3338,0.2236,8,10
BasicMotions,linear_circular_conv_sinusoidal,0.9438 ± 0.0215,0.9438,0.0320,0.0215,8,10
BasicMotions,linear_component_wise_sinusoidal,0.9694 ± 0.0230,0.9694,0.0370,0.0230,9,10
Cricket,1d_conv_additive_sinusoidal,0.4429 ± 0.2611,0.4429,0.4212,0.2611,9,10
Cricket,1d_conv_circular_conv_isolated_sinusoidal,0.8628 ± 0.0182,0.8628,0.0272,0.0182,8,10
Cricket,1d_conv_circular_conv_sinusoidal,0.8657 ± 0.0251,0.8657,0.0405,0.0251,9,10
Cricket,1d_conv_component_wise_sinusoidal,0.8160 ± 0.1949,0.8160,0.2910,0.1949,8,10
Cricket,linear_additive_isolated_sinusoidal,0.9074 ± 0.0247,0.9074,0.0399,0.0247,9,10
Cricket,linear_additive_sinusoidal,0.9305 ± 0.0289,0.9305,0.0466,0.0289,9,10
Cricket,linear_circular_conv_sinusoidal,0.9043 ± 0.0132,0.9043,0.0214,0.0132,9,10
Cricket,linear_component_wise_sinusoidal,0.8993 ± 0.0280,0.8993,0.0418,0.0280,8,10
DuckDuckGeese,1d_conv_additive_sinusoidal,0.1975 ± 0.0389,0.1975,0.0580,0.0389,8,10
DuckDuckGeese,1d_conv_circular_conv_isolated_sinusoidal,0.3311 ± 0.0614,0.3311,0.0991,0.0614,9,10
DuckDuckGeese,1d_conv_circular_conv_sinusoidal,0.3550 ± 0.0525,0.3550,0.0784,0.0525,8,10
DuckDuckGeese,1d_conv_component_wise_sinusoidal,0.3750 ± 0.0530,0.3750,0.0791,0.0530,8,10
DuckDuckGeese,linear_additive_isolated_sinusoidal,0.1850 ± 0.0284,0.1850,0.0424,0.0284,8,10
DuckDuckGeese,linear_additive_sinusoidal,0.2689 ± 0.0485,0.2689,0.0782,0.0485,9,10
DuckDuckGeese,linear_circular_conv_sinusoidal,0.2978 ± 0.0694,0.2978,0.1120,0.0694,9,10
DuckDuckGeese,linear_component_wise_sinusoidal,0.4222 ± 0.0259,0.4222,0.0418,0.0259,9,10
ERing,1d_conv_additive_sinusoidal,0.7120 ± 0.0647,0.7120,0.0966,0.0647,8,10
ERing,1d_conv_circular_conv_isolated_sinusoidal,0.8548 ± 0.0192,0.8548,0.0309,0.0192,9,10
ERing,1d_conv_circular_conv_sinusoidal,0.8449 ± 0.0149,0.8449,0.0223,0.0149,8,10
ERing,1d_conv_component_wise_sinusoidal,0.8556 ± 0.0106,0.8556,0.0159,0.0106,8,10
ERing,linear_additive_isolated_sinusoidal,0.7717 ± 0.0257,0.7717,0.0383,0.0257,8,10
ERing,linear_additive_sinusoidal,0.7750 ± 0.0160,0.7750,0.0239,0.0160,8,10
ERing,linear_circular_conv_sinusoidal,0.8607 ± 0.0210,0.8607,0.0313,0.0210,8,10
ERing,linear_component_wise_sinusoidal,0.8838 ± 0.0116,0.8838,0.0173,0.0116,8,10
Epilepsy,1d_conv_additive_sinusoidal,0.2772 ± 0.0533,0.2772,0.0795,0.0533,8,10
Epilepsy,1d_conv_circular_conv_isolated_sinusoidal,0.8560 ± 0.0273,0.8560,0.0407,0.0273,8,10
Epilepsy,1d_conv_circular_conv_sinusoidal,0.8116 ± 0.0254,0.8116,0.0379,0.0254,8,10
Epilepsy,1d_conv_component_wise_sinusoidal,0.7482 ± 0.1341,0.7482,0.2002,0.1341,8,10
Epilepsy,linear_additive_isolated_sinusoidal,0.9323 ± 0.0100,0.9323,0.0162,0.0100,9,10
Epilepsy,linear_additive_sinusoidal,0.9302 ± 0.0211,0.9302,0.0315,0.0211,8,10
Epilepsy,linear_circular_conv_sinusoidal,0.8406 ± 0.0191,0.8406,0.0308,0.0191,9,10
Epilepsy,linear_component_wise_sinusoidal,0.7790 ± 0.1216,0.7790,0.1816,0.1216,8,10
