dataset,model,run,train_acc,train_loss,val_acc,val_loss,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
FaceDetection,linear_additive_sinusoidal,1,0.6131,0.6528,0.5645,0.6962,0.7088,0.5284,0.2665,144,2,62,4712,3524,1178,20,9.5
FaceDetection,1d_conv_additive_sinusoidal,1,0.4987,,0.4899,,,0.5034,0.3355,144,2,62,4712,3524,1178,2,5.17
FaceDetection,linear_circular_conv_sinusoidal,1,0.795,0.4421,0.7666,0.5425,0.6948,0.6595,0.2676,144,2,62,4712,3524,1178,25,12.4
FaceDetection,1d_conv_circular_conv_sinusoidal,1,0.9047,0.2308,0.7631,0.6932,1.0333,0.6575,0.337,144,2,62,4712,3524,1178,16,10.75
FaceDetection,linear_additive_sinusoidal,2,0.5851,0.6747,0.562,0.6872,0.6911,0.5448,0.2665,144,2,62,4712,3524,1178,17,8.83
FaceDetection,1d_conv_additive_sinusoidal,2,0.5047,,0.4796,,,0.4892,0.3355,144,2,62,4712,3524,1178,2,5.11
FaceDetection,linear_circular_conv_sinusoidal,2,0.8455,0.353,0.7623,0.5746,0.7697,0.6765,0.2676,144,2,62,4712,3524,1178,22,11.42
FaceDetection,1d_conv_circular_conv_sinusoidal,2,0.8213,0.4136,0.7598,0.5408,0.6898,0.6722,0.3367,144,2,62,4712,3524,1178,16,10.78
FaceDetection,linear_additive_sinusoidal,3,0.562,0.6816,0.5552,0.6865,0.6923,0.538,0.2662,144,2,62,4712,3524,1178,19,9.27
FaceDetection,1d_conv_additive_sinusoidal,3,0.5125,,0.4941,,,0.5108,0.3355,144,2,62,4712,3524,1178,2,5.18
FaceDetection,linear_circular_conv_sinusoidal,3,0.8372,0.3681,0.7699,0.5754,0.8035,0.6552,0.2676,144,2,62,4712,3524,1178,26,12.25
FaceDetection,1d_conv_circular_conv_sinusoidal,3,0.8576,0.3291,0.7614,0.5666,0.8122,0.6765,0.337,144,2,62,4712,3524,1178,18,11.27
FaceDetection,linear_additive_sinusoidal,4,0.5314,0.691,0.5467,0.6884,0.6971,0.5153,0.2662,144,2,62,4712,3524,1178,15,8.37
FaceDetection,1d_conv_additive_sinusoidal,4,0.4941,,0.5009,,,0.5029,0.3355,144,2,62,4712,3524,1178,2,5.21
