dataset,model,run,train_acc,train_loss,val_acc,val_loss,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
FaceDetection,linear_conv_sinusoidal,1,0.8304,0.3749,0.7529,0.59,0.8201,0.6504,0.2676,144,2,62,4712,3524,1178,21,11.43
FaceDetection,linear_conv_0_sinc_fpe,1,0.7078,0.5663,0.5832,0.7669,0.8278,0.5318,0.2677,144,2,62,4712,3524,1178,16,9.54
FaceDetection,linear_conv_0_41_sinc_fpe,1,0.7542,0.5018,0.6222,0.7608,0.875,0.5514,0.2677,144,2,62,4712,3524,1178,16,9.22
FaceDetection,linear_conv_1_sinc_fpe,1,0.7952,0.4309,0.6596,0.7181,0.8479,0.605,0.2677,144,2,62,4712,3524,1178,19,10.28
FaceDetection,linear_conv_1_83_sinc_fpe,1,0.8069,0.4203,0.7114,0.6423,0.7942,0.6266,0.2677,144,2,62,4712,3524,1178,17,9.42
FaceDetection,linear_conv_3_sinc_fpe,1,0.8041,0.4226,0.7394,0.5919,0.7549,0.641,0.2677,144,2,62,4712,3524,1178,17,9.7
FaceDetection,linear_conv_4_66_sinc_fpe,1,0.7527,0.5077,0.7614,0.5274,0.6395,0.6618,0.2675,144,2,62,4712,3524,1178,16,9.43
FaceDetection,linear_conv_7_sinc_fpe,1,0.8224,0.4071,0.7759,0.5058,0.6942,0.6751,0.2675,144,2,62,4712,3524,1178,18,10.06
FaceDetection,linear_conv_sinusoidal,2,0.8372,0.3742,0.77,0.5637,0.7974,0.653,0.2676,144,2,62,4712,3524,1178,21,11.19
FaceDetection,linear_conv_0_sinc_fpe,2,0.5554,0.6828,0.5425,0.6895,0.6969,0.5244,0.2675,144,2,62,4712,3524,1178,15,9.19
FaceDetection,linear_conv_0_41_sinc_fpe,2,0.7131,0.556,0.6376,0.6657,0.7745,0.5766,0.2677,144,2,62,4712,3524,1178,18,9.85
FaceDetection,linear_conv_1_sinc_fpe,2,0.8092,0.4168,0.6571,0.7635,0.9136,0.5888,0.2677,144,2,62,4712,3524,1178,18,9.96
FaceDetection,linear_conv_1_83_sinc_fpe,2,0.6831,0.594,0.6868,0.6025,0.6766,0.6138,0.2675,144,2,62,4712,3524,1178,16,9.45
FaceDetection,linear_conv_3_sinc_fpe,2,0.8396,0.3584,0.7513,0.5936,0.8095,0.6527,0.2677,144,2,62,4712,3524,1178,18,9.96
FaceDetection,linear_conv_4_66_sinc_fpe,2,0.8177,0.4022,0.7826,0.5315,0.6959,0.6762,0.2677,144,2,62,4712,3524,1178,18,10.04
FaceDetection,linear_conv_7_sinc_fpe,2,0.8468,0.3613,0.7716,0.5325,0.7496,0.6668,0.2677,144,2,62,4712,3524,1178,20,10.47
FaceDetection,linear_conv_sinusoidal,3,0.8022,0.4347,0.764,0.5289,0.7138,0.6589,0.2676,144,2,62,4712,3524,1178,21,10.81
FaceDetection,linear_conv_0_sinc_fpe,3,0.593,0.6623,0.5577,0.692,0.6969,0.5389,0.2675,144,2,62,4712,3524,1178,15,9.12
FaceDetection,linear_conv_0_41_sinc_fpe,3,0.6585,0.617,0.6307,0.6558,0.7043,0.5749,0.2675,144,2,62,4712,3524,1178,18,10.02
FaceDetection,linear_conv_1_sinc_fpe,3,0.6755,0.5892,0.6545,0.6256,0.7278,0.5792,0.2675,144,2,62,4712,3524,1178,17,9.56
FaceDetection,linear_conv_1_83_sinc_fpe,3,0.7806,0.4642,0.7157,0.6076,0.7477,0.6274,0.2677,144,2,62,4712,3524,1178,17,9.93
FaceDetection,linear_conv_3_sinc_fpe,3,0.8279,0.3914,0.7462,0.5912,0.7927,0.6404,0.2677,144,2,62,4712,3524,1178,16,9.48
FaceDetection,linear_conv_4_66_sinc_fpe,3,0.771,0.4873,0.7683,0.5142,0.6373,0.672,0.2675,144,2,62,4712,3524,1178,17,9.55
FaceDetection,linear_conv_7_sinc_fpe,3,0.8232,0.3916,0.7717,0.5308,0.7162,0.6615,0.2677,144,2,62,4712,3524,1178,18,9.97
FaceDetection,linear_conv_sinusoidal,4,0.8336,0.3774,0.7615,0.5634,0.7712,0.6626,0.2676,144,2,62,4712,3524,1178,26,12.19
FaceDetection,linear_conv_0_sinc_fpe,4,0.6664,0.6091,0.5543,0.7189,0.7393,0.5403,0.2677,144,2,62,4712,3524,1178,14,8.97
FaceDetection,linear_conv_0_41_sinc_fpe,4,0.7118,0.5588,0.6154,0.7011,0.7723,0.5593,0.2677,144,2,62,4712,3524,1178,18,9.97
FaceDetection,linear_conv_1_sinc_fpe,4,0.7088,0.5525,0.6638,0.6341,0.7339,0.5939,0.2675,144,2,62,4712,3524,1178,18,9.97
FaceDetection,linear_conv_1_83_sinc_fpe,4,0.6959,0.5792,0.7063,0.5893,0.689,0.6098,0.2675,144,2,62,4712,3524,1178,17,9.72
FaceDetection,linear_conv_3_sinc_fpe,4,0.8156,0.4023,0.7462,0.5867,0.7679,0.6493,0.2677,144,2,62,4712,3524,1178,17,9.76
FaceDetection,linear_conv_4_66_sinc_fpe,4,0.8071,0.4363,0.7606,0.5359,0.6789,0.6677,0.2675,144,2,62,4712,3524,1178,18,9.99
FaceDetection,linear_conv_7_sinc_fpe,4,0.8243,0.3994,0.7682,0.5317,0.6934,0.6813,0.2675,144,2,62,4712,3524,1178,17,9.7
FaceDetection,linear_conv_sinusoidal,5,0.8379,0.3738,0.7614,0.5433,0.7847,0.6598,0.2676,144,2,62,4712,3524,1178,16,9.47
FaceDetection,linear_conv_0_sinc_fpe,5,0.7008,0.579,0.5704,0.7599,0.7784,0.5482,0.2677,144,2,62,4712,3524,1178,15,9.24
FaceDetection,linear_conv_0_41_sinc_fpe,5,0.663,0.6118,0.6274,0.6603,0.7227,0.5525,0.2677,144,2,62,4712,3524,1178,20,10.51
FaceDetection,linear_conv_1_sinc_fpe,5,0.7636,0.4876,0.6732,0.6733,0.7924,0.5987,0.2677,144,2,62,4712,3524,1178,18,10.04
FaceDetection,linear_conv_1_83_sinc_fpe,5,0.7373,0.5263,0.7139,0.5981,0.6888,0.6234,0.2675,144,2,62,4712,3524,1178,16,9.52
FaceDetection,linear_conv_3_sinc_fpe,5,0.7992,0.4287,0.7453,0.5652,0.7266,0.6536,0.2677,144,2,62,4712,3524,1178,17,9.86
FaceDetection,linear_conv_4_66_sinc_fpe,5,0.7971,0.4409,0.7708,0.522,0.669,0.672,0.2675,144,2,62,4712,3524,1178,16,9.51
FaceDetection,linear_conv_7_sinc_fpe,5,0.8447,0.3586,0.7631,0.5709,0.7767,0.6697,0.2677,144,2,62,4712,3524,1178,18,9.77
FaceDetection,linear_conv_sinusoidal,6,0.7937,0.4432,0.7708,0.5216,0.7078,0.6476,0.2676,144,2,62,4712,3524,1178,22,11.55
FaceDetection,linear_conv_0_sinc_fpe,6,0.5915,0.6668,0.562,0.6902,0.6957,0.5392,0.2675,144,2,62,4712,3524,1178,14,9.02
FaceDetection,linear_conv_0_41_sinc_fpe,6,0.7031,0.5678,0.6146,0.6965,0.7609,0.5656,0.2677,144,2,62,4712,3524,1178,21,11.17
FaceDetection,linear_conv_1_sinc_fpe,6,0.6725,0.599,0.6588,0.6328,0.7124,0.5877,0.2675,144,2,62,4712,3524,1178,18,10.0
FaceDetection,linear_conv_1_83_sinc_fpe,6,0.7795,0.4692,0.7131,0.5939,0.7265,0.6359,0.2677,144,2,62,4712,3524,1178,16,9.56
FaceDetection,linear_conv_3_sinc_fpe,6,0.7823,0.4515,0.7445,0.5602,0.7288,0.6458,0.2675,144,2,62,4712,3524,1178,16,9.47
FaceDetection,linear_conv_4_66_sinc_fpe,6,0.7717,0.4811,0.7734,0.512,0.6356,0.6728,0.2675,144,2,62,4712,3524,1178,18,9.82
FaceDetection,linear_conv_7_sinc_fpe,6,0.8531,0.3393,0.7716,0.5698,0.7514,0.6734,0.2677,144,2,62,4712,3524,1178,18,9.96
FaceDetection,linear_conv_sinusoidal,7,0.8612,0.3199,0.7488,0.5968,0.8061,0.6728,0.2676,144,2,62,4712,3524,1178,25,12.06
FaceDetection,linear_conv_0_sinc_fpe,7,0.6091,0.658,0.5628,0.6978,0.699,0.5434,0.2675,144,2,62,4712,3524,1178,13,8.61
FaceDetection,linear_conv_0_41_sinc_fpe,7,0.7228,0.5431,0.6197,0.7064,0.7924,0.5565,0.2677,144,2,62,4712,3524,1178,20,10.29
FaceDetection,linear_conv_1_sinc_fpe,7,0.7468,0.5096,0.6613,0.6761,0.7757,0.6016,0.2677,144,2,62,4712,3524,1178,17,9.61
FaceDetection,linear_conv_1_83_sinc_fpe,7,0.7986,0.4303,0.7148,0.6137,0.7837,0.624,0.2677,144,2,62,4712,3524,1178,15,9.17
FaceDetection,linear_conv_3_sinc_fpe,7,0.7706,0.4784,0.7487,0.5434,0.6798,0.653,0.2675,144,2,62,4712,3524,1178,19,10.11
