dataset,train_samples,sequence_length,num_classes,linear_conv_0_41_sinc_fpe,linear_conv_0_sinc_fpe,linear_conv_1_83_sinc_fpe,linear_conv_1_sinc_fpe,linear_conv_3_sinc_fpe,linear_conv_4_66_sinc_fpe,linear_conv_7_sinc_fpe,linear_conv_random_pe,linear_conv_sinusoidal,linear_no_pe
ArticularyWordRecognition,220,144,25,0.9426 ± 0.0080,0.9504 ± 0.0077,0.9396 ± 0.0032,0.9490 ± 0.0044,0.9546 ± 0.0105,0.9523 ± 0.0068,0.9513 ± 0.0059,0.9193 ± 0.0116,0.9480 ± 0.0061,0.9264 ± 0.0087
AtrialFibrillation,12,640,3,0.2667 ± 0.0871,0.2600 ± 0.0691,0.3067 ± 0.0461,0.2733 ± 0.0352,0.2963 ± 0.0372,0.2800 ± 0.0667,0.3416 ± 0.0357,0.3333 ± 0.0298,0.2815 ± 0.0498,0.2519 ± 0.0342
BasicMotions,32,100,4,0.9000 ± 0.0653,0.9600 ± 0.0318,0.9150 ± 0.0318,0.9500 ± 0.0146,0.9611 ± 0.0169,0.9725 ± 0.0197,0.9475 ± 0.0309,0.7656 ± 0.0315,0.9556 ± 0.0231,0.9389 ± 0.0306
Cricket,86,1197,12,0.9361 ± 0.0194,0.9500 ± 0.0142,0.9014 ± 0.0245,0.9236 ± 0.0183,0.8889 ± 0.0318,0.8734 ± 0.0146,0.8972 ± 0.0205,0.8519 ± 0.0226,0.8820 ± 0.0107,0.9180 ± 0.0290
DuckDuckGeese,40,270,5,0.4150 ± 0.0462,0.4711 ± 0.0539,0.4100 ± 0.0357,0.4150 ± 0.0331,0.4225 ± 0.0260,0.2533 ± 0.0725,0.3180 ± 0.0938,0.2840 ± 0.0664,0.3620 ± 0.0696,0.4460 ± 0.0496
ERing,24,65,6,0.8556 ± 0.0186,0.7670 ± 0.0243,0.8345 ± 0.0275,0.8552 ± 0.0185,0.8547 ± 0.0329,0.8556 ± 0.0243,0.8685 ± 0.0228,0.8650 ± 0.0186,0.8533 ± 0.0324,0.6988 ± 0.0277
Epilepsy,109,206,4,0.8442 ± 0.0151,0.8391 ± 0.0244,0.8558 ± 0.0275,0.8518 ± 0.0216,0.8420 ± 0.0201,0.8464 ± 0.0183,0.8515 ± 0.0123,0.7058 ± 0.0193,0.8355 ± 0.0269,0.8502 ± 0.0212
EthanolConcentration,208,1751,4,0.2639 ± 0.0132,0.2679 ± 0.0114,0.2597 ± 0.0123,0.2738 ± 0.0125,0.2597 ± 0.0103,0.2590 ± 0.0095,0.2658 ± 0.0102,0.2764 ± 0.0090,0.2639 ± 0.0113,0.2365 ± 0.0134
FaceDetection,4712,62,2,0.5631 ± 0.0066,0.5389 ± 0.0058,0.6234 ± 0.0062,0.5946 ± 0.0065,0.6487 ± 0.0048,0.6696 ± 0.0033,0.6680 ± 0.0053,0.6483 ± 0.0029,0.6576 ± 0.0054,0.5338 ± 0.0058
FingerMovements,252,50,2,0.5130 ± 0.0298,0.4970 ± 0.0368,0.5030 ± 0.0320,0.5260 ± 0.0270,0.5070 ± 0.0143,0.4930 ± 0.0197,0.4970 ± 0.0305,0.4910 ± 0.0273,0.5011 ± 0.0190,0.4833 ± 0.0305
HandMovementDirection,128,400,4,0.3406 ± 0.0328,0.3189 ± 0.0395,0.4432 ± 0.0346,0.3784 ± 0.0416,0.5054 ± 0.0274,0.5567 ± 0.0539,0.5760 ± 0.0190,0.3513 ± 0.0531,0.4960 ± 0.0219,0.2838 ± 0.0580
Handwriting,120,152,26,0.1184 ± 0.0144,0.1213 ± 0.0075,0.1614 ± 0.0094,0.1318 ± 0.0110,0.1659 ± 0.0133,0.1645 ± 0.0233,0.1942 ± 0.0241,0.0992 ± 0.0119,0.1549 ± 0.0142,0.0813 ± 0.0226
Heartbeat,163,405,2,0.7529 ± 0.0103,0.7507 ± 0.0101,0.7405 ± 0.0155,0.7387 ± 0.0101,0.7436 ± 0.0149,0.7425 ± 0.0149,0.7232 ± 0.0092,0.7159 ± 0.0113,0.7244 ± 0.0133,0.7420 ± 0.0165
InsectWingbeat,20000,22,10,0.6159 ± 0.0014,0.6133 ± 0.0023,0.6133 ± 0.0013,0.6154 ± 0.0039,0.6092 ± 0.0024,0.6016 ± 0.0017,0.5889 ± 0.0039,0.5556 ± 0.0026,0.6049 ± 0.0044,0.5764 ± 0.0034
LSST,1967,36,14,0.6204 ± 0.0073,0.6320 ± 0.0059,0.5829 ± 0.0100,0.6062 ± 0.0024,0.5723 ± 0.0087,0.5559 ± 0.0087,0.5344 ± 0.0064,0.4848 ± 0.0055,0.5475 ± 0.0089,0.5902 ± 0.0050
Libras,144,45,15,0.6183 ± 0.0264,0.3945 ± 0.0442,0.6549 ± 0.0194,0.6786 ± 0.0100,0.6533 ± 0.0144,0.6117 ± 0.0132,0.6017 ± 0.0264,0.5722 ± 0.0196,0.5961 ± 0.0358,0.4216 ± 0.0259
MotorImagery,222,3000,2,0.4810 ± 0.0362,0.5110 ± 0.0333,0.4822 ± 0.0175,0.5020 ± 0.0383,0.4671 ± 0.0103,0.4900 ± 0.0236,0.4970 ± 0.0296,0.4700 ± 0.0196,0.4930 ± 0.0298,0.5020 ± 0.0480
NATOPS,144,51,6,0.8539 ± 0.0400,0.7672 ± 0.0279,0.8716 ± 0.0209,0.8981 ± 0.0142,0.8568 ± 0.0256,0.8420 ± 0.0189,0.8200 ± 0.0362,0.7784 ± 0.0387,0.8475 ± 0.0180,0.7100 ± 0.0338
PEMS-SF,213,144,7,0.7324 ± 0.0253,0.7116 ± 0.0245,0.7341 ± 0.0311,0.7238 ± 0.0215,0.7432 ± 0.0060,0.7734 ± 0.0192,0.7701 ± 0.0160,0.7295 ± 0.0228,0.7243 ± 0.0273,0.5671 ± 0.0293
PenDigits,5995,8,10,0.9497 ± 0.0043,0.7653 ± 0.0089,0.9617 ± 0.0026,0.9576 ± 0.0031,0.9619 ± 0.0009,0.9581 ± 0.0020,0.9570 ± 0.0019,0.9596 ± 0.0030,0.9449 ± 0.0018,0.7391 ± 0.0074
PhonemeSpectra,2652,217,39,0.0703 ± 0.0039,0.0581 ± 0.0016,0.0690 ± 0.0018,0.0728 ± 0.0019,0.0680 ± 0.0033,0.0692 ± 0.0039,0.0691 ± 0.0030,0.0548 ± 0.0020,0.0670 ± 0.0024,0.0547 ± 0.0017
RacketSports,120,30,4,0.8382 ± 0.0181,0.8125 ± 0.0227,0.8460 ± 0.0176,0.8495 ± 0.0080,0.8434 ± 0.0161,0.8494 ± 0.0139,0.8243 ± 0.0250,0.7862 ± 0.0241,0.8263 ± 0.0266,0.8046 ± 0.0183
SelfRegulationSCP1,214,896,2,0.7263 ± 0.0305,0.7801 ± 0.0313,0.8115 ± 0.0153,0.7864 ± 0.0201,0.8109 ± 0.0154,0.7874 ± 0.0141,0.7962 ± 0.0145,0.7829 ± 0.0285,0.8075 ± 0.0248,0.7468 ± 0.0114
SelfRegulationSCP2,160,1152,2,0.5417 ± 0.0129,0.5411 ± 0.0122,0.5574 ± 0.0115,0.5479 ± 0.0035,0.5426 ± 0.0083,0.5528 ± 0.0108,0.5217 ± 0.0218,0.5172 ± 0.0310,0.5461 ± 0.0092,0.5278 ± 0.0079
SpokenArabicDigits,5279,93,10,0.9602 ± 0.0048,0.9425 ± 0.0075,0.9811 ± 0.0030,0.9735 ± 0.0060,0.9830 ± 0.0031,0.9814 ± 0.0024,0.9809 ± 0.0035,0.9683 ± 0.0053,0.9705 ± 0.0038,0.9132 ± 0.0055
StandWalkJump,9,2500,3,0.3556 ± 0.0628,0.2867 ± 0.0812,0.3333 ± 0.0356,0.2600 ± 0.0884,0.3133 ± 0.0452,0.3333 ± 0.0779,0.2600 ± 0.0691,0.3143 ± 0.0301,0.2917 ± 0.0414,0.3556 ± 0.0678
UWaveGestureLibraryAll,716,945,8,0.5458 ± 0.0199,0.1334 ± 0.0050,0.8690 ± 0.0066,0.7594 ± 0.0365,0.8772 ± 0.0040,0.8920 ± 0.0077,0.8963 ± 0.0040,0.8533 ± 0.0056,0.8838 ± 0.0050,0.1388 ± 0.0066
Average,1627,540,9,0.6169,0.5878,0.6443,0.6394,0.6418,0.6359,0.639,0.5987,0.6299,0.5607
