dataset,model,run,train_acc,train_loss,val_acc,val_loss,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
FaceDetection,linear_null_pe,1,0.5838,0.6732,0.5637,0.6877,0.6943,0.5403,0.2664,144,2,62,4712,3524,1178,20,8.43
FaceDetection,linear_comp_wise_sinusoidal,1,0.8491,0.3526,0.7428,0.6,0.7942,0.6623,0.2676,144,2,62,4712,3524,1178,19,8.92
FaceDetection,linear_conv_sinusoidal,1,0.8024,0.43,0.7631,0.5306,0.7389,0.6535,0.2676,144,2,62,4712,3524,1178,24,10.31
FaceDetection,linear_conv_adaptive_sin_pe,1,0.8243,0.4024,0.7699,0.5379,0.7379,0.6615,0.284,144,2,62,4712,3524,1178,17,8.49
FaceDetection,linear_rope,1,0.7014,0.571,0.6205,0.6831,0.7403,0.559,0.291,144,2,62,4712,3524,1178,14,6.59
FaceDetection,convtran,1,0.66,,0.5441,0.7219,0.7527,0.5142,9.3056,144,2,62,4712,3524,1178,19,21.6
FaceDetection,linear_mla,1,0.8326,0.3746,0.6664,0.7422,0.8677,0.613,0.3195,144,2,62,4712,3524,1178,17,8.01
FaceDetection,linear_null_pe,2,0.5773,0.6753,0.5535,0.6888,0.692,0.5445,0.2664,144,2,62,4712,3524,1178,17,7.97
FaceDetection,linear_comp_wise_sinusoidal,2,0.8383,0.3731,0.7563,0.5634,0.752,0.664,0.2676,144,2,62,4712,3524,1178,17,8.52
FaceDetection,linear_conv_sinusoidal,2,0.8383,0.3729,0.7598,0.5553,0.7514,0.6785,0.2676,144,2,62,4712,3524,1178,22,10.14
FaceDetection,linear_conv_adaptive_sin_pe,2,0.8631,0.3317,0.7631,0.5737,0.787,0.6728,0.2842,144,2,62,4712,3524,1178,18,9.07
FaceDetection,linear_rope,2,0.6844,0.6014,0.5993,0.7031,0.751,0.5514,0.291,144,2,62,4712,3524,1178,15,6.93
FaceDetection,convtran,2,0.4932,0.9655,0.4924,,1.0207,0.5003,9.3053,144,2,62,4712,3524,1178,2,12.19
FaceDetection,linear_mla,2,0.8105,0.4091,0.6698,0.7284,0.8475,0.6164,0.3195,144,2,62,4712,3524,1178,17,8.02
FaceDetection,linear_null_pe,3,0.548,0.6864,0.5526,0.6876,0.6922,0.5329,0.2662,144,2,62,4712,3524,1178,19,8.59
FaceDetection,linear_comp_wise_sinusoidal,3,0.823,0.4009,0.7521,0.542,0.7076,0.6754,0.2676,144,2,62,4712,3524,1178,18,8.84
FaceDetection,linear_conv_sinusoidal,3,0.8272,0.3941,0.7666,0.5462,0.7413,0.6638,0.2676,144,2,62,4712,3524,1178,18,9.01
FaceDetection,linear_conv_adaptive_sin_pe,3,0.8678,0.3173,0.7691,0.5665,0.7899,0.6856,0.2842,144,2,62,4712,3524,1178,18,9.2
FaceDetection,linear_rope,3,0.7351,0.5352,0.6138,0.7241,0.8055,0.5582,0.291,144,2,62,4712,3524,1178,22,8.66
FaceDetection,convtran,3,0.5157,1.0275,0.4924,,,0.4991,9.3053,144,2,62,4712,3524,1178,2,12.09
FaceDetection,linear_mla,3,0.7767,0.4707,0.6816,0.6484,0.7557,0.6209,0.3193,144,2,62,4712,3524,1178,17,8.08
FaceDetection,linear_null_pe,4,0.5518,0.6825,0.5501,0.6895,0.6947,0.5196,0.2662,144,2,62,4712,3524,1178,18,8.51
FaceDetection,linear_comp_wise_sinusoidal,4,0.7888,0.4585,0.753,0.5385,0.6893,0.649,0.2674,144,2,62,4712,3524,1178,19,9.04
FaceDetection,linear_conv_sinusoidal,4,0.8739,0.2883,0.7589,0.6462,0.9076,0.6686,0.2676,144,2,62,4712,3524,1178,17,8.75
FaceDetection,linear_conv_adaptive_sin_pe,4,0.8182,0.4048,0.7631,0.5255,0.7079,0.6711,0.284,144,2,62,4712,3524,1178,18,9.13
FaceDetection,linear_rope,4,0.7076,0.5687,0.584,0.7428,0.7934,0.5468,0.291,144,2,62,4712,3524,1178,16,7.2
FaceDetection,convtran,4,0.5412,,0.5365,0.6919,,0.5167,9.3053,144,2,62,4712,3524,1178,20,22.35
FaceDetection,linear_mla,4,0.8413,0.3626,0.6638,0.7584,0.894,0.6104,0.3195,144,2,62,4712,3524,1178,19,8.42
FaceDetection,linear_null_pe,5,0.5842,0.6696,0.5271,0.7118,0.7091,0.5275,0.2664,144,2,62,4712,3524,1178,16,7.86
FaceDetection,linear_comp_wise_sinusoidal,5,0.8491,0.3507,0.764,0.5801,0.8009,0.666,0.2676,144,2,62,4712,3524,1178,19,8.9
FaceDetection,linear_conv_sinusoidal,5,0.7977,0.453,0.753,0.5449,0.7068,0.6575,0.2676,144,2,62,4712,3524,1178,22,10.21
FaceDetection,linear_conv_adaptive_sin_pe,5,0.8404,0.3704,0.7597,0.5431,0.7565,0.6714,0.284,144,2,62,4712,3524,1178,16,8.61
FaceDetection,linear_rope,5,0.6868,0.5934,0.5755,0.7123,0.7635,0.5392,0.291,144,2,62,4712,3524,1178,15,7.3
FaceDetection,convtran,5,0.5624,0.6843,0.5288,0.6924,0.6926,0.5275,9.3053,144,2,62,4712,3524,1178,10,16.81
FaceDetection,linear_mla,5,0.8258,0.3883,0.6902,0.7003,0.8778,0.6019,0.3195,144,2,62,4712,3524,1178,16,7.88
FaceDetection,linear_null_pe,6,0.5827,0.6686,0.5654,0.6898,0.6959,0.5392,0.2664,144,2,62,4712,3524,1178,18,8.51
FaceDetection,linear_comp_wise_sinusoidal,6,0.8548,0.3357,0.7556,0.5994,0.8366,0.6527,0.2676,144,2,62,4712,3524,1178,19,9.04
FaceDetection,linear_conv_sinusoidal,6,0.8568,0.3375,0.7666,0.5782,0.8187,0.6688,0.2676,144,2,62,4712,3524,1178,19,9.02
FaceDetection,linear_conv_adaptive_sin_pe,6,0.833,0.3879,0.7623,0.5472,0.7425,0.6669,0.284,144,2,62,4712,3524,1178,15,8.41
FaceDetection,linear_rope,6,0.6596,0.6239,0.5857,0.6868,0.7331,0.5502,0.2907,144,2,62,4712,3524,1178,15,6.96
FaceDetection,convtran,6,0.4996,,0.4924,,,0.5097,9.3053,144,2,62,4712,3524,1178,2,11.93
FaceDetection,linear_mla,6,0.888,0.2673,0.6757,0.8942,1.0985,0.5976,0.3195,144,2,62,4712,3524,1178,19,8.57
FaceDetection,linear_null_pe,7,0.5505,0.6856,0.5365,0.6961,0.6944,0.5306,0.2662,144,2,62,4712,3524,1178,19,8.21
FaceDetection,linear_comp_wise_sinusoidal,7,0.8334,0.3782,0.7538,0.5705,0.7628,0.6552,0.2676,144,2,62,4712,3524,1178,18,9.21
FaceDetection,linear_conv_sinusoidal,7,0.829,0.3926,0.7614,0.5585,0.7571,0.6621,0.2676,144,2,62,4712,3524,1178,20,9.53
FaceDetection,linear_conv_adaptive_sin_pe,7,0.8315,0.3758,0.7631,0.54,0.7141,0.6827,0.284,144,2,62,4712,3524,1178,16,8.55
FaceDetection,linear_rope,7,0.6919,0.5808,0.5976,0.7297,0.7944,0.5284,0.291,144,2,62,4712,3524,1178,16,7.16
FaceDetection,convtran,7,0.5104,,0.5068,,,0.5008,9.3053,144,2,62,4712,3524,1178,2,11.91
FaceDetection,linear_mla,7,0.816,0.4109,0.6732,0.7081,0.824,0.6056,0.3195,144,2,62,4712,3524,1178,18,8.25
FaceDetection,linear_null_pe,8,0.5412,0.6905,0.5424,0.6922,0.685,0.5542,0.2662,144,2,62,4712,3524,1178,14,7.32
FaceDetection,linear_comp_wise_sinusoidal,8,0.8281,0.3913,0.7733,0.5401,0.7462,0.6572,0.2676,144,2,62,4712,3524,1178,18,8.97
FaceDetection,linear_conv_sinusoidal,8,0.7935,0.4446,0.7555,0.5275,0.6974,0.6615,0.2676,144,2,62,4712,3524,1178,20,9.34
FaceDetection,linear_conv_adaptive_sin_pe,8,0.8612,0.3198,0.7759,0.5667,0.803,0.6731,0.2842,144,2,62,4712,3524,1178,17,8.82
FaceDetection,linear_rope,8,0.6887,0.5784,0.5934,0.7323,0.7666,0.5585,0.291,144,2,62,4712,3524,1178,16,6.85
FaceDetection,convtran,8,0.4985,,0.5068,,,0.5057,9.3053,144,2,62,4712,3524,1178,2,11.78
FaceDetection,linear_mla,8,0.8421,0.3576,0.6681,0.8019,0.9274,0.6056,0.3195,144,2,62,4712,3524,1178,17,7.66
FaceDetection,linear_null_pe,9,0.5813,0.676,0.5407,0.6924,0.7013,0.5324,0.2664,144,2,62,4712,3524,1178,18,7.96
