dataset,train_samples,sequence_length,num_classes,convtran,linear_comp_wise_sinusoidal,linear_conv_adaptive_sin_pe,linear_conv_sinusoidal,linear_mla,linear_null_pe,linear_rope
ArticularyWordRecognition,220,144,25,0.9353 ± 0.0076,0.9623 ± 0.0065,0.9578 ± 0.0053,0.9543 ± 0.0082,0.9507 ± 0.0084,0.9264 ± 0.0087,0.9574 ± 0.0073
AtrialFibrillation,12,640,3,0.2467 ± 0.0676,0.3333 ± 0.0356,0.2933 ± 0.0461,0.2933 ± 0.0333,0.2267 ± 0.0461,0.2519 ± 0.0342,0.2934 ± 0.0817
BasicMotions,32,100,4,0.8725 ± 0.0599,0.9833 ± 0.0136,0.9650 ± 0.0210,0.9722 ± 0.0115,0.8750 ± 0.0860,0.9389 ± 0.0306,0.9389 ± 0.0409
Cricket,86,1197,12,0.9491 ± 0.0151,0.9087 ± 0.0125,0.8986 ± 0.0281,0.8452 ± 0.0156,0.9630 ± 0.0131,0.9180 ± 0.0290,0.9583 ± 0.0239
DuckDuckGeese,40,270,5,0.3740 ± 0.0482,0.4040 ± 0.0425,0.3400 ± 0.0618,0.3500 ± 0.0236,0.4533 ± 0.0361,0.4460 ± 0.0496,0.4880 ± 0.0383
ERing,24,65,6,0.7315 ± 0.0461,0.8515 ± 0.0357,0.8867 ± 0.0224,0.8770 ± 0.0089,0.7903 ± 0.0269,0.6988 ± 0.0277,0.7492 ± 0.0322
Epilepsy,109,206,4,0.9300 ± 0.0088,0.8196 ± 0.0216,0.8507 ± 0.0228,0.8333 ± 0.0204,0.8678 ± 0.0120,0.8502 ± 0.0212,0.8462 ± 0.0139
EthanolConcentration,208,1751,4,0.2632 ± 0.0103,0.2684 ± 0.0111,0.2573 ± 0.0099,0.2570 ± 0.0123,0.2639 ± 0.0147,0.2365 ± 0.0134,0.2434 ± 0.0068
FaceDetection,4712,62,2,0.5123 ± 0.0077,0.6611 ± 0.0055,0.6699 ± 0.0049,0.6627 ± 0.0038,0.6090 ± 0.0052,0.5338 ± 0.0058,0.5468 ± 0.0077
FingerMovements,252,50,2,0.4860 ± 0.0344,0.4930 ± 0.0257,0.5030 ± 0.0294,0.4910 ± 0.0227,0.4890 ± 0.0237,0.4833 ± 0.0305,0.4980 ± 0.0396
HandMovementDirection,128,400,4,0.3311 ± 0.0536,0.4500 ± 0.0367,0.5216 ± 0.0435,0.5195 ± 0.0227,0.3365 ± 0.0494,0.2838 ± 0.0580,0.3054 ± 0.0413
Handwriting,120,152,26,0.2267 ± 0.0236,0.1502 ± 0.0249,0.1601 ± 0.0195,0.1535 ± 0.0173,0.0720 ± 0.0238,0.0813 ± 0.0226,0.1139 ± 0.0142
Heartbeat,163,405,2,0.5956 ± 0.1156,0.7185 ± 0.0168,0.7346 ± 0.0136,0.7306 ± 0.0118,0.7476 ± 0.0081,0.7420 ± 0.0165,0.7496 ± 0.0108
InsectWingbeat,20000,22,10,0.2857 ± 0.0587,0.6128 ± 0.0024,0.6125 ± 0.0034,0.6048 ± 0.0026,0.6284 ± 0.0018,0.5764 ± 0.0034,0.5926 ± 0.0016
LSST,1967,36,14,0.0429 ± 0.0158,0.5893 ± 0.0097,0.5882 ± 0.0073,0.5380 ± 0.0044,0.6081 ± 0.0048,0.5902 ± 0.0050,0.6173 ± 0.0058
Libras,144,45,15,0.8005 ± 0.0239,0.6656 ± 0.0255,0.6339 ± 0.0291,0.6072 ± 0.0270,0.4394 ± 0.1388,0.4216 ± 0.0259,0.6350 ± 0.0230
MotorImagery,222,3000,2,0.5089 ± 0.0141,0.5130 ± 0.0467,0.4720 ± 0.0121,0.4512 ± 0.0192,0.4833 ± 0.0287,0.5040 ± 0.0437,0.4712 ± 0.0130
NATOPS,144,51,6,0.8744 ± 0.0147,0.8654 ± 0.0345,0.8783 ± 0.0235,0.8722 ± 0.0161,0.8828 ± 0.0205,0.7100 ± 0.0338,0.8639 ± 0.0210
PEMS-SF,213,144,7,0.6538 ± 0.0209,0.7237 ± 0.0211,0.7497 ± 0.0198,0.7451 ± 0.0189,0.7179 ± 0.0201,0.5671 ± 0.0293,0.7110 ± 0.0311
PenDigits,5995,8,10,0.9818 ± 0.0015,0.9594 ± 0.0017,0.9590 ± 0.0025,0.9446 ± 0.0030,0.9420 ± 0.0049,0.7391 ± 0.0074,0.9012 ± 0.0065
PhonemeSpectra,2652,217,39,0.2551 ± 0.0048,0.0643 ± 0.0037,0.0671 ± 0.0029,0.0673 ± 0.0028,0.0660 ± 0.0061,0.0547 ± 0.0017,0.0902 ± 0.0058
RacketSports,120,30,4,0.7651 ± 0.0194,0.8421 ± 0.0167,0.8493 ± 0.0179,0.8421 ± 0.0157,0.8276 ± 0.0085,0.8046 ± 0.0183,0.8171 ± 0.0189
SelfRegulationSCP1,214,896,2,0.8737 ± 0.0169,0.7928 ± 0.0157,0.8055 ± 0.0202,0.7942 ± 0.0054,0.7693 ± 0.0096,0.7468 ± 0.0114,0.7860 ± 0.0216
