dataset,linear_conv_0_8_gaussian_fpe,linear_conv_1_sinc_fpe,linear_conv_2_sinc_fpe,linear_conv_5_sinc_fpe,linear_conv_learnable_random_pe,linear_conv_learnable_sinusoidal,linear_conv_random_pe,linear_conv_sinusoidal,linear_no_pe
ArticularyWordRecognition,0.9408 ± 0.0064,0.9379 ± 0.0045,0.9429 ± 0.0051,0.9481 ± 0.0100,0.9262 ± 0.0130,0.9430 ± 0.0112,0.9233 ± 0.0108,0.9433 ± 0.0086,0.9515 ± 0.0060
AtrialFibrillation,0.3067 ± 0.0454,0.2889 ± 0.0206,0.2917 ± 0.0231,0.3417 ± 0.0373,0.2963 ± 0.0419,0.2889 ± 0.0685,0.3500 ± 0.0207,0.3185 ± 0.0344,0.2800 ± 0.0439
BasicMotions,0.9417 ± 0.0257,0.9625 ± 0.0184,0.8531 ± 0.1590,0.9650 ± 0.0170,0.8781 ± 0.0460,0.9625 ± 0.0090,0.7875 ± 0.0506,0.9438 ± 0.0215,0.4094 ± 0.1167
Cricket,0.9132 ± 0.0096,0.9429 ± 0.0190,0.8920 ± 0.0196,0.8715 ± 0.0129,0.7726 ± 0.1759,0.9059 ± 0.0254,0.8351 ± 0.0265,0.9043 ± 0.0132,0.6358 ± 0.2592
DuckDuckGeese,0.4500 ± 0.0237,0.3950 ± 0.0563,0.4000 ± 0.0226,0.3275 ± 0.0458,0.3600 ± 0.0744,0.3200 ± 0.0447,0.2600 ± 0.0386,0.2978 ± 0.0694,0.2422 ± 0.0358
ERing,0.8625 ± 0.0378,0.8500 ± 0.0296,0.8088 ± 0.0369,0.8764 ± 0.0212,0.8810 ± 0.0106,0.8704 ± 0.0194,0.8638 ± 0.0127,0.8607 ± 0.0210,0.7421 ± 0.0243
Epilepsy,0.8506 ± 0.0158,0.8469 ± 0.0165,0.8433 ± 0.0130,0.8542 ± 0.0095,0.4810 ± 0.1403,0.8148 ± 0.0177,0.7020 ± 0.0080,0.8406 ± 0.0191,0.9148 ± 0.0235
EthanolConcentration,0.2784 ± 0.0096,0.2700 ± 0.0089,0.2647 ± 0.0058,0.2624 ± 0.0053,0.2533 ± 0.0045,0.2624 ± 0.0058,0.2524 ± 0.0049,0.2695 ± 0.0071,0.2562 ± 0.0103
FaceDetection,0.5277 ± 0.0266,0.5651 ± 0.0299,0.5788 ± 0.0481,0.6106 ± 0.0562,0.5527 ± 0.0566,0.5356 ± 0.0484,0.6032 ± 0.0418,0.6016 ± 0.0507,0.4948 ± 0.0026
FingerMovements,0.5088 ± 0.0300,0.5100 ± 0.0243,0.4950 ± 0.0261,0.5000 ± 0.0095,0.4889 ± 0.0118,0.5000 ± 0.0199,0.5038 ± 0.0138,0.4725 ± 0.0242,0.5188 ± 0.0249
