dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
ArticularyWordRecognition,linear_conv_0_8_gaussian_fpe,0.9408 ± 0.0064,0.9408,0.0096,0.0064,8,10
ArticularyWordRecognition,linear_conv_1_sinc_fpe,0.9379 ± 0.0045,0.9379,0.0066,0.0045,8,10
ArticularyWordRecognition,linear_conv_2_sinc_fpe,0.9429 ± 0.0051,0.9429,0.0076,0.0051,8,10
ArticularyWordRecognition,linear_conv_5_sinc_fpe,0.9481 ± 0.0100,0.9481,0.0162,0.0100,9,10
ArticularyWordRecognition,linear_conv_learnable_random_pe,0.9262 ± 0.0130,0.9262,0.0195,0.0130,8,10
ArticularyWordRecognition,linear_conv_learnable_sinusoidal,0.9430 ± 0.0112,0.9430,0.0181,0.0112,9,10
ArticularyWordRecognition,linear_conv_random_pe,0.9233 ± 0.0108,0.9233,0.0161,0.0108,8,10
ArticularyWordRecognition,linear_conv_sinusoidal,0.9433 ± 0.0086,0.9433,0.0128,0.0086,8,10
ArticularyWordRecognition,linear_no_pe,0.9515 ± 0.0060,0.9515,0.0097,0.0060,9,10
AtrialFibrillation,linear_conv_0_8_gaussian_fpe,0.3067 ± 0.0454,0.3067,0.0782,0.0454,10,10
AtrialFibrillation,linear_conv_1_sinc_fpe,0.2889 ± 0.0206,0.2889,0.0333,0.0206,9,10
AtrialFibrillation,linear_conv_2_sinc_fpe,0.2917 ± 0.0231,0.2917,0.0345,0.0231,8,10
AtrialFibrillation,linear_conv_5_sinc_fpe,0.3417 ± 0.0373,0.3417,0.0556,0.0373,8,10
AtrialFibrillation,linear_conv_learnable_random_pe,0.2963 ± 0.0419,0.2963,0.0676,0.0419,9,10
AtrialFibrillation,linear_conv_learnable_sinusoidal,0.2889 ± 0.0685,0.2889,0.1106,0.0685,9,10
AtrialFibrillation,linear_conv_random_pe,0.3500 ± 0.0207,0.3500,0.0309,0.0207,8,10
AtrialFibrillation,linear_conv_sinusoidal,0.3185 ± 0.0344,0.3185,0.0555,0.0344,9,10
AtrialFibrillation,linear_no_pe,0.2800 ± 0.0439,0.2800,0.0757,0.0439,10,10
BasicMotions,linear_conv_0_8_gaussian_fpe,0.9417 ± 0.0257,0.9417,0.0415,0.0257,9,10
BasicMotions,linear_conv_1_sinc_fpe,0.9625 ± 0.0184,0.9625,0.0317,0.0184,10,10
BasicMotions,linear_conv_2_sinc_fpe,0.8531 ± 0.1590,0.8531,0.2373,0.1590,8,10
BasicMotions,linear_conv_5_sinc_fpe,0.9650 ± 0.0170,0.9650,0.0293,0.0170,10,10
BasicMotions,linear_conv_learnable_random_pe,0.8781 ± 0.0460,0.8781,0.0687,0.0460,8,10
BasicMotions,linear_conv_learnable_sinusoidal,0.9625 ± 0.0090,0.9625,0.0134,0.0090,8,10
BasicMotions,linear_conv_random_pe,0.7875 ± 0.0506,0.7875,0.0756,0.0506,8,10
BasicMotions,linear_conv_sinusoidal,0.9438 ± 0.0215,0.9438,0.0320,0.0215,8,10
BasicMotions,linear_no_pe,0.4094 ± 0.1167,0.4094,0.1742,0.1167,8,10
Cricket,linear_conv_0_8_gaussian_fpe,0.9132 ± 0.0096,0.9132,0.0144,0.0096,8,10
Cricket,linear_conv_1_sinc_fpe,0.9429 ± 0.0190,0.9429,0.0306,0.0190,9,10
Cricket,linear_conv_2_sinc_fpe,0.8920 ± 0.0196,0.8920,0.0316,0.0196,9,10
Cricket,linear_conv_5_sinc_fpe,0.8715 ± 0.0129,0.8715,0.0193,0.0129,8,10
Cricket,linear_conv_learnable_random_pe,0.7726 ± 0.1759,0.7726,0.2626,0.1759,8,10
Cricket,linear_conv_learnable_sinusoidal,0.9059 ± 0.0254,0.9059,0.0409,0.0254,9,10
Cricket,linear_conv_random_pe,0.8351 ± 0.0265,0.8351,0.0396,0.0265,8,10
Cricket,linear_conv_sinusoidal,0.9043 ± 0.0132,0.9043,0.0214,0.0132,9,10
Cricket,linear_no_pe,0.6358 ± 0.2592,0.6358,0.4182,0.2592,9,10
DuckDuckGeese,linear_conv_0_8_gaussian_fpe,0.4500 ± 0.0237,0.4500,0.0355,0.0237,8,10
DuckDuckGeese,linear_conv_1_sinc_fpe,0.3950 ± 0.0563,0.3950,0.0840,0.0563,8,10
DuckDuckGeese,linear_conv_2_sinc_fpe,0.4000 ± 0.0226,0.4000,0.0338,0.0226,8,10
DuckDuckGeese,linear_conv_5_sinc_fpe,0.3275 ± 0.0458,0.3275,0.0684,0.0458,8,10
DuckDuckGeese,linear_conv_learnable_random_pe,0.3600 ± 0.0744,0.3600,0.1200,0.0744,9,10
DuckDuckGeese,linear_conv_learnable_sinusoidal,0.3200 ± 0.0447,0.3200,0.0668,0.0447,8,10
DuckDuckGeese,linear_conv_random_pe,0.2600 ± 0.0386,0.2600,0.0576,0.0386,8,10
DuckDuckGeese,linear_conv_sinusoidal,0.2978 ± 0.0694,0.2978,0.1120,0.0694,9,10
DuckDuckGeese,linear_no_pe,0.2422 ± 0.0358,0.2422,0.0578,0.0358,9,10
ERing,linear_conv_0_8_gaussian_fpe,0.8625 ± 0.0378,0.8625,0.0565,0.0378,8,10
ERing,linear_conv_1_sinc_fpe,0.8500 ± 0.0296,0.8500,0.0442,0.0296,8,10
ERing,linear_conv_2_sinc_fpe,0.8088 ± 0.0369,0.8088,0.0551,0.0369,8,10
ERing,linear_conv_5_sinc_fpe,0.8764 ± 0.0212,0.8764,0.0317,0.0212,8,10
ERing,linear_conv_learnable_random_pe,0.8810 ± 0.0106,0.8810,0.0159,0.0106,8,10
ERing,linear_conv_learnable_sinusoidal,0.8704 ± 0.0194,0.8704,0.0290,0.0194,8,10
ERing,linear_conv_random_pe,0.8638 ± 0.0127,0.8638,0.0205,0.0127,9,10
ERing,linear_conv_sinusoidal,0.8607 ± 0.0210,0.8607,0.0313,0.0210,8,10
ERing,linear_no_pe,0.7421 ± 0.0243,0.7421,0.0363,0.0243,8,10
Epilepsy,linear_conv_0_8_gaussian_fpe,0.8506 ± 0.0158,0.8506,0.0236,0.0158,8,10
Epilepsy,linear_conv_1_sinc_fpe,0.8469 ± 0.0165,0.8469,0.0246,0.0165,8,10
Epilepsy,linear_conv_2_sinc_fpe,0.8433 ± 0.0130,0.8433,0.0193,0.0130,8,10
Epilepsy,linear_conv_5_sinc_fpe,0.8542 ± 0.0095,0.8542,0.0142,0.0095,8,10
Epilepsy,linear_conv_learnable_random_pe,0.4810 ± 0.1403,0.4810,0.2094,0.1403,8,10
Epilepsy,linear_conv_learnable_sinusoidal,0.8148 ± 0.0177,0.8148,0.0285,0.0177,9,10
Epilepsy,linear_conv_random_pe,0.7020 ± 0.0080,0.7020,0.0119,0.0080,8,10
Epilepsy,linear_conv_sinusoidal,0.8406 ± 0.0191,0.8406,0.0308,0.0191,9,10
Epilepsy,linear_no_pe,0.9148 ± 0.0235,0.9148,0.0350,0.0235,8,10
EthanolConcentration,linear_conv_0_8_gaussian_fpe,0.2784 ± 0.0096,0.2784,0.0156,0.0096,9,10
EthanolConcentration,linear_conv_1_sinc_fpe,0.2700 ± 0.0089,0.2700,0.0133,0.0089,8,10
EthanolConcentration,linear_conv_2_sinc_fpe,0.2647 ± 0.0058,0.2647,0.0086,0.0058,8,10
EthanolConcentration,linear_conv_5_sinc_fpe,0.2624 ± 0.0053,0.2624,0.0079,0.0053,8,10
EthanolConcentration,linear_conv_learnable_random_pe,0.2533 ± 0.0045,0.2533,0.0067,0.0045,8,10
EthanolConcentration,linear_conv_learnable_sinusoidal,0.2624 ± 0.0058,0.2624,0.0086,0.0058,8,10
EthanolConcentration,linear_conv_random_pe,0.2524 ± 0.0049,0.2524,0.0073,0.0049,8,10
EthanolConcentration,linear_conv_sinusoidal,0.2695 ± 0.0071,0.2695,0.0106,0.0071,8,10
EthanolConcentration,linear_no_pe,0.2562 ± 0.0103,0.2562,0.0154,0.0103,8,10
FaceDetection,linear_conv_0_8_gaussian_fpe,0.5277 ± 0.0266,0.5277,0.0398,0.0266,8,10
FaceDetection,linear_conv_1_sinc_fpe,0.5651 ± 0.0299,0.5651,0.0446,0.0299,8,10
FaceDetection,linear_conv_2_sinc_fpe,0.5788 ± 0.0481,0.5788,0.0718,0.0481,8,10
FaceDetection,linear_conv_5_sinc_fpe,0.6106 ± 0.0562,0.6106,0.0839,0.0562,8,10
FaceDetection,linear_conv_learnable_random_pe,0.5527 ± 0.0566,0.5527,0.0846,0.0566,8,10
FaceDetection,linear_conv_learnable_sinusoidal,0.5356 ± 0.0484,0.5356,0.0723,0.0484,8,10
FaceDetection,linear_conv_random_pe,0.6032 ± 0.0418,0.6032,0.0625,0.0418,8,10
FaceDetection,linear_conv_sinusoidal,0.6016 ± 0.0507,0.6016,0.0757,0.0507,8,10
FaceDetection,linear_no_pe,0.4948 ± 0.0026,0.4948,0.0039,0.0026,8,10
FingerMovements,linear_conv_0_8_gaussian_fpe,0.5088 ± 0.0300,0.5088,0.0449,0.0300,8,10
FingerMovements,linear_conv_1_sinc_fpe,0.5100 ± 0.0243,0.5100,0.0363,0.0243,8,10
