dataset,model,mean_acc,std_acc,num_runs_filtered,margin_of_error,confidence_interval
ArticularyWordRecognition,convtran,0.9387,0.0134,8,0.0090,0.9387 ± 0.0090
ArticularyWordRecognition,linear_conv_adaptive_sin_pe,0.9417,0.0059,8,0.0039,0.9417 ± 0.0039
ArticularyWordRecognition,linear_mla,0.9546,0.0089,8,0.0060,0.9546 ± 0.0060
ArticularyWordRecognition,linear_rope,0.9467,0.0101,8,0.0068,0.9467 ± 0.0068
AtrialFibrillation,convtran,0.2533,0.0757,10,0.0439,0.2533 ± 0.0439
AtrialFibrillation,linear_conv_adaptive_sin_pe,0.3400,0.0734,10,0.0425,0.3400 ± 0.0425
AtrialFibrillation,linear_mla,0.2917,0.0611,8,0.0409,0.2917 ± 0.0409
AtrialFibrillation,linear_rope,0.2963,0.0754,9,0.0467,0.2963 ± 0.0467
BasicMotions,convtran,0.8639,0.0772,9,0.0478,0.8639 ± 0.0478
BasicMotions,linear_conv_adaptive_sin_pe,0.9778,0.0150,9,0.0093,0.9778 ± 0.0093
BasicMotions,linear_mla,0.9575,0.0501,10,0.0290,0.9575 ± 0.0290
BasicMotions,linear_rope,0.9417,0.0354,9,0.0219,0.9417 ± 0.0219
Cricket,convtran,0.9479,0.0123,8,0.0082,0.9479 ± 0.0082
Cricket,linear_conv_adaptive_sin_pe,0.9097,0.0257,8,0.0172,0.9097 ± 0.0172
Cricket,linear_mla,0.9532,0.0209,8,0.0140,0.9532 ± 0.0140
Cricket,linear_rope,0.9584,0.0240,9,0.0149,0.9584 ± 0.0149
DuckDuckGeese,convtran,0.4111,0.0694,9,0.0430,0.4111 ± 0.0430
DuckDuckGeese,linear_conv_adaptive_sin_pe,0.3975,0.0654,8,0.0438,0.3975 ± 0.0438
DuckDuckGeese,linear_mla,0.4000,0.0872,9,0.0540,0.4000 ± 0.0540
DuckDuckGeese,linear_rope,0.5311,0.0491,9,0.0304,0.5311 ± 0.0304
ERing,convtran,0.7822,0.0536,10,0.0310,0.7822 ± 0.0310
ERing,linear_conv_adaptive_sin_pe,0.8755,0.0326,8,0.0219,0.8755 ± 0.0219
ERing,linear_mla,0.8042,0.0230,8,0.0154,0.8042 ± 0.0154
ERing,linear_rope,0.7824,0.0316,8,0.0212,0.7824 ± 0.0212
Epilepsy,convtran,0.9384,0.0182,8,0.0122,0.9384 ± 0.0122
Epilepsy,linear_conv_adaptive_sin_pe,0.8378,0.0122,8,0.0082,0.8378 ± 0.0082
Epilepsy,linear_mla,0.8645,0.0108,10,0.0063,0.8645 ± 0.0063
Epilepsy,linear_rope,0.8524,0.0215,8,0.0144,0.8524 ± 0.0144
EthanolConcentration,convtran,0.3046,0.0167,9,0.0104,0.3046 ± 0.0104
