dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
ArticularyWordRecognition,convtran,0.9467 ± 0.0000,0.9467,,0.0000,1,1
ArticularyWordRecognition,linear_conv_adaptive_sin_pe,0.9467 ± 0.0000,0.9467,,0.0000,1,1
ArticularyWordRecognition,linear_mla,0.9700 ± 0.0000,0.9700,,0.0000,1,1
ArticularyWordRecognition,linear_rope,0.9600 ± 0.0000,0.9600,,0.0000,1,1
AtrialFibrillation,convtran,0.1334 ± 0.0000,0.1334,,0.0000,1,1
AtrialFibrillation,linear_conv_adaptive_sin_pe,0.2667 ± 0.0000,0.2667,,0.0000,1,1
AtrialFibrillation,linear_mla,0.2667 ± 0.0000,0.2667,,0.0000,1,1
AtrialFibrillation,linear_rope,0.2667 ± 0.0000,0.2667,,0.0000,1,1
BasicMotions,convtran,0.9500 ± 0.0000,0.9500,,0.0000,1,1
BasicMotions,linear_conv_adaptive_sin_pe,0.9750 ± 0.0000,0.9750,,0.0000,1,1
BasicMotions,linear_mla,0.9500 ± 0.0000,0.9500,,0.0000,1,1
BasicMotions,linear_rope,0.8500 ± 0.0000,0.8500,,0.0000,1,1
Cricket,convtran,0.9861 ± 0.0000,0.9861,,0.0000,1,1
Cricket,linear_conv_adaptive_sin_pe,0.9028 ± 0.0000,0.9028,,0.0000,1,1
Cricket,linear_mla,0.9306 ± 0.0000,0.9306,,0.0000,1,1
Cricket,linear_rope,0.9861 ± 0.0000,0.9861,,0.0000,1,1
DuckDuckGeese,convtran,0.1800 ± 0.0000,0.1800,,0.0000,1,1
DuckDuckGeese,linear_conv_adaptive_sin_pe,0.1600 ± 0.0000,0.1600,,0.0000,1,1
DuckDuckGeese,linear_mla,0.2800 ± 0.0000,0.2800,,0.0000,1,1
DuckDuckGeese,linear_rope,0.5400 ± 0.0000,0.5400,,0.0000,1,1
ERing,convtran,0.8444 ± 0.0000,0.8444,,0.0000,1,1
ERing,linear_conv_adaptive_sin_pe,0.8815 ± 0.0000,0.8815,,0.0000,1,1
ERing,linear_mla,0.8037 ± 0.0000,0.8037,,0.0000,1,1
ERing,linear_rope,0.8037 ± 0.0000,0.8037,,0.0000,1,1
Epilepsy,convtran,0.9420 ± 0.0000,0.9420,,0.0000,1,1
Epilepsy,linear_conv_adaptive_sin_pe,0.8478 ± 0.0000,0.8478,,0.0000,1,1
Epilepsy,linear_mla,0.8841 ± 0.0000,0.8841,,0.0000,1,1
Epilepsy,linear_rope,0.8623 ± 0.0000,0.8623,,0.0000,1,1
EthanolConcentration,convtran,0.3346 ± 0.0000,0.3346,,0.0000,1,1
EthanolConcentration,linear_conv_adaptive_sin_pe,0.2510 ± 0.0000,0.2510,,0.0000,1,1
