dataset,convtran,linear_conv_adaptive_sin_pe,linear_mla,linear_rope
ArticularyWordRecognition,0.9467 ± 0.0000,0.9467 ± 0.0000,0.9700 ± 0.0000,0.9600 ± 0.0000
AtrialFibrillation,0.1334 ± 0.0000,0.2667 ± 0.0000,0.2667 ± 0.0000,0.2667 ± 0.0000
BasicMotions,0.9500 ± 0.0000,0.9750 ± 0.0000,0.9500 ± 0.0000,0.8500 ± 0.0000
Cricket,0.9861 ± 0.0000,0.9028 ± 0.0000,0.9306 ± 0.0000,0.9861 ± 0.0000
DuckDuckGeese,0.1800 ± 0.0000,0.1600 ± 0.0000,0.2800 ± 0.0000,0.5400 ± 0.0000
ERing,0.8444 ± 0.0000,0.8815 ± 0.0000,0.8037 ± 0.0000,0.8037 ± 0.0000
Epilepsy,0.9420 ± 0.0000,0.8478 ± 0.0000,0.8841 ± 0.0000,0.8623 ± 0.0000
EthanolConcentration,0.3346 ± 0.0000,0.2510 ± 0.0000,0.2624 ± 0.0000,0.2548 ± 0.0000
FaceDetection,0.5899 ± 0.0000,0.6672 ± 0.0000,0.6220 ± 0.0000,0.5534 ± 0.0000
FingerMovements,0.4900 ± 0.0000,0.4300 ± 0.0000,0.4400 ± 0.0000,0.5300 ± 0.0000
HandMovementDirection,0.3514 ± 0.0000,0.6351 ± 0.0000,0.3514 ± 0.0000,0.2703 ± 0.0000
Handwriting,0.2306 ± 0.0000,0.1600 ± 0.0000,0.0894 ± 0.0000,0.1271 ± 0.0000
Heartbeat,0.7170 ± 0.0000,0.7366 ± 0.0000,0.7610 ± 0.0000,0.6975 ± 0.0000
LSST,0.0126 ± 0.0000,0.5807 ± 0.0000,0.6030 ± 0.0000,0.6062 ± 0.0000
Libras,0.7333 ± 0.0000,0.6222 ± 0.0000,0.6334 ± 0.0000,0.6333 ± 0.0000
NATOPS,0.9111 ± 0.0000,0.8722 ± 0.0000,0.8778 ± 0.0000,0.8889 ± 0.0000
PEMS-SF,,0.7861 ± 0.0000,0.7110 ± 0.0000,0.6821 ± 0.0000
PenDigits,0.9737 ± 0.0000,0.9625 ± 0.0000,0.9380 ± 0.0000,0.8840 ± 0.0000
PhonemeSpectra,0.2774 ± 0.0000,0.0719 ± 0.0000,0.0501 ± 0.0000,0.0898 ± 0.0000
RacketSports,0.7434 ± 0.0000,0.8553 ± 0.0000,0.8224 ± 0.0000,0.7369 ± 0.0000
SelfRegulationSCP1,0.8635 ± 0.0000,0.8499 ± 0.0000,0.7884 ± 0.0000,0.8020 ± 0.0000
SelfRegulationSCP2,0.4667 ± 0.0000,0.5556 ± 0.0000,0.5056 ± 0.0000,0.5000 ± 0.0000
SpokenArabicDigits,,0.9800 ± 0.0000,0.9631 ± 0.0000,0.9604 ± 0.0000
StandWalkJump,0.3333 ± 0.0000,0.3333 ± 0.0000,0.3333 ± 0.0000,0.1333 ± 0.0000
UWaveGestureLibraryAll,0.9523 ± 0.0000,0.8813 ± 0.0000,0.8272 ± 0.0000,0.8970 ± 0.0000
