dataset,model,run,train_acc,train_loss,val_acc,val_loss,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,best_epoch,training_time_seconds
FaceDetection,linear_conv_adaptive_sin_pe,1,0.7956,0.4424,0.7564,0.5362,0.6752,0.681,0.284,144,2,62,4712,3524,1178,18,24.97
FaceDetection,linear_rope,1,0.7041,0.5646,0.5934,0.7175,0.7579,0.5732,0.291,144,2,62,4712,3524,1178,14,15.97
FaceDetection,convtran,1,0.6044,0.6554,0.5518,,0.7169,0.5309,9.3053,144,2,62,4712,3524,1178,8,19.16
FaceDetection,linear_mla,1,0.8255,0.3896,0.6978,0.687,0.8405,0.6087,0.3195,144,2,62,4712,3524,1178,18,19.05
FaceDetection,linear_conv_adaptive_sin_pe,2,0.8795,0.2973,0.7742,0.5975,0.8621,0.6663,0.2842,144,2,62,4712,3524,1178,17,24.64
FaceDetection,linear_rope,2,0.6583,0.6158,0.5756,0.7089,0.7576,0.5298,0.291,144,2,62,4712,3524,1178,16,17.12
FaceDetection,convtran,2,0.5045,0.8257,0.4923,,,0.5071,9.3053,144,2,62,4712,3524,1178,2,12.41
FaceDetection,linear_mla,2,0.8355,0.3738,0.6816,0.7096,0.8856,0.5942,0.3195,144,2,62,4712,3524,1178,17,18.62
FaceDetection,linear_conv_adaptive_sin_pe,3,0.8262,0.3925,0.7767,0.5405,0.7192,0.6669,0.284,144,2,62,4712,3524,1178,18,24.57
FaceDetection,linear_rope,3,0.7165,0.5532,0.6146,0.6999,0.7857,0.5588,0.291,144,2,62,4712,3524,1178,14,16.83
FaceDetection,convtran,3,0.503,0.7971,0.4907,,0.7262,0.5119,9.3053,144,2,62,4712,3524,1178,2,12.58
FaceDetection,linear_mla,3,0.7714,0.4765,0.6758,0.6554,0.7521,0.6141,0.3195,144,2,62,4712,3524,1178,18,19.13
FaceDetection,linear_conv_adaptive_sin_pe,4,0.8928,0.2613,0.7708,0.647,0.9044,0.6771,0.2842,144,2,62,4712,3524,1178,16,23.43
FaceDetection,linear_rope,4,0.7071,0.5526,0.5993,0.7151,0.8042,0.5463,0.291,144,2,62,4712,3524,1178,16,16.53
FaceDetection,convtran,4,0.5683,0.6815,0.5628,,,0.5349,9.3053,144,2,62,4712,3524,1178,7,17.63
FaceDetection,linear_mla,4,0.8707,0.2978,0.6757,0.8208,0.9726,0.611,0.3195,144,2,62,4712,3524,1178,17,19.77
FaceDetection,linear_conv_adaptive_sin_pe,5,0.8134,0.4055,0.7666,0.5321,0.6907,0.6845,0.284,144,2,62,4712,3524,1178,18,25.97
FaceDetection,linear_rope,5,0.6764,0.6016,0.5917,0.7021,0.749,0.5582,0.291,144,2,62,4712,3524,1178,16,18.07
FaceDetection,convtran,5,0.6761,,0.5866,0.74,0.7644,0.544,9.3056,144,2,62,4712,3524,1178,15,27.26
FaceDetection,linear_mla,5,0.8147,0.4049,0.6757,0.7169,0.8749,0.6019,0.3195,144,2,62,4712,3524,1178,19,20.23
FaceDetection,linear_conv_adaptive_sin_pe,6,0.8156,0.4139,0.7733,0.5289,0.7076,0.6731,0.284,144,2,62,4712,3524,1178,18,26.1
FaceDetection,linear_rope,6,0.6522,0.6253,0.5976,0.6929,0.7139,0.5698,0.2907,144,2,62,4712,3524,1178,17,18.2
FaceDetection,convtran,6,0.4996,0.8179,0.4915,,,0.4977,9.3053,144,2,62,4712,3524,1178,2,12.47
FaceDetection,linear_mla,6,0.8674,0.3151,0.669,0.8302,0.9802,0.6092,0.3195,144,2,62,4712,3524,1178,18,20.15
FaceDetection,linear_conv_adaptive_sin_pe,7,0.7746,0.4741,0.7674,0.5255,0.6382,0.6796,0.284,144,2,62,4712,3524,1178,17,25.67
FaceDetection,linear_rope,7,0.6732,0.5954,0.5781,0.7347,0.7665,0.5508,0.291,144,2,62,4712,3524,1178,16,18.29
FaceDetection,convtran,7,0.4994,0.7127,0.5221,0.6916,,0.5207,9.3053,144,2,62,4712,3524,1178,4,14.62
FaceDetection,linear_mla,7,0.7986,0.4378,0.691,0.6585,0.792,0.6109,0.3195,144,2,62,4712,3524,1178,19,20.0
FaceDetection,linear_conv_adaptive_sin_pe,8,0.913,0.2299,0.7869,0.6474,1.0044,0.6796,0.2842,144,2,62,4712,3524,1178,18,25.85
FaceDetection,linear_rope,8,0.6418,0.6309,0.5747,0.7089,0.7381,0.5377,0.2907,144,2,62,4712,3524,1178,15,17.4
FaceDetection,convtran,8,0.494,,0.4906,,,0.4938,9.3053,144,2,62,4712,3524,1178,2,12.16
FaceDetection,linear_mla,8,0.8135,0.4048,0.6698,0.6996,0.8128,0.6078,0.3195,144,2,62,4712,3524,1178,17,19.15
FaceDetection,linear_conv_adaptive_sin_pe,9,0.889,0.2678,0.7496,0.7015,0.927,0.6643,0.2842,144,2,62,4712,3524,1178,16,24.72
FaceDetection,linear_rope,9,0.6965,0.5783,0.5823,0.7181,0.761,0.5471,0.291,144,2,62,4712,3524,1178,13,16.6
FaceDetection,convtran,9,0.6918,,0.5509,0.7459,0.7609,0.5593,9.3056,144,2,62,4712,3524,1178,16,27.46
FaceDetection,linear_mla,9,0.8712,0.301,0.6656,0.818,1.0123,0.5968,0.3195,144,2,62,4712,3524,1178,17,19.64
FaceDetection,linear_conv_adaptive_sin_pe,10,0.8239,0.3938,0.7674,0.5196,0.7189,0.6717,0.284,144,2,62,4712,3524,1178,18,26.13
FaceDetection,linear_rope,10,0.6952,0.5769,0.6062,0.7072,0.7752,0.5445,0.291,144,2,62,4712,3524,1178,17,18.31
FaceDetection,convtran,10,0.5,0.8212,0.4881,,,0.5014,9.3053,144,2,62,4712,3524,1178,2,12.58
