dataset,convtran,linear_conv_adaptive_sin_pe,linear_mla,linear_rope
ArticularyWordRecognition,0.9387 ± 0.0090,0.9417 ± 0.0039,0.9546 ± 0.0060,0.9467 ± 0.0068
AtrialFibrillation,0.2533 ± 0.0439,0.3400 ± 0.0425,0.2917 ± 0.0409,0.2963 ± 0.0467
BasicMotions,0.8639 ± 0.0478,0.9778 ± 0.0093,0.9575 ± 0.0290,0.9417 ± 0.0219
Cricket,0.9479 ± 0.0082,0.9097 ± 0.0172,0.9532 ± 0.0140,0.9584 ± 0.0149
DuckDuckGeese,0.4111 ± 0.0430,0.3975 ± 0.0438,0.4000 ± 0.0540,0.5311 ± 0.0304
ERing,0.7822 ± 0.0310,0.8755 ± 0.0219,0.8042 ± 0.0154,0.7824 ± 0.0212
Epilepsy,0.9384 ± 0.0122,0.8378 ± 0.0082,0.8645 ± 0.0063,0.8524 ± 0.0144
EthanolConcentration,0.3046 ± 0.0104,0.2467 ± 0.0089,0.2610 ± 0.0102,0.2567 ± 0.0156
FaceDetection,0.5186 ± 0.0113,0.6744 ± 0.0039,0.6068 ± 0.0033,0.5516 ± 0.0068
FingerMovements,0.4725 ± 0.0171,0.5062 ± 0.0273,0.5162 ± 0.0179,0.4812 ± 0.0207
HandMovementDirection,0.3007 ± 0.0404,0.5152 ± 0.0288,0.3453 ± 0.0481,0.2855 ± 0.0229
Handwriting,0.2335 ± 0.0202,0.1563 ± 0.0162,0.1102 ± 0.0026,0.0991 ± 0.0115
Heartbeat,0.6092 ± 0.0834,0.7512 ± 0.0049,0.7451 ± 0.0045,0.7396 ± 0.0134
InsectWingbeat,0.2320 ± 0.0396,0.6115 ± 0.0020,0.6278 ± 0.0016,0.5942 ± 0.0017
LSST,0.0466 ± 0.0196,0.5830 ± 0.0090,0.6062 ± 0.0040,0.6095 ± 0.0039
Libras,0.7979 ± 0.0198,0.6298 ± 0.0132,0.5333 ± 0.1103,0.6146 ± 0.0129
MotorImagery,0.5262 ± 0.0186,0.5100 ± 0.0287,0.4778 ± 0.0177,0.4678 ± 0.0119
NATOPS,0.8618 ± 0.0153,0.8611 ± 0.0302,0.8930 ± 0.0133,0.8688 ± 0.0228
PEMS-SF,0.6611 ± 0.0176,0.7167 ± 0.0177,0.7103 ± 0.0133,0.7066 ± 0.0191
PenDigits,0.9825 ± 0.0012,0.9619 ± 0.0012,0.9428 ± 0.0029,0.9004 ± 0.0040
PhonemeSpectra,0.2535 ± 0.0069,0.0662 ± 0.0015,0.0674 ± 0.0031,0.0895 ± 0.0052
RacketSports,0.7866 ± 0.0150,0.8544 ± 0.0076,0.8273 ± 0.0120,0.8306 ± 0.0102
SelfRegulationSCP1,0.8481 ± 0.0141,0.8157 ± 0.0106,0.7624 ± 0.0217,0.7786 ± 0.0250
SelfRegulationSCP2,0.5264 ± 0.0148,0.5432 ± 0.0086,0.5278 ± 0.0091,0.5403 ± 0.0065
SpokenArabicDigits,0.9610 ± 0.0029,0.9782 ± 0.0023,0.9629 ± 0.0029,0.9645 ± 0.0027
StandWalkJump,0.3667 ± 0.0417,0.3333 ± 0.0292,0.3083 ± 0.0231,0.2834 ± 0.0396
UWaveGestureLibraryAll,0.9548 ± 0.0027,0.8910 ± 0.0041,0.8138 ± 0.0093,0.8596 ± 0.0077
Average Test Accuracy,0.6043,0.6457,0.6208,0.6215
