dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_total
ArticularyWordRecognition,convtran,0.9387 ± 0.0090,0.9387,0.0134,0.0090,8,10
ArticularyWordRecognition,linear_conv_adaptive_sin_pe,0.9417 ± 0.0039,0.9417,0.0059,0.0039,8,10
ArticularyWordRecognition,linear_mla,0.9546 ± 0.0060,0.9546,0.0089,0.0060,8,10
ArticularyWordRecognition,linear_rope,0.9467 ± 0.0068,0.9467,0.0101,0.0068,8,10
AtrialFibrillation,convtran,0.2533 ± 0.0439,0.2533,0.0757,0.0439,10,10
AtrialFibrillation,linear_conv_adaptive_sin_pe,0.3400 ± 0.0425,0.3400,0.0734,0.0425,10,10
AtrialFibrillation,linear_mla,0.2917 ± 0.0409,0.2917,0.0611,0.0409,8,10
AtrialFibrillation,linear_rope,0.2963 ± 0.0467,0.2963,0.0754,0.0467,9,10
BasicMotions,convtran,0.8639 ± 0.0478,0.8639,0.0772,0.0478,9,10
BasicMotions,linear_conv_adaptive_sin_pe,0.9778 ± 0.0093,0.9778,0.0150,0.0093,9,10
BasicMotions,linear_mla,0.9575 ± 0.0290,0.9575,0.0501,0.0290,10,10
BasicMotions,linear_rope,0.9417 ± 0.0219,0.9417,0.0354,0.0219,9,10
Cricket,convtran,0.9479 ± 0.0082,0.9479,0.0123,0.0082,8,10
Cricket,linear_conv_adaptive_sin_pe,0.9097 ± 0.0172,0.9097,0.0257,0.0172,8,10
Cricket,linear_mla,0.9532 ± 0.0140,0.9532,0.0209,0.0140,8,10
Cricket,linear_rope,0.9584 ± 0.0149,0.9584,0.0240,0.0149,9,10
DuckDuckGeese,convtran,0.4111 ± 0.0430,0.4111,0.0694,0.0430,9,10
DuckDuckGeese,linear_conv_adaptive_sin_pe,0.3975 ± 0.0438,0.3975,0.0654,0.0438,8,10
DuckDuckGeese,linear_mla,0.4000 ± 0.0540,0.4000,0.0872,0.0540,9,10
DuckDuckGeese,linear_rope,0.5311 ± 0.0304,0.5311,0.0491,0.0304,9,10
ERing,convtran,0.7822 ± 0.0310,0.7822,0.0536,0.0310,10,10
ERing,linear_conv_adaptive_sin_pe,0.8755 ± 0.0219,0.8755,0.0326,0.0219,8,10
ERing,linear_mla,0.8042 ± 0.0154,0.8042,0.0230,0.0154,8,10
ERing,linear_rope,0.7824 ± 0.0212,0.7824,0.0316,0.0212,8,10
Epilepsy,convtran,0.9384 ± 0.0122,0.9384,0.0182,0.0122,8,10
Epilepsy,linear_conv_adaptive_sin_pe,0.8378 ± 0.0082,0.8378,0.0122,0.0082,8,10
Epilepsy,linear_mla,0.8645 ± 0.0063,0.8645,0.0108,0.0063,10,10
Epilepsy,linear_rope,0.8524 ± 0.0144,0.8524,0.0215,0.0144,8,10
EthanolConcentration,convtran,0.3046 ± 0.0104,0.3046,0.0167,0.0104,9,10
EthanolConcentration,linear_conv_adaptive_sin_pe,0.2467 ± 0.0089,0.2467,0.0133,0.0089,8,10
EthanolConcentration,linear_mla,0.2610 ± 0.0102,0.2610,0.0152,0.0102,8,10
EthanolConcentration,linear_rope,0.2567 ± 0.0156,0.2567,0.0233,0.0156,8,10
FaceDetection,convtran,0.5186 ± 0.0113,0.5186,0.0168,0.0113,8,10
FaceDetection,linear_conv_adaptive_sin_pe,0.6744 ± 0.0039,0.6744,0.0058,0.0039,8,10
FaceDetection,linear_mla,0.6068 ± 0.0033,0.6068,0.0049,0.0033,8,10
FaceDetection,linear_rope,0.5516 ± 0.0068,0.5516,0.0101,0.0068,8,10
FingerMovements,convtran,0.4725 ± 0.0171,0.4725,0.0255,0.0171,8,10
FingerMovements,linear_conv_adaptive_sin_pe,0.5062 ± 0.0273,0.5062,0.0407,0.0273,8,10
FingerMovements,linear_mla,0.5162 ± 0.0179,0.5162,0.0267,0.0179,8,10
FingerMovements,linear_rope,0.4812 ± 0.0207,0.4812,0.0309,0.0207,8,10
HandMovementDirection,convtran,0.3007 ± 0.0404,0.3007,0.0604,0.0404,8,10
HandMovementDirection,linear_conv_adaptive_sin_pe,0.5152 ± 0.0288,0.5152,0.0430,0.0288,8,10
HandMovementDirection,linear_mla,0.3453 ± 0.0481,0.3453,0.0777,0.0481,9,10
HandMovementDirection,linear_rope,0.2855 ± 0.0229,0.2855,0.0342,0.0229,8,10
Handwriting,convtran,0.2335 ± 0.0202,0.2335,0.0326,0.0202,9,10
Handwriting,linear_conv_adaptive_sin_pe,0.1563 ± 0.0162,0.1563,0.0243,0.0162,8,10
Handwriting,linear_mla,0.1102 ± 0.0026,0.1102,0.0039,0.0026,8,10
Handwriting,linear_rope,0.0991 ± 0.0115,0.0991,0.0172,0.0115,8,10
Heartbeat,convtran,0.6092 ± 0.0834,0.6092,0.1346,0.0834,9,10
Heartbeat,linear_conv_adaptive_sin_pe,0.7512 ± 0.0049,0.7512,0.0074,0.0049,8,10
Heartbeat,linear_mla,0.7451 ± 0.0045,0.7451,0.0068,0.0045,8,10
Heartbeat,linear_rope,0.7396 ± 0.0134,0.7396,0.0200,0.0134,8,10
InsectWingbeat,convtran,0.2320 ± 0.0396,0.2320,0.0592,0.0396,8,10
InsectWingbeat,linear_conv_adaptive_sin_pe,0.6115 ± 0.0020,0.6115,0.0030,0.0020,8,10
InsectWingbeat,linear_mla,0.6278 ± 0.0016,0.6278,0.0024,0.0016,8,10
InsectWingbeat,linear_rope,0.5942 ± 0.0017,0.5942,0.0026,0.0017,8,10
LSST,convtran,0.0466 ± 0.0196,0.0466,0.0292,0.0196,8,10
LSST,linear_conv_adaptive_sin_pe,0.5830 ± 0.0090,0.5830,0.0135,0.0090,8,10
LSST,linear_mla,0.6062 ± 0.0040,0.6062,0.0060,0.0040,8,10
LSST,linear_rope,0.6095 ± 0.0039,0.6095,0.0058,0.0039,8,10
Libras,convtran,0.7979 ± 0.0198,0.7979,0.0295,0.0198,8,10
Libras,linear_conv_adaptive_sin_pe,0.6298 ± 0.0132,0.6298,0.0196,0.0132,8,10
Libras,linear_mla,0.5333 ± 0.1103,0.5333,0.1646,0.1103,8,10
Libras,linear_rope,0.6146 ± 0.0129,0.6146,0.0192,0.0129,8,10
MotorImagery,convtran,0.5262 ± 0.0186,0.5262,0.0277,0.0186,8,10
MotorImagery,linear_conv_adaptive_sin_pe,0.5100 ± 0.0287,0.5100,0.0464,0.0287,9,10
MotorImagery,linear_mla,0.4778 ± 0.0177,0.4778,0.0286,0.0177,9,10
MotorImagery,linear_rope,0.4678 ± 0.0119,0.4678,0.0192,0.0119,9,10
NATOPS,convtran,0.8618 ± 0.0153,0.8618,0.0229,0.0153,8,10
NATOPS,linear_conv_adaptive_sin_pe,0.8611 ± 0.0302,0.8611,0.0451,0.0302,8,10
