dataset,model,confidence_interval,mean_test_acc,std,margin_of_error,num_runs,num_runs_original
ArticularyWordRecognition,1d_conv_additive_sinusoidal,0.6067 ± 0.3848,0.6067,0.4603,0.3848,8,10
ArticularyWordRecognition,1d_conv_circular_conv_sinusoidal,0.9479 ± 0.0065,0.9479,0.0078,0.0065,8,10
ArticularyWordRecognition,1d_conv_component_wise_sinusoidal,0.7196 ± 0.3448,0.7196,0.4124,0.3448,8,10
ArticularyWordRecognition,linear_additive_sinusoidal,0.9383 ± 0.0133,0.9383,0.0159,0.0133,8,10
ArticularyWordRecognition,linear_circular_conv_sinusoidal,0.9363 ± 0.0196,0.9363,0.0234,0.0196,8,10
ArticularyWordRecognition,linear_component_wise_sinusoidal,0.6133 ± 0.3878,0.6133,0.4639,0.3878,8,10
AtrialFibrillation,1d_conv_additive_sinusoidal,0.2733 ± 0.0571,0.2733,0.0798,0.0571,10,10
AtrialFibrillation,1d_conv_circular_conv_sinusoidal,0.2667 ± 0.0389,0.2667,0.0544,0.0389,10,10
AtrialFibrillation,1d_conv_component_wise_sinusoidal,0.3111 ± 0.0573,0.3111,0.0745,0.0573,9,10
AtrialFibrillation,linear_additive_sinusoidal,0.2467 ± 0.0638,0.2467,0.0892,0.0638,10,10
AtrialFibrillation,linear_circular_conv_sinusoidal,0.2733 ± 0.0417,0.2733,0.0584,0.0417,10,10
AtrialFibrillation,linear_component_wise_sinusoidal,0.2800 ± 0.0376,0.2800,0.0526,0.0376,10,10
BasicMotions,1d_conv_additive_sinusoidal,0.1861 ± 0.1157,0.1861,0.1506,0.1157,9,10
BasicMotions,1d_conv_circular_conv_sinusoidal,0.9500 ± 0.0158,0.9500,0.0189,0.0158,8,10
BasicMotions,1d_conv_component_wise_sinusoidal,0.9694 ± 0.0160,0.9694,0.0208,0.0160,9,10
BasicMotions,linear_additive_sinusoidal,0.3375 ± 0.1005,0.3375,0.1203,0.1005,8,10
BasicMotions,linear_circular_conv_sinusoidal,0.9281 ± 0.0283,0.9281,0.0339,0.0283,8,10
BasicMotions,linear_component_wise_sinusoidal,0.9550 ± 0.0141,0.9550,0.0197,0.0141,10,10
Cricket,1d_conv_additive_sinusoidal,0.4097 ± 0.3558,0.4097,0.4256,0.3558,8,10
Cricket,1d_conv_circular_conv_sinusoidal,0.9028 ± 0.0164,0.9028,0.0196,0.0164,8,10
Cricket,1d_conv_component_wise_sinusoidal,0.9305 ± 0.0214,0.9305,0.0278,0.0214,9,10
Cricket,linear_additive_sinusoidal,0.8488 ± 0.2101,0.8488,0.2734,0.2101,9,10
Cricket,linear_circular_conv_sinusoidal,0.8924 ± 0.0230,0.8924,0.0276,0.0230,8,10
Cricket,linear_component_wise_sinusoidal,0.9063 ± 0.0283,0.9063,0.0338,0.0283,8,10
DuckDuckGeese,1d_conv_additive_sinusoidal,0.3825 ± 0.0568,0.3825,0.0680,0.0568,8,10
DuckDuckGeese,1d_conv_circular_conv_sinusoidal,0.2900 ± 0.0819,0.2900,0.0980,0.0819,8,10
DuckDuckGeese,1d_conv_component_wise_sinusoidal,0.3733 ± 0.0765,0.3733,0.0995,0.0765,9,10
DuckDuckGeese,linear_additive_sinusoidal,0.2125 ± 0.0857,0.2125,0.1025,0.0857,8,10
DuckDuckGeese,linear_circular_conv_sinusoidal,0.3667 ± 0.0704,0.3667,0.0917,0.0704,9,10
DuckDuckGeese,linear_component_wise_sinusoidal,0.4067 ± 0.0461,0.4067,0.0600,0.0461,9,10
ERing,1d_conv_additive_sinusoidal,0.4097 ± 0.2409,0.4097,0.2881,0.2409,8,10
ERing,1d_conv_circular_conv_sinusoidal,0.8588 ± 0.0223,0.8588,0.0267,0.0223,8,10
ERing,1d_conv_component_wise_sinusoidal,0.8213 ± 0.0514,0.8213,0.0615,0.0514,8,10
ERing,linear_additive_sinusoidal,0.7065 ± 0.0327,0.7065,0.0392,0.0327,8,10
ERing,linear_circular_conv_sinusoidal,0.8617 ± 0.0203,0.8617,0.0264,0.0203,9,10
ERing,linear_component_wise_sinusoidal,0.8796 ± 0.0163,0.8796,0.0195,0.0163,8,10
Epilepsy,1d_conv_additive_sinusoidal,0.2880 ± 0.0568,0.2880,0.0680,0.0568,8,10
Epilepsy,1d_conv_circular_conv_sinusoidal,0.8343 ± 0.0277,0.8343,0.0332,0.0277,8,10
Epilepsy,1d_conv_component_wise_sinusoidal,0.7862 ± 0.2049,0.7862,0.2451,0.2049,8,10
Epilepsy,linear_additive_sinusoidal,0.8378 ± 0.1807,0.8378,0.2161,0.1807,8,10
Epilepsy,linear_circular_conv_sinusoidal,0.8324 ± 0.0258,0.8324,0.0309,0.0258,8,10
Epilepsy,linear_component_wise_sinusoidal,0.6431 ± 0.2485,0.6431,0.2972,0.2485,8,10
EthanolConcentration,1d_conv_additive_sinusoidal,0.2624 ± 0.0134,0.2624,0.0160,0.0134,8,10
EthanolConcentration,1d_conv_circular_conv_sinusoidal,0.2629 ± 0.0142,0.2629,0.0169,0.0142,8,10
EthanolConcentration,1d_conv_component_wise_sinusoidal,0.2700 ± 0.0051,0.2700,0.0061,0.0051,8,10
EthanolConcentration,linear_additive_sinusoidal,0.2552 ± 0.0096,0.2552,0.0114,0.0096,8,10
EthanolConcentration,linear_circular_conv_sinusoidal,0.2700 ± 0.0156,0.2700,0.0186,0.0156,8,10
EthanolConcentration,linear_component_wise_sinusoidal,0.2724 ± 0.0100,0.2724,0.0120,0.0100,8,10
FaceDetection,1d_conv_additive_sinusoidal,0.4942 ± 0.0062,0.4942,0.0074,0.0062,8,10
FaceDetection,1d_conv_circular_conv_sinusoidal,0.6464 ± 0.0529,0.6464,0.0632,0.0529,8,10
FaceDetection,1d_conv_component_wise_sinusoidal,0.6184 ± 0.0649,0.6184,0.0845,0.0649,9,10
FaceDetection,linear_additive_sinusoidal,0.4983 ± 0.0064,0.4983,0.0077,0.0064,8,10
FaceDetection,linear_circular_conv_sinusoidal,0.6675 ± 0.0025,0.6675,0.0029,0.0025,8,10
FaceDetection,linear_component_wise_sinusoidal,0.5929 ± 0.0683,0.5929,0.0817,0.0683,8,10
FingerMovements,1d_conv_additive_sinusoidal,0.5025 ± 0.0617,0.5025,0.0738,0.0617,8,10
FingerMovements,1d_conv_circular_conv_sinusoidal,0.4950 ± 0.0200,0.4950,0.0239,0.0200,8,10
FingerMovements,1d_conv_component_wise_sinusoidal,0.4688 ± 0.0273,0.4688,0.0327,0.0273,8,10
FingerMovements,linear_additive_sinusoidal,0.4744 ± 0.0277,0.4744,0.0361,0.0277,9,10
FingerMovements,linear_circular_conv_sinusoidal,0.4812 ± 0.0212,0.4812,0.0253,0.0212,8,10
FingerMovements,linear_component_wise_sinusoidal,0.4533 ± 0.0196,0.4533,0.0255,0.0196,9,10
HandMovementDirection,1d_conv_additive_sinusoidal,0.3288 ± 0.0552,0.3288,0.0718,0.0552,9,10
HandMovementDirection,1d_conv_circular_conv_sinusoidal,0.3559 ± 0.0826,0.3559,0.1075,0.0826,9,10
HandMovementDirection,1d_conv_component_wise_sinusoidal,0.4257 ± 0.0336,0.4257,0.0402,0.0336,8,10
HandMovementDirection,linear_additive_sinusoidal,0.2889 ± 0.0448,0.2889,0.0535,0.0448,8,10
HandMovementDirection,linear_circular_conv_sinusoidal,0.4696 ± 0.0145,0.4696,0.0173,0.0145,8,10
HandMovementDirection,linear_component_wise_sinusoidal,0.4138 ± 0.0200,0.4138,0.0239,0.0200,8,10
Handwriting,1d_conv_additive_sinusoidal,0.1018 ± 0.0556,0.1018,0.0665,0.0556,8,10
Handwriting,1d_conv_circular_conv_sinusoidal,0.1266 ± 0.0307,0.1266,0.0367,0.0307,8,10
Handwriting,1d_conv_component_wise_sinusoidal,0.1372 ± 0.0273,0.1372,0.0326,0.0273,8,10
Handwriting,linear_additive_sinusoidal,0.1149 ± 0.0461,0.1149,0.0551,0.0461,8,10
Handwriting,linear_circular_conv_sinusoidal,0.1309 ± 0.0177,0.1309,0.0212,0.0177,8,10
Handwriting,linear_component_wise_sinusoidal,0.0963 ± 0.0490,0.0963,0.0586,0.0490,8,10
Heartbeat,1d_conv_additive_sinusoidal,0.5055 ± 0.1154,0.5055,0.1380,0.1154,8,10
Heartbeat,1d_conv_circular_conv_sinusoidal,0.7226 ± 0.0120,0.7226,0.0144,0.0120,8,10
Heartbeat,1d_conv_component_wise_sinusoidal,0.6756 ± 0.0682,0.6756,0.0816,0.0682,8,10
Heartbeat,linear_additive_sinusoidal,0.5079 ± 0.1325,0.5079,0.1584,0.1325,8,10
Heartbeat,linear_circular_conv_sinusoidal,0.7275 ± 0.0112,0.7275,0.0134,0.0112,8,10
Heartbeat,linear_component_wise_sinusoidal,0.7189 ± 0.0092,0.7189,0.0110,0.0092,8,10
InsectWingbeat,1d_conv_additive_sinusoidal,0.0999 ± 0.0028,0.0999,0.0033,0.0028,8,10
InsectWingbeat,1d_conv_circular_conv_sinusoidal,0.5729 ± 0.0032,0.5729,0.0038,0.0032,8,10
InsectWingbeat,1d_conv_component_wise_sinusoidal,0.6116 ± 0.0025,0.6116,0.0030,0.0025,8,10
InsectWingbeat,linear_additive_sinusoidal,0.1010 ± 0.0055,0.1010,0.0066,0.0055,8,10
InsectWingbeat,linear_circular_conv_sinusoidal,0.5937 ± 0.0050,0.5937,0.0059,0.0050,8,10
InsectWingbeat,linear_component_wise_sinusoidal,0.5769 ± 0.1601,0.5769,0.1915,0.1601,8,10
LSST,1d_conv_additive_sinusoidal,0.0411 ± 0.0171,0.0411,0.0205,0.0171,8,10
LSST,1d_conv_circular_conv_sinusoidal,0.5705 ± 0.0064,0.5705,0.0077,0.0064,8,10
LSST,1d_conv_component_wise_sinusoidal,0.6245 ± 0.0085,0.6245,0.0101,0.0085,8,10
LSST,linear_additive_sinusoidal,0.4361 ± 0.0319,0.4361,0.0381,0.0319,8,10
LSST,linear_circular_conv_sinusoidal,0.5639 ± 0.0058,0.5639,0.0069,0.0058,8,10
LSST,linear_component_wise_sinusoidal,0.6109 ± 0.0077,0.6109,0.0100,0.0077,9,10
Libras,1d_conv_additive_sinusoidal,0.0583 ± 0.0122,0.0583,0.0146,0.0122,8,10
Libras,1d_conv_circular_conv_sinusoidal,0.6021 ± 0.0409,0.6021,0.0489,0.0409,8,10
Libras,1d_conv_component_wise_sinusoidal,0.6500 ± 0.0159,0.6500,0.0190,0.0159,8,10
Libras,linear_additive_sinusoidal,0.6215 ± 0.0325,0.6215,0.0389,0.0325,8,10
Libras,linear_circular_conv_sinusoidal,0.6048 ± 0.0310,0.6048,0.0371,0.0310,8,10
Libras,linear_component_wise_sinusoidal,0.5694 ± 0.1473,0.5694,0.1762,0.1473,8,10
MotorImagery,1d_conv_additive_sinusoidal,0.4650 ± 0.0264,0.4650,0.0316,0.0264,8,10
MotorImagery,1d_conv_circular_conv_sinusoidal,0.4867 ± 0.0315,0.4867,0.0409,0.0315,9,10
MotorImagery,1d_conv_component_wise_sinusoidal,0.4925 ± 0.0263,0.4925,0.0315,0.0263,8,10
MotorImagery,linear_additive_sinusoidal,0.4911 ± 0.0294,0.4911,0.0382,0.0294,9,10
MotorImagery,linear_circular_conv_sinusoidal,0.4962 ± 0.0256,0.4962,0.0307,0.0256,8,10
MotorImagery,linear_component_wise_sinusoidal,0.4938 ± 0.0189,0.4938,0.0226,0.0189,8,10
NATOPS,1d_conv_additive_sinusoidal,0.4688 ± 0.2927,0.4688,0.3501,0.2927,8,10
NATOPS,1d_conv_circular_conv_sinusoidal,0.8028 ± 0.0202,0.8028,0.0241,0.0202,8,10
