dataset,1d_conv_additive_sinusoidal,1d_conv_circular_conv_isolated_sinusoidal,1d_conv_circular_conv_sinusoidal,1d_conv_component_wise_sinusoidal,linear_additive_isolated_sinusoidal,linear_additive_sinusoidal,linear_circular_conv_sinusoidal,linear_component_wise_sinusoidal
ArticularyWordRecognition,0.0444 ± 0.0399,0.9522 ± 0.0065,0.3389 ± 0.8923,0.9567 ± 0.0203,0.9583 ± 0.0093,0.9358 ± 0.0198,0.7283 ± 0.5295,0.9356 ± 0.0116
AtrialFibrillation,0.2267 ± 0.0348,0.3067 ± 0.0348,0.2889 ± 0.0648,0.3333 ± 0.0001,0.3333 ± 0.0635,0.2889 ± 0.1297,N/A,0.3000 ± 0.0452
BasicMotions,0.3200 ± 0.0723,0.9625 ± 0.0170,0.9688 ± 0.0147,0.9583 ± 0.0243,0.1167 ± 0.1288,0.1833 ± 0.2433,0.8625 ± 0.2455,0.9417 ± 0.0243
Cricket,0.0787 ± 0.0271,0.5787 ± 0.7439,0.3519 ± 0.8044,0.6342 ± 0.7045,0.3843 ± 0.7479,0.6343 ± 0.8652,0.8519 ± 0.0134,0.3565 ± 0.7795
DuckDuckGeese,0.3400 ± 0.1168,0.3867 ± 0.0702,0.4467 ± 0.0515,0.2800 ± 0.1752,N/A,0.1867 ± 0.0195,0.2000 ± 0.0337,0.2050 ± 0.0118
ERing,0.1568 ± 0.0191,0.4050 ± 0.6700,0.8827 ± 0.0157,0.8630 ± 0.0250,0.6037 ± 0.4558,0.7556 ± 0.0273,0.8729 ± 0.0314,0.6741 ± 0.6009
Epilepsy,0.2705 ± 0.0995,0.6788 ± 0.5785,0.6570 ± 0.5890,0.7735 ± 0.3170,0.2488 ± 0.0552,0.4033 ± 0.1870,0.6812 ± 0.3497,0.4952 ± 0.5296
EthanolConcentration,0.2433 ± 0.0065,0.2446 ± 0.0185,0.2649 ± 0.0387,0.2586 ± 0.0193,0.2421 ± 0.0354,0.2757 ± 0.0086,0.2713 ± 0.0133,0.2637 ± 0.0196
FaceDetection,0.5138 ± 0.0073,0.6062 ± 0.0589,0.6317 ± 0.0479,0.5949 ± 0.0557,0.5002 ± 0.0024,0.5079 ± 0.0070,0.6662 ± 0.0023,0.5833 ± 0.0566
