dataset,model,run,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,size_MB,num_dimensions,num_classes,sequence_length,train_samples,test_samples,validation_samples,n_train_epochs,training_time_seconds
FaceDetection,linear_additive_sinusoidal,1,,,,,0.703,0.4903,0.264,144,2,62,4712,3524,1178,1,44.22
FaceDetection,linear_additive_isolated_sinusoidal,1,,,,,0.6991,0.4957,0.264,144,2,62,4712,3524,1178,1,44.4
FaceDetection,1d_conv_additive_sinusoidal,1,,,,,,0.5275,0.3352,144,2,62,4712,3524,1178,1,45.29
FaceDetection,linear_component_wise_sinusoidal,1,0.4334,0.7982,0.5258,0.7734,0.7019,0.6584,0.2671,144,2,62,4712,3524,1178,19,67.67
FaceDetection,1d_conv_component_wise_sinusoidal,1,,,,,0.6881,0.5579,0.3363,144,2,62,4712,3524,1178,1,45.89
FaceDetection,linear_circular_conv_sinusoidal,1,0.3255,0.8555,0.5787,0.7674,0.8482,0.6655,0.2654,144,2,62,4712,3524,1178,19,68.18
FaceDetection,1d_conv_circular_conv_sinusoidal,1,0.3309,0.8589,0.5369,0.7733,0.7845,0.6666,0.3366,144,2,62,4712,3524,1178,17,65.07
FaceDetection,1d_conv_circular_conv_isolated_sinusoidal,1,0.3549,0.8461,0.5582,0.7725,0.7731,0.6771,0.3366,144,2,62,4712,3524,1178,16,64.97
FaceDetection,linear_additive_sinusoidal,2,,,,,0.6993,0.5082,0.264,144,2,62,4712,3524,1178,1,44.82
FaceDetection,linear_additive_isolated_sinusoidal,2,,,,,0.7004,0.4995,0.264,144,2,62,4712,3524,1178,1,45.52
FaceDetection,1d_conv_additive_sinusoidal,2,,,,,0.6936,0.5168,0.3352,144,2,62,4712,3524,1178,1,44.8
FaceDetection,linear_component_wise_sinusoidal,2,,,,,0.6953,0.5201,0.2652,144,2,62,4712,3524,1178,1,45.79
FaceDetection,1d_conv_component_wise_sinusoidal,2,,,,,0.6997,0.4963,0.3363,144,2,62,4712,3524,1178,1,46.32
FaceDetection,linear_circular_conv_sinusoidal,2,0.3007,0.8748,0.5958,0.7657,0.8697,0.6685,0.2654,144,2,62,4712,3524,1178,19,68.42
FaceDetection,1d_conv_circular_conv_sinusoidal,2,0.4357,0.8005,0.5331,0.7597,0.6834,0.6657,0.3383,144,2,62,4712,3524,1178,17,67.23
FaceDetection,1d_conv_circular_conv_isolated_sinusoidal,2,0.2824,0.8811,0.6003,0.7716,0.9196,0.6597,0.3366,144,2,62,4712,3524,1178,17,65.79
FaceDetection,linear_additive_sinusoidal,3,,,,,0.6999,0.4853,0.264,144,2,62,4712,3524,1178,1,45.43
FaceDetection,linear_additive_isolated_sinusoidal,3,,,,,0.7015,0.4997,0.264,144,2,62,4712,3524,1178,1,45.23
